,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
Mel Ho,-2.215999,1.420598,-1.0489608,1.0727161,0.45168993,1.6652582,0.9791825,-0.60917884,0.15504971,0.6134997,-1.0905602,-0.9468569,0.75805354,0.526327,0.7838155,1.4361734
GLC-82,-1.0332259,0.24610958,0.5042542,-0.110263586,0.046406843,-0.05434423,-0.6123144,0.14956221,0.10450282,-0.32902634,0.006180886,0.4852346,-0.47434568,-0.3423953,0.45605287,-0.314192
Hs 281.T,0.21697953,-0.5996341,-0.10993275,-0.38605183,0.22146384,0.006976217,-0.64224344,0.011798483,0.47228405,-0.3641898,-0.04653108,0.09665261,-0.122194864,-0.111704804,0.051336624,0.2807287
FTC-133,-1.7784966,1.0947859,1.3662019,0.5563425,-1.008175,-1.4347681,1.018044,1.4003114,-0.38318324,0.8386926,-1.6153462,2.6168447,-0.5011187,0.90509355,0.6755296,0.823493
LN-443,-0.8847491,0.19171248,0.4418976,-0.102915496,0.0069525763,-0.042540584,-0.46528697,0.14638263,0.13641252,-0.2756141,-0.028811527,0.43362293,-0.4917606,-0.3220053,0.5555489,-0.21457475
HEC-1-A,0.69170356,1.61544,1.3086469,1.5420249,-1.2286711,-1.4578817,2.5662196,0.05081121,-1.8002276,1.7305108,-0.7799701,2.015386,-0.14773366,0.050767593,-1.4677559,-0.5610271
SNU-C2B,-1.0479826,0.20816389,0.48234376,-0.20359328,-0.1270454,-0.05199045,-0.6656485,0.22405078,0.090118095,-0.30053478,-0.02625092,0.41312465,-0.550687,-0.3323576,0.6105813,-0.44651845
SUP-T1,-0.9583867,0.2285399,0.5100656,-0.22513865,0.016935565,-0.025883105,-0.5574704,0.095213845,0.09641052,-0.27624267,0.044121787,0.43430626,-0.5145649,-0.32813388,0.23661384,-0.35977098
CJM [Human melanoma],-0.9948976,0.20162806,0.45845425,-0.13199003,-0.02631861,-0.028185535,-0.5553631,0.21977822,0.0861481,-0.24029183,-0.010680731,0.4396092,-0.57955545,-0.3556535,0.71265256,-0.3025024
SNU-119,0.048132688,0.43966103,0.98577094,-0.7087143,-1.0960582,-0.639982,-0.037776567,-0.18731117,0.49180752,-0.15602355,-0.037491728,1.8916168,-0.26533303,0.067512095,0.097705945,-0.46680948
