,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21
A-375,-0.88739276,0.43246973,0.097660154,0.07425731,0.5577807,-1.9750929,-0.09032713,0.030287176,0.9836495,2.0923197,0.32233414,-1.8941396,-0.0061279624,0.42313534,-0.6592611,-0.8124219,-0.9994053,0.15980572,-2.1114855,-0.2938523,-1.0087409,0.16334414
MES-SA,-2.5731528,-1.4675869,0.8985808,2.2337582,-0.8174631,0.5220183,0.5154236,0.5809147,-0.653797,-1.372398,-0.8509042,-0.14994742,1.7775353,0.89331955,0.39881167,-1.2441444,-0.026536457,-1.7958848,-0.9167094,0.8885597,-1.2472063,0.5228398
RT-112,2.2733097,-0.15179534,-0.93474746,0.9495603,-0.27758765,1.7912235,0.4919965,-0.13706459,0.53638846,-0.39992046,-2.9322686,0.7927867,-2.1545348,-1.0038476,0.17237845,0.042762518,0.29571083,2.1436956,1.7869165,-0.24692808,0.27029672,0.5159587
RKO,-0.945039,1.0647657,0.63081396,0.39400947,-0.95142496,-1.3144363,-0.2610344,0.19479431,-0.97895217,-0.43570825,1.6678927,0.14650697,1.0708486,0.2745539,-0.37549928,0.5706459,1.2287068,-0.25181916,-0.4874738,-0.014752824,-0.0044375956,-1.1330782
COR-L23,-0.2214363,2.8085072,0.9516515,-1.2037814,0.5266495,-1.8091363,-1.0766605,1.5103084,0.7283182,0.86514044,0.9320457,0.827766,-0.52925354,0.50117576,0.2553961,1.5610746,-0.292483,-0.78874594,-0.44700378,-0.472927,-0.13445823,-0.8294577
SK-MEL-31,-1.337998,0.029034685,-3.5984607,1.3668916,-0.31218648,-0.82693267,1.3909445,-0.39065978,1.8797143,2.3328218,-1.2346065,-0.08243684,1.1230638,1.1124338,1.0657454,-1.7042469,-0.6725237,-1.4611509,-0.897079,-0.6164556,-0.330968,-0.232228
SNU-349,-2.0916352,-1.8091547,0.67469275,-2.997162,-0.3213446,-0.9077425,0.9290679,-0.664121,2.5754716,0.3878764,-2.4373932,-0.882976,0.68990386,0.9890535,2.711698,-1.9959513,-0.3877017,-2.881584,-2.8174644,-1.0413916,0.8728156,-0.5532883
SK-MEL-2,-4.033538,0.6867063,-2.5139,3.0510273,-0.3974581,-0.007705001,1.9725087,0.8809592,1.4447601,0.79251266,-1.7424845,-1.4647636,0.8953245,-0.21408424,-0.5739353,-0.72518134,1.1444162,-1.8862506,-1.3583747,-2.1917946,-2.0295885,-0.7308118
42-MG-BA,-2.7306194,-1.2230517,-0.006673485,-0.5675229,-0.35297638,1.1136312,2.8246205,-0.6218758,2.2677767,2.3511605,-2.0185487,-1.5780015,-0.29878813,0.7750355,-3.120461,-1.6998193,-0.19434619,-0.24828953,1.6168451,-0.5775876,-1.8724285,1.029458
GMS-10,-0.31702465,1.453008,0.9002277,-1.0264342,-1.5921574,1.6695132,1.4727186,1.9345216,-0.1466361,0.47953957,-0.4790368,-0.1957188,0.015106838,-0.6664397,-0.63561636,1.3650974,-1.5399767,-1.11247,0.09270911,-0.036926463,-1.9196237,0.15341437
CAL-51,0.34755608,1.3542235,1.3969553,-0.89894634,1.670964,0.42158195,-0.82688373,0.25949848,1.4812077,-1.8806872,-0.80288124,-2.1713297,1.1545776,-0.3504868,0.42494777,-1.0530604,-1.2664635,-0.012158841,0.2000044,2.1205337,-1.669841,1.1413884
CMK-11-5,-2.5095038,0.6125082,1.1525878,1.2481139,0.8634599,-4.8397655,0.31098482,-1.0123819,-0.5164076,-1.8220787,0.8755375,0.39565235,-0.57396555,-0.5559236,-1.9759755,0.9389169,-0.72457045,-1.168395,-1.349942,0.7974802,0.9608236,0.22352943
NCI-H1915,-0.5099411,0.8996562,0.7120953,-0.18440898,-0.62751096,-1.3628322,1.299558,0.86495346,-0.78468156,0.72215223,1.408437,1.9697772,1.2962244,-1.7074417,0.6493103,1.175297,0.1094735,0.671494,-0.8320662,0.13351497,-2.0348835,-0.7213796
DV-90,2.354362,-1.1936921,0.23198491,-0.32289815,0.99192125,0.6064823,-1.0153236,0.8821964,-0.6126053,-0.94202524,0.5162967,-1.665545,-3.493379,0.6231545,-1.6389368,-0.22111776,0.39302686,0.1440711,2.0646238,0.64202607,2.8715155,-0.51114815
Hs 940.T,0.122650236,-0.6512078,0.95777434,0.1068938,-1.0792117,0.48849094,1.7414111,1.0321264,-0.020511612,1.0509514,-0.39325464,-0.21054894,-0.41306436,1.4523376,-0.6706885,2.159954,-1.0152196,-0.43531507,-2.3721619,1.0967109,-0.585454,-1.1970663
143B,-1.2029104,-0.29860094,0.7334445,0.123520754,1.2636364,-1.6096303,0.32558194,0.38446355,0.06819684,0.9127267,0.46966794,0.48199898,1.2334973,-0.14592358,-0.43020216,-1.03179,1.0894156,-0.55430496,-2.1306856,-0.29827,-1.4102349,-1.1019722
LCLC-103H,-1.674957,-0.60083646,0.07599167,0.091249645,1.8080816,1.7222605,0.49358737,-0.87093836,1.7824976,1.8186537,-2.555196,0.8560693,1.6831744,-1.441968,1.327139,-0.15270674,-0.17740454,-0.22606972,-1.8965353,0.5017891,-0.842957,1.62082
NCI-H1930,3.0232687,0.74666536,1.4814928,-0.90065515,-0.14903648,-0.757885,0.021307804,-0.7807649,-0.32344192,-1.5324342,2.5948744,-2.6118004,-0.194802,0.81844306,0.075924955,-0.2943927,0.7653421,-0.6569976,1.9617668,0.21979375,0.21978086,-0.18833667
WSU-DLCL2,-3.0143335,1.6499532,-0.07741245,1.8315626,0.832832,-1.3360868,-2.1073456,0.83204126,-1.1453693,3.8394122,0.30693123,2.2088447,1.8448677,-1.6110679,0.73679554,-0.5663671,-0.841586,1.1983237,-1.4169561,-0.29337233,-4.7717366,2.1757214
Hs 934.T,-0.073406294,-0.70230603,0.6012355,-1.9273862,0.34691373,-1.6871592,1.7093154,-0.6968273,-1.0638115,1.8915547,-2.7309017,-1.2800366,1.125631,0.76613134,-1.1783949,1.0690298,-1.7080876,1.1965618,-2.660199,2.6697133,-0.5891355,0.03531968
KNS-42,-1.0346518,-0.48385137,0.45411748,-1.2778624,-0.6776984,-0.30397972,1.1418742,0.20398124,0.4644056,0.705584,1.1240017,-2.5855258,0.6914109,1.9894977,0.7354202,-0.42913067,-0.008662164,-1.6154218,-0.47857064,-0.35025188,0.95738375,0.88069534
CADO-ES1,0.33616108,0.36913732,0.7690088,2.002854,-2.1731677,-1.667811,-0.79480684,-0.6417823,-1.0495721,-0.77663356,2.1610417,-1.8015046,1.6718867,2.3904486,0.27158025,1.1511604,0.7920264,-0.5033025,-1.423526,1.0658243,-0.42922062,-1.2689177
AsPC-1,-1.0071502,-2.3487704,-0.97397983,1.2273535,0.012870053,1.1079501,-0.9805274,2.7337832,0.61677957,2.2604647,0.12251963,0.6081982,-0.11822359,-0.0114901615,-1.1074411,1.7910864,0.7397878,-1.0896548,-0.6601761,0.39126486,2.608569,-1.6999975
SK-N-MC,1.554427,1.1869386,-0.34752226,1.6835343,-1.0910053,-0.44624165,-0.58322245,-0.8534696,-1.1671999,-1.318373,1.6588418,-1.1865036,-0.0074405773,1.163684,-0.35460562,-0.1520178,0.2230649,0.013361902,-0.56918406,1.9696336,-2.5662198,-0.1553055
SUIT-2,-1.2438204,-2.7123463,-1.0285857,1.3182192,-0.38767603,-0.6890856,1.575781,-1.4597412,0.9222613,-0.35001177,-2.5151858,-1.5115893,0.11444777,-1.11158,-0.5634333,-2.107925,2.6155622,1.1382616,0.12968375,0.50205,4.015453,-0.6301804
KMS-26,-3.7332463,0.6234896,-0.12648313,0.09488117,-1.8661463,-0.2904182,-1.6432981,-1.8916227,-0.18355466,0.37463096,0.87766784,0.7990052,4.263633,-0.64748555,0.1297662,-0.4481883,-0.41035432,0.13820855,-1.4325088,-2.2494533,-0.3773066,1.1068766
TO 175.T,0.9286604,-1.0862285,0.41552198,-0.05605263,-1.1506618,0.71363616,1.867146,0.16112846,-0.275462,0.2202793,-0.21366398,-0.39302555,-1.0543082,1.5715148,-1.543256,1.6782504,-0.52802855,0.78785473,-1.5631442,1.1381634,0.14667848,-1.604864
YH-13,0.13235901,-0.52397716,-0.5151837,-0.7374741,-0.66309375,0.27011052,2.4032342,0.097781114,-0.71356595,0.9021783,0.10186635,0.113574,0.43719316,1.6762074,-0.6241048,0.8519912,-1.1332111,0.29939616,0.42043307,0.63374877,-1.1045398,-1.409091
Hs 737.T,1.0698113,-0.65475,0.34388083,-0.14782313,-1.4260737,0.87938255,2.2871153,0.682616,-0.14702861,0.51225984,0.14326009,-0.3247283,-0.42246056,1.6266009,-1.0691916,1.6730464,-0.6126897,0.5920417,-1.6605046,1.0309447,-0.16829653,-1.8373837
RERF-LC-A1,1.355432,1.1047304,-0.08156356,-2.5919094,0.32503134,0.81693816,0.07099026,0.34109238,-0.020316437,0.815827,1.0248375,0.5869514,-1.3303928,-0.52294004,-0.0862841,-0.8047836,-0.40424588,-0.99941707,0.8512696,1.8715736,-1.1718345,0.3402516
Panc 02.03,-1.916443,-1.7119321,-0.8079456,0.025414824,0.4138131,-2.272914,0.5048345,1.3719482,0.9026372,-0.94520897,-2.3792465,0.34228936,1.7683575,-0.7761426,0.3015959,-0.012275621,0.013051756,0.39225376,-1.5604501,-1.5026237,0.92093146,0.42631537
NCI-H2171,2.2819548,-0.5763899,0.73998326,1.1208031,-0.93817306,-0.110470116,-0.5351626,-1.5955931,-0.7164571,-0.8141911,2.341586,-0.76775163,0.60591274,0.010748818,1.4089296,-0.4557378,0.24465075,0.73030996,1.1554371,-0.08292927,-0.8337821,-0.19134313
U266B1,-2.8534024,0.41369578,-1.5129505,0.55120444,-1.5135356,1.2703935,-2.8581345,-2.4250395,-2.291649,1.4616219,2.3162246,2.410878,2.9581468,-1.8152823,0.44698632,-0.12769815,0.55443865,0.06769079,-0.25100553,-1.8663604,-0.47799757,-0.80657285
HCC1954,-0.94815403,-1.7845169,-0.045785885,-0.5470687,1.6848263,0.70664984,1.1809789,1.0048827,1.4891229,1.2612904,-3.4939086,-0.42192006,0.46895933,1.8020267,1.004418,-0.5302137,-0.78810316,-2.2788613,1.6566073,-0.5325753,2.1249917,2.1945677
A-704,1.2553551,1.2890319,0.7022787,-1.4225286,-0.43113396,0.345115,1.1999812,0.46790925,-0.6254691,-2.0262408,0.78264576,0.45214316,0.5692688,-1.1585863,1.2395499,-1.694798,0.032287717,0.86115295,0.48219183,0.7426876,1.6011862,-1.0756907
EB1,-2.1188176,3.3336542,-0.21164256,1.1466577,0.021253578,-1.8271105,-0.7336058,0.6270666,-1.6490346,2.728465,1.8524446,3.1532052,1.4746001,0.20175572,-0.26069483,0.87594855,-1.1495132,0.34384418,-1.2497594,-1.9155217,-2.469127,0.43302298
SUP-B15,0.42139527,1.8811766,-0.30909216,1.359135,1.6102414,-0.68730265,-0.867147,0.4439795,-2.6199446,0.45692903,2.3774736,0.393323,-1.6973863,0.87212235,-0.6517306,0.35628986,-0.92023504,-1.275654,-1.5784959,0.9955708,-1.6864476,1.2193682
SH-SY5Y,0.48470637,0.6855562,1.5701323,0.2698817,-0.8364717,-0.48369023,0.37877467,0.15297878,-0.7091204,1.5099211,3.40752,-1.6412601,2.5616727,2.0732431,0.056647476,0.9268385,0.7625935,-2.163576,-0.052223884,1.1147617,-1.2543262,0.03218918
PL-21,-1.3969045,1.4395404,-0.58568656,2.2673228,0.22081862,-1.5088327,-1.5003555,-0.78101254,-2.3117304,-0.8315509,1.4021524,2.9086423,-0.58292556,-0.6661409,-0.9445148,-1.668352,0.025474608,1.1329749,-2.639452,1.2838436,-0.19834167,-1.4431602
NCI-H23,-1.0318688,0.5007298,1.750206,-0.7289993,0.073096395,-0.15736891,-0.6816557,0.42241108,1.0525544,0.019825945,1.2342322,-0.5138207,-0.3283763,0.57038695,0.04402341,-0.62285924,1.8511331,-0.70123917,-0.8130308,-0.45568442,-0.036537513,-0.8369428
Ku812,-0.03588309,1.5524765,0.978271,1.8247414,0.6421576,-2.928695,-0.27742687,-1.1077178,-0.6176079,-1.0593957,1.7762245,0.88646954,-1.2888883,-1.5151484,-1.024131,0.3051409,-0.2629984,0.94516325,-0.39277297,1.7056865,-0.31105456,0.3443665
Calu-3,0.30468437,-1.565113,-1.5806309,-0.7167644,-0.32068086,-0.3932147,0.4104279,-0.9569543,1.236623,-2.3669946,-3.5956464,0.23914236,-0.15600802,-0.9258896,-0.5903602,-1.6170362,1.0401304,-0.32548583,2.8192759,-1.4346299,4.2824483,-1.8593314
Ki-JK,-2.1138558,0.79689705,2.8276374,-0.11688347,-1.4064933,-0.15555006,-0.07103382,1.9421955,-1.5386412,1.5391961,1.5335125,2.8492553,1.9718947,0.8196827,-1.2375503,0.5896241,0.51359653,0.66665995,-2.182206,0.88265276,-1.3881645,0.5251553
SNU-216,2.1535745,0.376533,0.41877413,-0.33092454,0.69952404,-0.37038115,-0.54442996,-0.50433016,0.55108047,-0.18315025,-2.8669817,0.9939146,-0.5033452,-0.012818824,0.69883126,-1.1336386,0.02302625,0.95011795,0.81726027,-0.35025963,1.0794686,-0.9995613
RD-ES,-0.047096714,-0.38972032,0.4095932,2.49573,-1.346597,-1.0611054,-1.4056304,-1.5546423,-0.21291465,-0.037303597,0.18233114,-1.3959212,0.86063516,0.2496671,1.1092507,-0.65586203,-0.16588865,-0.5340172,-2.743348,1.5698795,-0.103164315,1.0440931
Hs 746.T,-2.3956447,-0.90476024,-0.5011134,-0.83989763,1.7321894,0.77526987,-0.63570404,-0.25672978,0.3202436,4.967874,-0.6850126,0.3137643,0.24980646,-2.340003,1.1155643,-0.7222061,0.19094935,1.9622409,-0.7674597,0.96087515,-2.1673925,0.35651815
SW1710,1.9796404,0.51086175,-0.63862735,-1.2688783,-0.5556175,0.9339325,1.367044,-0.49305606,-0.016022652,-2.131318,-0.64035004,-0.06416947,-0.09271481,-0.9198473,1.4409896,-1.6980064,-0.47008288,1.7237004,0.20026317,-0.092800036,1.0651914,-1.7985464
MC116,-3.3999696,4.8526754,1.2823938,-0.9810136,-1.2551038,-0.06863561,-1.8490822,1.335838,-0.0374012,2.850537,2.2457192,0.95149195,1.2591172,0.6252972,-1.6768231,2.2773917,-0.87163234,-1.6356406,0.5860197,-0.31345668,-2.561692,1.6586093
HCC1569,-0.91626716,-0.08094689,1.2005224,0.41597718,-0.82886624,-0.30536085,-0.48340553,-0.21799706,1.5579967,0.40348768,-0.69886786,-1.0863498,1.2711066,1.9851458,-0.22160989,0.28053117,0.43443203,-2.9545872,-1.2878644,-1.7466661,1.814301,-0.2487207
RVH-421,-0.9201726,1.7650049,-0.65304834,1.0470654,0.66979885,-0.798417,0.768419,-0.085755944,-0.71893823,0.75239474,0.7617847,-1.2199236,-1.5585525,0.61775905,-0.05402133,1.1235933,-2.3754025,0.10163216,-0.070050746,-0.14979155,-1.2018176,-1.7241832
SW948,0.3905599,-2.0625758,-0.4662925,2.442713,0.52442217,1.1878911,-1.0097258,1.0102245,1.4510113,1.7985681,-0.2321989,-1.050118,-1.7004768,1.1444284,0.43090624,0.009204842,1.7010204,-0.86903405,1.0677866,0.39519578,3.0323508,0.23059574
HDQ-P1,2.0034657,-0.22481702,-1.226148,-1.2104272,0.9231077,0.3733135,1.8599365,-0.8509099,0.093512565,-3.4213262,-2.803393,0.62067664,-2.02764,0.46190017,-0.27222773,-0.42963508,-0.7088339,2.1933506,2.7778277,-0.45036814,1.57515,-0.7861694
L-1236,-2.0561936,3.190079,1.1280828,-1.5018919,-2.0476882,1.5843472,-0.64527345,0.34515965,-0.80233055,1.7707211,2.5770595,1.3364214,1.8575673,0.887996,-1.932764,1.0843207,0.53167826,-0.57882553,0.7916569,0.05889292,-0.23086393,0.56019485
EBC-1,0.3882872,0.29668152,-0.27146378,-1.3242757,1.1905692,-2.17237,0.19409394,-0.3171395,1.3221288,1.0088724,-0.47414693,1.3029453,1.1185522,-0.38041526,0.26842535,0.1787757,-0.8640864,0.9085487,0.23724943,-0.17821789,0.19618979,0.52983475
GA-10,-1.334923,2.697409,0.14730264,2.2274115,-0.4573567,-1.5800477,-1.4169929,0.59756696,-2.4411232,1.1207718,1.7220483,1.8845247,1.5247836,-0.09680371,0.6812848,0.71414745,-0.7399453,0.045039363,-1.1499188,-1.2697783,-2.6683595,0.5545424
CAL-62,1.3510762,-0.3957559,-0.7866335,-0.7203717,0.3526153,-1.2204199,0.84021926,-0.87330437,-1.858561,-2.4660404,0.46412042,0.4430894,-0.46621138,-1.6161923,1.5806296,-0.4163653,1.0659242,1.4474097,-0.28147432,-0.12353382,-0.44621456,-1.2393082
MDA-MB-361,-1.5948765,0.37128872,0.4706552,0.8854259,-1.9384093,-0.94634277,-0.67658246,1.5527059,-0.29720762,0.12937275,-1.3158835,-0.476059,2.8665416,2.4966462,3.1364985,0.6569671,0.95081943,0.8693913,-0.13953777,-1.3746632,0.63212395,-0.79443836
CGTH-W-1,-0.21986964,-0.4194195,0.08054975,0.40625364,-1.0457958,-0.7229511,1.3527279,-0.5430007,-0.4195929,1.2829157,0.06342843,-0.021844842,0.68064463,0.083350204,-0.29448953,0.51966774,-0.41925466,1.4470817,-1.8294594,0.16706835,-1.7523786,-1.2441379
TE-5,1.2701459,0.7907768,0.36629903,0.7338215,-0.015305329,0.4232822,-1.044339,3.3875241,-0.46345297,2.2521963,0.9697125,0.7631773,-0.76696765,1.2026303,0.117313735,1.4419452,0.058485903,0.16576214,-1.112242,0.102827325,-1.6999481,-0.047046885
YMB-1,-0.3081,-0.9600769,0.4987453,2.0084245,-2.538486,1.3816062,-0.12218784,0.9042324,-0.41104716,-0.7383589,-2.5801888,-0.9560704,1.3324249,0.85570997,1.033413,-1.9132873,0.7436063,-0.5110239,1.2847878,-1.8367441,1.1159289,0.81548816
TC-32,1.2195097,-0.09429345,-0.5722036,2.5000305,-1.240489,-0.15154234,-1.0666147,-1.2913938,-1.3464376,-1.54231,1.3168484,-0.7363307,0.20241457,0.82618237,-0.32630682,1.1445575,-0.18092851,0.45224756,-1.5006353,2.0254662,-1.0144776,-0.39111757
MDST8,-1.6596999,-0.45175987,0.18877028,-0.45559788,2.7370024,0.013016582,1.7865522,-0.21574195,2.0388584,4.796269,0.17447041,-0.26719725,-0.90391266,0.79479957,-0.17724527,-1.0207567,-0.13211787,-2.449743,-2.3267198,0.66876,-1.2338091,0.62304956
NCI-N87,0.16538915,-0.24591789,-1.2206607,1.3622462,-1.8504653,-0.34889057,-1.4069831,0.0044357777,-0.388573,-0.85582924,-1.5478982,0.16821398,0.52225465,0.19980222,-0.24553365,1.4745729,0.8149198,1.7218093,0.88781804,-0.78614503,1.7384803,-1.5946146
NCI-H1781,-0.22977811,-0.37245503,0.5088966,-2.017355,-1.6691185,1.0872185,-1.4173459,0.51709944,0.68135005,-1.5860357,-1.4772707,-1.06385,-1.4245821,-1.0426651,0.012149388,-0.04731723,0.08615192,0.9488134,2.4242277,-2.8777232,1.2847167,0.20207304
AML-193,-1.8790588,2.6366253,0.22207977,2.1515234,0.29699507,-0.3863105,-1.1743639,-1.0410872,-1.3657115,0.7299657,1.0366327,3.2698517,-0.62602377,-2.0858653,0.27933207,-1.2419422,-1.2353301,1.3455453,-1.7562836,2.5133011,-1.4175117,0.82901406
CL-40,0.8858852,-0.7843001,-0.9567943,2.120955,0.59145075,0.41372776,-1.3217392,2.5777464,-0.44755802,0.9860644,0.13028526,0.18530437,-0.78412706,0.3368528,0.09943638,3.5553417,-0.49948052,0.5704319,-0.07957572,0.09427715,2.2391381,-0.94384325
SNU-387,-0.8175222,-1.1073605,0.3312214,-0.079346515,-0.96494377,0.9499,1.7201209,0.6491593,1.6948705,1.2461709,-0.7775968,0.36844262,1.5256767,-0.20452178,0.39087757,-0.26497653,-0.09756178,-0.2014506,-1.7700735,-1.3051581,0.33932596,-0.22859691
COV318,-0.9119706,-2.2040448,0.3752935,0.8052328,0.032524437,0.2986132,-2.75883,-1.1040275,2.004288,-0.9916289,-1.2378396,-0.049216755,1.8287512,0.7658199,0.5101828,-1.2849773,-0.08535781,-3.4769945,-3.036492,-1.3894249,-0.25783366,-0.27854195
SK-N-BE(2),-0.09445551,-0.25048304,1.1263797,2.2334466,-2.1521013,-0.09891474,-0.080650404,-0.030989863,-1.2205412,1.0094843,2.9667084,-0.40052816,3.555934,0.6620401,0.65128803,1.4454572,-0.25443903,-0.3702007,-1.4720829,0.0517475,-2.7696908,-0.17075177
HGC-27,-1.7131001,-1.8455039,0.37359467,0.9126625,-1.470457,-1.3300983,-0.69987226,-0.14626895,-1.038256,-0.575887,1.038402,-3.2869554,-0.24373823,1.748659,-1.2150424,-1.1595516,1.2294011,-0.29707718,-1.2179543,0.26832372,-1.1371431,-0.79902923
NCI-H146,1.7570969,-0.50506616,1.2874364,0.13026364,1.3269266,-0.93894625,0.7409223,-2.2088015,0.901345,-0.6123484,0.8569662,-1.8377604,0.23648095,-0.12066135,0.59847784,-1.1667018,-0.2134901,-0.98969537,1.8700091,-0.06341845,1.1483994,1.669019
SW1990,-1.7921273,-0.5311662,0.29211134,-0.36010328,0.70236903,-1.7906622,1.709554,1.2012978,0.45676732,-0.13213113,-0.81837606,0.7302261,1.0685081,-0.95473003,-0.477306,1.7207339,0.019399153,-0.9348599,-1.5335609,-0.36235636,0.98247623,0.09183331
SK-MEL-24,0.17197888,1.4624536,-1.7323476,-0.027680537,-0.17273788,-0.49907693,1.1994354,0.06737115,0.2974211,2.0872526,1.2353221,-0.8892948,-1.2543701,0.9097776,0.24378532,1.1669201,-1.4581416,0.41166517,-0.61312366,-0.52572423,-0.7446771,-1.3423508
JHH-5,-0.58282566,-2.849433,-0.21778888,1.1803231,0.8422277,-0.9517617,0.4680381,-3.6936584,1.7065066,0.40369457,-3.4654684,-1.3607936,1.352416,0.045391284,0.9453335,-6.075916,-0.44428286,-0.6768825,0.50251114,1.5310862,2.3464634,0.5453248
KYSE-30,-1.0968307,-0.8597805,1.4638788,-1.446015,1.8960937,0.8905337,1.5348182,2.540397,2.0573297,-1.6067784,-2.9133945,-1.6510533,-1.6395313,2.3028803,-1.8968074,0.81150174,0.5079339,-1.7723515,-0.12536338,-0.87288797,2.9665043,1.7092232
NCI-H28,2.1888728,1.2531148,-0.36991307,-1.1737643,0.0867966,0.6480793,0.5131068,-0.64192915,-0.8942687,-2.6304119,0.6038305,-0.841135,-1.2477053,-0.70909184,1.0402589,-2.0590348,0.24038246,0.93689835,0.92899525,0.7835288,1.3036453,-0.9019087
KYM-1,-0.6918034,1.1513605,1.4365661,1.611867,-1.6894834,0.11877417,-0.11668486,0.7752036,-1.2553391,0.54383636,1.8547741,-0.04186265,1.7019371,0.55368483,-0.34508404,0.095145054,0.5259385,0.3490801,-0.95349777,2.1869779,-1.5413929,-0.44122118
NCI-H810,0.8059865,-1.3536867,1.1703879,1.723196,-1.1150523,-0.047123134,0.10079657,-0.16987237,0.12304731,-1.0541735,1.3924099,-1.013956,1.1220055,-0.29597068,1.3638594,-1.4975799,-0.115442224,-0.40648785,2.0170112,-0.655461,0.55103076,0.3444493
PC-14,4.1689386,-2.8341217,-1.1685064,-2.0851288,1.6861465,-0.7348762,2.3310363,-4.789153,1.8169521,-4.89422,-5.2447476,-2.4640749,-6.335523,-0.07868183,-1.385484,-5.181735,0.10181541,3.521653,3.7007859,-0.13997447,4.1234317,-0.041412916
OPM-2,-4.557275,-0.70325834,-0.18719599,0.33800834,-0.19836845,-0.4220091,-0.32525328,-2.2186894,-1.2017417,-0.23318896,0.24794436,0.12058438,4.271597,-0.06950545,1.4588362,-2.725379,0.6305698,-0.41843107,-0.31430727,-2.307693,0.30087292,0.03539131
COLO 684,1.0730916,2.5943131,1.0431226,-1.1282167,-2.1881757,0.43987858,-1.7285054,-1.9610595,1.2129904,-0.9690203,2.26578,-2.5803812,-0.11853385,-0.39478981,0.711359,-0.04879404,0.0035249537,-0.13760814,2.5325122,0.9060841,-1.0986927,1.2822821
JHH-6,-1.0710424,-0.97330385,0.7580643,0.0119310925,0.5957314,1.125092,0.94051856,0.98419225,1.2843047,2.2683902,-0.32783863,1.0092745,1.4858615,-0.9457832,-0.8784417,0.2329767,-1.1313984,-0.26000804,-0.9111097,0.8665452,0.38074592,1.6015571
NCI-H526,3.1807601,0.5702875,-0.076817565,1.660506,-0.20256571,-0.7727154,-1.1721413,-1.4569724,-0.8448229,-2.1379402,1.3546491,-1.5276191,-0.35602757,-0.17552817,1.1989181,-1.0410168,0.15244421,0.98045295,1.1585498,-0.017794717,-0.7300796,0.602647
ES-2,-2.06881,-0.6165844,-0.28176403,-0.38509157,-0.0602757,-1.887909,0.5506435,-0.04422742,1.9799767,3.2377663,-0.40064523,0.8600121,0.90162593,-1.2592345,1.2698066,-1.045975,0.41269997,-1.5924419,-1.20679,-0.69138545,-1.3200815,0.467936
OVCAR-4,1.3388183,0.15292901,-0.28910592,-0.6973319,2.0929773,1.2079488,0.0425303,0.4288063,1.0988504,-2.558666,-1.9672719,0.80145717,1.7417715,0.9632742,0.35362998,0.37834275,-1.8390337,-0.76605654,0.25109866,-1.1471481,0.34109855,0.44091058
SCC-9,4.14958,-0.9329693,-0.8340968,-1.7294632,-0.03034824,1.9943238,1.5111624,0.24072917,0.9279698,-2.0218883,-2.2784371,0.1187276,-3.3617635,-0.13617875,-0.77073205,2.0005844,-0.43622726,1.6498727,0.38954812,0.70167255,-0.08862029,0.8044717
EM-2,-3.9316266,2.0718772,-0.3451269,1.1081375,1.4585289,-2.2805622,0.3791312,-2.3324132,-0.73641175,-0.8535389,-0.6313164,2.2917287,0.97390395,-0.4149693,1.8680253,-1.7269481,0.19857065,-0.3461976,-1.4927342,2.9236708,2.3935924,1.54952
COLO 792,0.17895074,2.1434305,-1.36302,1.1826009,-0.19378433,-1.6708646,-0.90793645,-0.90411925,-0.60143965,-0.47743982,1.0200456,-1.9346377,-0.7791148,1.3028928,0.594994,-0.5508757,-0.61656594,0.32498795,-0.56337833,-0.2618134,-0.19157922,-2.7843213
JHOC-5,2.2539513,1.5772003,0.05864587,-2.0940502,0.84807074,-0.22996919,0.45526385,0.0374286,-0.25548285,-2.5013337,0.69896793,0.16616884,-1.3308617,-1.3854291,1.1597117,-1.0265797,-0.19207154,0.37347084,0.4357198,0.2689117,0.7651475,-0.70761895
K-562,0.5076641,1.0991287,0.35376796,1.7270973,-0.3289267,-1.7300589,-0.62768745,-0.4185294,-0.42459026,-1.1579143,1.8079783,1.0419575,-0.42435166,-1.3791932,-0.43173754,-0.35639706,-0.15587412,0.6390152,-0.1353167,1.686181,-0.022098623,-0.51669073
DMS 79,2.961081,-1.3699151,1.2880281,0.16913886,0.9801766,0.44472575,-0.10357365,-0.25420538,-1.0353574,0.14406368,2.4794958,-1.645254,-0.96598977,0.7163251,-0.20925063,-0.7783273,-0.30105487,0.118269965,2.0938087,0.37176013,-0.26737702,0.35108286
HuG1-N,-0.5513987,-2.2872117,-1.3399049,1.0820653,-1.1790022,0.55645263,-2.5701957,-0.029428639,1.2857941,1.8516598,-0.043422565,1.2877537,0.63543177,1.3205782,0.26048326,1.2840163,1.3983686,-2.0178823,1.6456441,-0.067063436,3.427487,-1.2519324
TCC-PAN2,-2.0573242,-2.7291343,-0.4461213,1.345774,0.031875886,-1.0624437,0.8167179,0.98412275,1.4667698,0.5671166,-1.7411366,0.071905866,0.6277519,0.014375929,-0.43107542,-0.63615745,0.15644959,0.9532309,-1.095683,0.26796275,1.721276,-1.1237279
Calu-6,-0.97573894,-1.6610101,0.19659132,1.6774613,-1.0013446,-0.5778652,0.7176274,0.25774044,-1.1323278,0.09357652,1.6291394,0.22464725,0.29794678,-0.9508304,-1.1269919,0.69114155,-0.28008857,1.1874478,-1.1665715,-1.036335,-0.105440795,-1.6095656
