,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21
BL-70,-3.7554524,4.1909275,-0.16504492,0.97801566,-0.950543,-0.7374231,-2.269809,-0.9204229,1.0182134,1.421494,-1.0176166,2.1099603,3.7027476,-0.18609938,-0.29176864,-0.084463835,0.2258719,-1.2442633,0.5620787,-0.8697218,-3.6665006,1.7361209
LP-1,-0.5921035,1.0926316,0.15910959,1.0712365,-1.0267045,0.39881498,-0.4552516,-0.42636943,-1.9472346,2.0296862,2.7992606,1.6426079,2.6252077,-0.05368507,0.92574227,-0.92395616,-0.5927011,0.37841946,-0.66476846,-1.7419729,-0.25493342,-0.7093547
SNU-C4,0.4025284,-1.7995912,-2.6614954,0.42057487,-0.0147589855,2.1284301,-3.5958998,0.541059,-1.497685,0.060308512,0.4543199,-1.5254042,-0.7117008,-0.37055945,-0.66764843,1.371474,1.2618024,0.99343467,3.6135633,0.6802931,2.438412,-1.296443
GP2d,0.09434587,-0.5379048,-1.3006196,-1.7948058,-1.4086919,0.53978676,-3.5044756,-0.5333052,-0.6768765,-1.6220096,0.9678655,-2.790656,-1.242798,1.0720257,-1.266625,1.7313915,2.2447546,0.15331562,3.6906252,-0.15000075,2.6496873,-1.8472599
HuP-T3,-0.3039886,-0.5952559,-1.6530364,-0.13828915,-0.37176487,-1.0795027,-1.0962353,-0.08228938,-1.525468,-1.4267896,-0.10035695,1.663572,-0.60891044,-1.0185493,0.3684805,1.0292026,0.4781834,1.1361092,-0.758971,-1.4618385,0.35243812,-2.7871122
TIG-3 TD,0.95725864,-0.8454206,-0.33319297,0.20903909,-1.2738814,0.5906584,1.6753737,-0.73313344,-0.5126104,-0.48386672,-0.74526405,-0.4146812,-0.420613,0.37458017,-0.37986282,0.2217761,-0.39746615,1.5192784,-1.3792547,1.0874739,-2.0244355,-1.8264356
CAMA-1,-2.9509902,1.9012372,0.5623296,0.44378626,-3.0156374,2.8196802,-0.65967906,1.5859761,1.2606839,-0.42866457,-2.4103107,-0.5460161,3.805412,0.43748662,-0.8985131,1.4733524,-0.5238095,-1.2902395,1.952937,-1.1175545,-1.2414492,2.4755495
BHY,2.0772161,-0.90247995,-0.23903695,-1.5980408,0.7578353,-0.6318278,2.0061264,0.7180626,2.9786527,-1.4848261,-2.8649156,0.4230389,-2.3786383,1.3302667,-1.034265,0.8959667,0.58799887,-0.86775196,1.0378106,-0.79478544,1.0268619,0.63738567
COLO 678,0.38880768,-1.3461655,-1.5548922,0.06833428,0.20777944,-0.32635802,0.18193027,0.03429057,0.07820432,-0.14898878,-3.1508102,-2.1470947,-1.2851346,1.0438354,-0.5525344,-1.9693966,2.2953498,2.110181,0.896698,-0.8624289,2.3337867,-0.17886426
HCC70,-0.2224997,-0.36020672,0.32647675,-1.2404337,0.12100038,1.6704341,1.0141467,1.6857932,3.1544523,0.57475543,-3.0053053,-0.46539852,0.21962056,1.478752,-1.0929513,-0.15086143,-1.500886,-1.2573614,2.2599626,-1.5808204,0.31117362,2.3805354
