,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
HuT 78,-4.2724566,-11.949375,2.8464851,4.046966,-3.918508,-13.64376,-9.55052,13.628519,-2.6816552,0.96492034,-2.5008898,1.1983553,-8.688545,15.147348,-9.126904,22.1371
HEC-1-B,-0.8202576,1.9976817,0.82012314,2.8611233,-0.9560921,1.8909369,2.8541744,-0.57828695,1.7498823,-2.6335745,0.32688496,1.4745147,0.2793072,-0.3828482,0.7932995,1.1097003
HCC1438,-0.8161129,-0.5027626,1.4013811,0.9788852,1.8359569,0.6432438,2.192333,-0.0057729445,-0.28878006,0.8267482,-0.22680569,2.0972035,-1.7050012,-3.0284421,-0.10364608,-0.2898034
REC-1,-5.05561,-12.865325,1.4307514,3.156173,-3.3957057,-11.928076,-9.001368,11.812939,-5.312298,-1.5718411,-0.2935841,-1.2061028,-9.57536,16.102083,-10.157306,19.542423
COLO 677,-4.2639985,-6.9286437,-0.2953384,1.845622,-1.1876208,-4.692607,-5.5757494,5.4363604,-5.754173,-1.6790406,2.440702,-3.0643325,-5.8480763,9.169416,-6.0712533,8.566026
RERF-LC-A1,-1.2724476,-0.66832656,2.1562715,1.3859129,2.6621265,0.52011096,2.7528975,0.41442722,0.068046376,1.4899188,-0.71449155,3.575009,-2.443615,-4.57004,-0.17894852,0.10899545
NCI-H2110,-1.1178063,2.5108082,-0.8447933,-0.09496257,0.20365196,1.5462044,-0.11328019,-0.74194694,-0.23766252,-3.4852993,2.3894901,-3.2746701,-0.15304574,1.6496196,0.16733196,-0.44985396
59M,-1.6717902,-1.4595522,2.9266486,1.7829114,4.0244894,-0.22257437,3.6512775,1.4278857,-0.8074864,3.5369933,-1.3030591,5.770746,-4.1208816,-6.3066564,-0.2427553,0.83432364
CL-14,-1.5434808,4.7675743,-0.6599204,2.0635753,-3.289566,1.1922853,-0.5215196,3.073187,0.97053033,-5.225382,1.9646093,-2.0903406,0.60558736,4.3025002,0.11716529,2.9739075
SNU-387,-2.102985,-2.004454,3.3901167,1.6315916,4.522578,-1.1903713,3.3748357,1.854391,-0.88950384,4.5403614,-1.8046902,6.1867385,-4.5216923,-6.6203403,-0.34893435,1.4999602
KMS-20,-4.893641,-8.6104355,0.9074251,2.5251799,-1.5493406,-7.643065,-6.924865,8.375604,-5.5958557,-0.4954164,1.5616404,-1.6596321,-7.5150003,11.04232,-7.46943,12.476882
SaOS-2,-0.34387434,-1.0108547,3.2988944,1.7232217,3.1078281,0.12253448,2.8891826,1.7839823,-0.41057462,2.9106796,-0.8411197,5.865686,-2.3418634,-5.4897485,-0.0005528284,0.505342
TT2609-C02,-0.99626243,-0.88508147,2.198413,1.557342,2.913671,0.31505343,2.948466,0.8902258,-0.4158736,1.8907303,-0.8228852,4.084025,-2.7695549,-4.605099,-0.10523307,0.3915244
BCP-1,-3.146179,-6.2781835,0.73939353,2.4662368,-2.1895018,-5.208603,-4.7553096,6.346715,-3.769378,-1.5521271,1.4843656,-1.1874768,-4.3855233,8.976142,-5.3142905,10.139484
NCI-H441,-2.8167381,0.9983838,-0.030918412,0.8324822,0.8325543,-2.401216,-2.10725,2.6734984,0.2516834,-1.0177746,1.5112059,-2.455407,-3.27024,2.6674266,-1.8506534,4.144066
NMC-G1,-1.7658738,-1.5733157,3.5315266,2.5580392,4.6359534,0.5637231,4.7006693,1.9162399,-1.3126955,3.5328553,-1.1206445,7.374724,-4.487296,-7.783586,-0.28772244,0.26801988
DMS 79,1.5372293,4.494211,3.986425,10.133151,-7.470503,3.5804243,8.4348135,7.539893,1.6327826,-11.011599,4.324883,9.714539,4.302705,5.2362714,2.6233351,9.19286
BJ1-hTERT,-1.857306,-2.092551,3.7932873,1.871897,6.6684856,1.5784212,5.3868666,0.72847325,-2.7793527,3.7288918,-1.1277288,8.247972,-5.8882227,-9.913798,-0.079279356,-0.9181028
NCI-H23,-0.27211243,-0.06361654,1.5335065,1.3041723,0.4111819,-0.23816492,1.1536808,0.8006109,0.74228615,0.6128194,-0.30940315,2.0645826,-0.5255266,-1.2192796,-0.17212123,0.82191354
NCI-H524,2.5501463,2.210595,5.843147,9.997391,-6.181518,2.526567,8.135108,8.157309,1.7238555,-8.899899,4.465826,11.923228,4.176101,3.6633034,2.249904,9.622061
U-251MG,-0.52598834,-1.3976828,2.940908,1.8696412,2.681557,0.49817,3.2514708,1.2929064,-0.86457837,2.6809564,-0.31851575,5.6897283,-2.1046371,-5.4734945,-0.0979098,-0.059746984
PL-21,-3.0925689,-13.861587,1.94761,1.8247964,-3.835002,-13.738799,-14.345812,12.972048,-1.1573578,0.14236967,-3.7305403,-3.2209523,-8.547045,16.430582,-8.103012,24.532553
SUP-HD1,-2.706758,-6.1242003,1.5254802,3.089656,-2.2780511,-5.8497686,-3.2996938,7.1625443,-2.4571881,-0.7951016,0.6281316,1.589496,-4.0616593,7.5944204,-4.670481,10.983227
HuH-28,-1.5849744,-1.5124611,3.302647,1.852445,4.240313,0.16313669,3.8237367,1.1283618,-0.91791743,3.465731,-1.2497028,6.526198,-3.8341248,-6.992771,-0.11255848,0.23063682
AMO1,-5.5318947,-10.009334,0.7693975,2.7628758,-2.062569,-8.248434,-7.8424234,9.122579,-6.7643447,-1.097618,2.083582,-2.3058982,-8.266436,12.724346,-8.661245,13.906494
