,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
AU565,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
SNU-601,0.34342766,0.3062552,-0.78310275,1.1441891,-0.60025054,0.392223,-0.050400347,1.434726,-0.78424025,1.0737041,0.89505875,0.030074567,1.047,-0.9885524,0.15395723,-0.34357917
KYSE-410,-0.052854307,-0.1615697,-0.20886005,0.9383701,-0.71691495,0.28118336,0.45887622,0.25998086,-0.6262779,0.61829764,0.2768907,0.108474314,0.5148301,-0.29451025,0.2249565,-0.19726741
Hs 751.T,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
MDA-MB-435,-0.096753106,-0.25825134,-0.185715,0.37256604,-0.24077818,0.29101348,0.38330355,-0.38387764,-0.09479067,0.2647186,-0.2650863,0.43227923,-0.10723075,0.022694662,0.2910344,-0.016136585
U-178MG,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
NUGC-3,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
TF-1,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
DND-41,0.4525541,-0.10813667,-0.2646571,0.3838797,-0.4187135,0.8489557,-0.28768924,0.44682425,0.529829,1.011069,-0.5821839,0.31520876,0.4480686,-0.6604205,-0.10907704,-0.25788116
Hs 571.T,-0.22784838,-0.2765792,-0.456685,0.51241183,-0.075865805,0.22127971,0.5898872,-0.14529397,-0.2833577,0.26076564,-0.042219087,0.4565161,-0.33415353,0.23877405,0.45000023,0.041638948
HEC-6,0.3954159,-0.3135511,-1.0440737,-0.19823664,-0.5130783,1.1463885,-0.8711344,0.95276654,-0.1384381,1.9976773,-0.75402486,0.61233115,0.26434657,-1.1015648,0.24111605,-0.7680592
LN-443,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
CAL-54,1.0021825,-0.22259189,0.19327135,-0.0037427545,-0.68031096,0.13042486,0.07295883,0.017466098,0.5388372,0.300844,-0.6070927,0.28936416,0.6446544,-0.8016952,-0.5907314,-0.083889976
NCI-H211,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
OCI-Ly3,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
SH-4,-0.096753106,-0.25825134,-0.185715,0.37256604,-0.24077818,0.29101348,0.38330355,-0.38387764,-0.09479067,0.2647186,-0.2650863,0.43227923,-0.10723075,0.022694662,0.2910344,-0.016136585
CCK-81,0.06888281,-0.16666956,-0.2839338,0.52893925,-0.10244338,0.04737103,0.5060192,-0.36655495,-0.14532913,0.23550376,-0.5087548,0.53892964,-0.029697351,0.16855101,0.2996399,0.056757174
Calu-1,1.0405217,-0.22785494,0.13486595,0.5848366,-1.2650218,0.08546372,0.25314564,0.7452344,-0.13091244,0.73938066,-0.056564122,-0.057391524,1.2529786,-1.0905071,-0.65597343,-0.30796248
HCC2108,0.4319821,-0.60834104,0.08425145,0.20052688,-0.6342822,0.38830623,0.46654272,-0.14734018,0.44665375,0.5307867,-0.87961596,0.33000243,0.038980365,-0.11675286,-0.24075747,-0.09158345
CW-2,0.62854224,-0.34699124,-0.8589859,0.24841228,-1.0005937,0.9863812,-0.63668144,1.2974206,-0.4030784,2.1934762,-0.6773564,0.36022997,0.8234689,-1.2516092,0.0064199865,-0.8614069
HCC44,0.49908853,-0.024418682,-0.042355374,0.5197638,-0.48006356,0.1979927,0.21329597,0.16752362,0.1280048,0.29672414,-0.05581747,0.21599351,0.5628916,-0.53215116,-0.17943996,-0.03165543
SW837,2.2519784,0.3675026,0.7244132,0.2719185,-1.1263996,0.056120887,-0.45103142,0.8879634,1.3280894,0.2506764,-0.33974344,-0.16494131,2.1261375,-2.0013254,-1.6397941,-0.06818581
