method,var,variable_type,metric,value
SVMRegressor,Erlotinib,numerical,mse,0.004616562025184368
SVMRegressor,Erlotinib,numerical,r2,0.10356003490084173
SVMRegressor,Erlotinib,numerical,pearson_corr,0.32180745003937017
