,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48
IMR-32,-1.1681644,0.41324714,0.63443273,1.0865234,0.82203895,0.60992736,-1.7877064,-1.7779627,-1.556645,-0.8806432,0.9548334,-1.4719573,2.130358,0.76580083,0.25446874,0.09851697,0.18602061,-0.25302348,-0.9124608,-0.23091419,1.2357613,-1.0168693,1.3970187,-0.8221567,1.461103,0.24016267,-0.46883082,-0.030055761,-1.7640676,-1.178509,-2.2832167,1.7689992,3.3743734,-0.5714799,-0.14889818,-0.024979573,-1.6539222,-2.4035609,-1.0356879,1.0482794,-0.53256947,2.6458998,-1.594579,-0.14251894,0.30990988,-0.12783624,-0.19029813,-0.92217886,1.5510188
SK-MEL-5,0.24560203,0.08191643,1.5601847,-1.3446002,0.29988036,0.5062189,0.8491168,-0.71333253,-0.28500408,-0.78288585,0.5569445,-1.0634685,-3.3260589,-0.13265967,-0.2223388,-1.2605469,1.3547597,-0.5782836,-0.32735115,0.47915253,1.3507833,-0.20755193,-0.37078145,-1.8626829,-1.1308992,1.2409872,-1.5680614,0.5382439,-1.0866456,-2.388369,0.2955184,-0.4952714,2.182467,0.58640736,0.12347582,-0.28321207,1.5495733,-0.8939993,-0.60508937,1.7155244,0.65820056,-0.021074735,-1.3975638,1.1047508,-0.7871378,2.9365869,0.9811713,0.67796946,0.0018539745
SNU-175,-0.51332486,-0.33975333,-1.9843241,-0.1266937,-1.3468003,-1.2318255,-0.08409034,1.7838823,-1.1915306,-0.32094198,-0.01273681,0.20085639,-0.122746244,1.031536,2.9334197,-0.040259793,-0.66282016,-1.9223478,-1.5601796,-0.95167375,0.43809867,0.2531982,-0.13379598,-0.45340785,0.44155318,0.46520266,-1.1207644,1.7650158,1.3173454,2.1520317,0.6973674,0.25810224,0.40451095,-1.3045977,-0.31773376,-1.434612,-0.5581509,0.13703446,1.7219493,0.30531204,-1.3741211,0.19230291,-0.050187692,-1.9131672,0.6989856,0.7963283,-1.9142551,0.4792524,-2.6289704
OVCAR-4,3.289148,-1.0502996,-0.062572435,-0.8093551,-1.5266231,1.7273033,-0.06765133,0.9295624,-2.3199048,1.6324004,-0.014582187,0.51128775,-0.64603895,1.1428269,-1.54348,1.0558174,0.36113942,-0.02532687,1.5285515,-1.8293216,1.7512072,-0.1981701,-1.248458,0.99859375,1.8055372,-1.0686581,0.8593902,0.32464182,-1.2662848,0.68958545,1.015203,-1.6074632,-1.901,-0.18334877,1.1631033,1.5428565,0.010738611,1.4493091,-0.79307336,1.3641036,0.75101733,-1.8335888,-0.35394377,0.58260274,-1.2423126,0.3652264,0.38446575,-0.076942906,-1.4125568
RS-5,0.33427876,-0.06749132,-0.03925743,-1.9754407,0.79196215,-1.7058115,3.3993719,-0.8383759,-1.0918187,-1.5836833,1.3948731,-0.29567453,-0.62789774,-0.78769356,0.63243884,-0.25701034,-1.2711846,2.5476925,0.24154106,-1.9519053,-0.10266125,-0.70491827,-1.048878,-2.059283,0.6583682,-0.018586136,0.4681988,-1.3404253,0.6700879,1.299114,0.9036596,0.08788353,-2.9210885,-0.18522127,-0.25682348,0.61000323,-2.0516748,0.47770387,-2.1738992,-0.24114503,-0.38861164,1.7423149,-0.8675659,-1.3558604,-0.26867932,0.28887668,-0.9077442,1.0511237,1.2498358
HuT 78,-1.724801,-0.21677704,0.17560998,-0.306112,0.69710845,-0.5813728,-0.60678405,0.25043997,0.6908739,2.1778684,1.2787021,-1.1663685,0.083824836,0.8435894,-0.81729037,2.5285966,-0.56520694,-2.0275605,2.3335457,2.0548093,0.83893055,0.13475741,0.35562935,-0.03254938,-0.57045525,2.1809433,0.69209075,-0.87208474,-0.65935695,-0.76868343,0.8822889,0.06475042,1.5282867,-2.0438735,1.3264425,1.3563715,0.76815957,-1.2027086,-0.8273492,-0.59570926,-0.041671403,0.22568543,-0.5378275,-1.0174763,1.2773333,-0.27900794,-1.0555668,2.1752577,1.2093049
KYSE-450,1.7621061,-0.9087097,1.6360652,0.4305517,-2.7809315,1.1512364,-1.4265826,-0.08846657,0.45093843,0.42126715,0.5674046,0.28277808,0.5898666,1.0375248,-0.14502634,-2.7390997,-0.26022413,-0.2902885,-1.035692,-0.30208665,-1.2297113,0.35239276,0.014268515,1.6635069,0.61323845,-1.9366047,0.031557634,1.9146632,0.05842188,-0.83985144,-0.7267229,-1.6552386,-0.12245283,0.42581636,-0.78519374,-0.77343255,-0.24162233,-2.5016482,0.322242,-0.009077134,1.1044799,-0.50823534,-0.041729633,0.4534802,-0.42700514,0.680183,1.426368,-0.5635804,-1.3129779
COLO 818,-1.0549029,-0.64180803,0.5591625,-0.8556582,0.15278299,0.35098225,0.7772555,-0.028742764,-0.52453166,-0.66742635,0.0024532378,-1.177002,-2.6299546,-0.1071088,0.56609046,-1.1533676,0.9592451,1.7054496,-0.094154194,-1.9198244,-0.4280185,-1.3706859,-0.6665313,-1.1992776,-0.62908137,-0.0004481445,-0.83451414,0.25943807,0.628072,-1.0017902,0.7745049,0.16396683,2.1010742,-0.02627717,-2.0847142,-2.796959,0.1441175,-1.550435,0.6668823,0.33695817,-0.20903575,0.8641072,-0.53212094,-1.5195775,-2.698496,0.74209917,-0.0121861575,-1.0953101,1.5143011
IGROV-1,1.7337182,-0.13446757,-2.2899406,-1.0627543,-0.49482003,0.8874281,-0.14392947,0.7594877,-2.5726402,-0.37158653,-0.6285502,3.9267163,-0.38708612,1.139926,0.33570638,0.24555376,1.5283751,-0.88719857,-0.2020839,-0.6898924,0.7010972,0.63143057,0.09238815,0.10686408,1.5544783,-0.27481285,1.6517174,1.2661021,-1.3978801,-3.0223415,-0.5311064,-1.7961137,-0.5851461,-0.70343924,0.97298825,0.3428437,-0.19949342,0.75830185,-1.8872237,3.0116081,-0.61983144,0.39389932,0.33496985,1.238335,-0.006480142,0.46157897,-0.0408153,0.5734516,-1.7980409
NCI-H647,-0.102195665,0.8644606,1.3648072,0.29669422,-0.3254491,0.9630061,0.54336494,0.9818748,1.2946974,0.059923895,1.3616555,-0.41622624,-0.3989661,-1.7443322,-2.4956973,-0.26415053,-0.39996162,-0.58944607,0.4679182,0.35526448,1.2407334,2.183441,0.09036873,0.4063666,0.41288403,-0.034790467,0.8540101,-0.53352475,0.06778902,1.0983179,0.9338571,-0.5632053,1.238329,-0.8954695,0.025504746,1.2386678,0.54245913,-0.97857255,-1.1458784,-0.6142545,-0.3736138,1.6754154,0.65284127,-0.37611896,2.2602868,1.9064288,-0.7158975,-0.8392462,1.157197
