,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48
AU565,-1.1085533,1.1053398,-0.41230345,-0.9604978,0.24353132,0.12928614,-0.37879044,0.8029902,0.5870322,-1.6350622,-0.4047084,-0.53222597,-0.7256071,-0.17944607,0.41252816,2.1971924,0.12798914,-0.23461938,-0.42131516,-0.18747783,-0.05503136,-0.3707989,-0.15298991,2.6335824,-0.390252,0.12784669,-1.3159246,-1.863763,-0.29997167,1.1368086,0.9522826,-0.8769001,1.0019414,0.64414257,2.1080027,2.9838693,-0.7971386,2.6596513,-0.13985021,0.7771119,1.1800181,-0.97694135,1.3626894,2.072882,-2.793811,1.3684443,-1.6611336,0.6504806,-1.8135624
NCI-H1755,-0.5782087,1.0819052,-0.11606218,0.36816233,-0.2873665,-0.29599395,0.5513795,-1.7414426,0.49067184,-2.3190622,0.31830767,-0.40017194,1.5706283,-2.783861,-2.225931,-0.7758872,-2.1013577,-0.57145476,-1.5462893,3.1036417,1.4512374,1.2121723,0.88022697,0.48219162,0.26529557,-0.42364505,-0.06246644,-1.0127127,-0.075957775,1.7543454,-0.36825207,0.11412333,0.7574566,-0.3970399,-1.2035216,-0.11005284,0.6699009,0.5127388,0.6053542,0.42760533,-0.18559238,1.2607536,0.5644693,0.27951977,0.6235184,-0.25441834,-0.38811514,-1.7398095,0.7973155
CAS-1,-0.11704303,-1.6560357,0.24622911,1.2748419,0.8836528,-0.76262176,1.2616328,-0.5415665,0.24044374,-0.8049359,0.5946174,-1.1198452,-1.3027942,-1.1037321,-0.36714032,-0.027340207,-0.011089878,1.3436447,-0.7425676,-0.8030738,1.7129209,-0.88933206,-0.9118191,-0.12567782,-0.97900784,-0.049378492,-0.42312542,-0.8281506,-1.6363777,0.6005717,1.3775471,1.1650023,1.2330815,-0.19715203,0.01737681,-0.23172392,1.5440987,1.1359259,-0.9632055,-1.8593996,-0.8072517,1.2393323,-1.7955531,-0.1185015,-0.14348863,-1.1492455,-0.49881932,-0.5607059,1.8719014
RKO,1.2980076,0.8691214,-0.065631084,0.077562064,0.36077976,-0.8342884,-0.7020763,-1.2486176,0.36646992,0.2555297,0.23234947,1.5265507,-1.4465195,1.4225477,0.35698798,0.99697286,0.79416555,-2.0187914,-1.9335754,-0.1852225,-1.3430684,0.584844,0.13113552,1.168688,-1.1547577,0.008536581,0.7207708,2.2251973,0.16401005,-1.473381,-0.18194619,0.32848626,0.14108081,-0.82196105,-1.2781979,-0.643465,-0.18441512,-1.5892785,1.0435702,0.6281033,0.060739815,0.34893334,-2.0510912,1.2104355,1.0176107,0.03977433,-0.4622652,1.4926237,1.1207262
SNU-C5,0.119712204,0.12676065,-0.0571844,-0.68517756,1.5831494,-0.18720901,-0.2652454,0.6861606,-0.65097845,0.04904803,-0.9138777,0.558835,0.5526522,0.98789036,0.9455303,1.1641101,2.1369793,-1.673933,-0.68838215,-0.6121497,-1.8325319,-0.1955072,0.74240845,0.3485134,0.8481075,-0.17282297,1.0910285,1.9873735,1.9122678,0.6956324,0.2971547,0.1784858,-0.47686478,-0.4372542,-2.0436778,0.40838778,-1.90654,1.2389269,2.120954,0.8837703,-0.911692,-0.30621406,-0.3728053,-0.73648995,1.7840972,1.7153419,0.7172341,-1.6261097,0.27573353
SK-N-DZ,-0.6039368,1.8194994,0.4538158,0.6018053,1.5354228,1.2674474,-2.0075157,-1.784498,-0.7367182,-1.1439462,1.1246026,-0.99323314,1.07601,0.320195,0.2602808,1.1513449,-0.22320211,-0.74870354,-0.08739947,-0.22291481,2.301825,-0.75075215,1.4307365,-0.43865013,2.0041606,0.37225744,0.34114605,-0.5948367,-1.8124964,-0.74431735,-1.446478,1.1292206,2.7321517,-0.531763,-0.5071238,0.027723892,-0.71926284,-1.7807659,-0.20964462,2.0570076,-0.2997725,2.3322246,-1.5313532,0.56120354,-0.89155155,-0.9435679,-0.4405409,-1.0071887,2.0052142
NB4,-1.0855914,0.9152413,-1.0145366,-1.357425,0.61460257,-1.7791501,-1.3889836,0.30541188,1.4291457,1.1663059,-0.7026117,1.4350636,-0.17632562,0.6439844,-1.260249,1.1833924,-2.106584,-0.6394197,-1.2408851,0.6806673,-0.16801807,1.5311538,1.8738502,1.245197,-2.788867,0.36807433,0.29129198,0.860994,1.0677502,-1.1968501,-0.14902481,0.5180653,2.0039976,-0.5001166,0.36001426,0.4398923,-0.8767821,-1.5181856,-0.38167697,1.5359601,-0.9607646,1.1591679,1.1333036,-0.2767525,0.59930724,-0.26472065,-0.8304478,0.8451182,1.3176949
5637,1.7313298,-0.51970565,0.54543614,0.2103929,-0.4732939,0.30481726,-0.5041208,-0.33437547,1.859219,1.75672,-0.5220059,-1.0352829,-0.5660563,0.74587154,-0.98744375,-0.071563095,1.7849758,-0.56627804,2.0747695,-0.40910983,-0.43241245,0.5901618,1.0886002,3.004484,1.0090826,-0.8087723,3.0040116,-1.0173472,-0.34058636,0.6943879,0.18374011,-1.377307,-0.45254642,-2.123166,-0.74030554,-0.1978312,0.9907167,0.94387025,-1.5282028,-1.3284663,-1.0988123,-0.042742256,-0.28948376,-2.2164245,1.1519717,0.022652447,1.336212,-1.9906706,1.0759901
PLC/PRF/5,2.2288914,1.1645857,0.3838656,0.7334971,-0.5997363,1.2046463,1.6528153,-1.1065569,-0.95664495,-0.20168717,0.7193878,2.0563471,-1.5747684,-0.551309,-0.7070549,0.60130847,-2.1505842,-0.25517595,-1.6520654,0.7392057,1.0041289,1.2288909,-0.36145887,-0.4751379,-1.171124,0.2205678,0.7216864,-0.77083707,0.18985485,1.1934488,-0.7083496,0.7145967,-1.0297705,-0.30359676,-1.5618502,-0.86379147,1.6514773,-1.9161001,-0.20995827,2.1067963,3.1251233,0.012119007,-0.6824052,1.0472153,-0.28060874,1.4336382,0.28347522,1.8869283,-1.544588
HCC1599,-0.15988488,-2.303383,-1.2345217,1.1860752,-3.0355608,1.3747677,-1.7765431,0.47451714,-0.41271564,0.009675985,-0.73257446,0.67080116,-0.36827797,4.010613,0.4900776,0.9379003,1.4478166,-0.14128028,-0.17820469,-1.0442461,-2.0606751,-0.020396702,-1.9653435,1.2529145,-1.3996361,-1.6702899,-1.993645,0.40521207,0.86290544,-0.7270707,-0.4196887,-0.71313536,0.76862824,-0.18677038,0.605245,-0.96089125,-2.187774,1.0442524,0.2750529,-0.6631202,0.646531,-0.52978384,-0.6838156,-1.118396,-0.60498774,-1.1463615,0.76371735,0.116138145,-2.630882
ST486,-2.667168,1.4366755,0.0986654,0.19949864,-1.312253,1.6657368,-0.62394154,0.6335457,0.465558,1.7806935,0.75315976,0.13664825,1.276761,-0.871378,-0.5441858,-0.2520712,-0.2143207,-0.015957706,-1.0750955,0.5634125,0.56554765,-0.021374233,0.5105843,-0.59579057,1.0599647,0.2721194,-1.7322304,0.93771815,-0.2471062,-0.6750016,0.92073506,0.3662482,0.45023295,0.14770652,-1.7270497,1.1487949,0.09525286,-2.59068,0.30391997,1.0062728,1.3181287,-2.519324,-0.8981373,0.8243464,-0.5053426,0.3175641,2.2529902,-0.102962464,1.4361026
RD,-0.45067662,-0.58677256,-0.74166894,1.0956831,1.2333237,0.47650182,0.3524506,0.93074995,0.15822695,-0.15294464,1.5314537,-0.049068138,-1.1155173,2.6718397,-1.6947865,-1.0723984,-0.0505234,1.1331061,-0.3653347,-1.6949719,1.4835169,-1.3857924,0.9759887,-2.2196012,1.0433277,0.12333672,0.09311688,-0.40481803,0.5777402,-1.2238585,-0.27082473,-0.0525781,1.0244504,1.4157665,-0.105573155,-1.946526,1.0082291,-0.25455433,-3.163464,1.1474158,-1.4329865,1.7632444,-1.2687116,-0.10747802,-0.22865692,-2.2145875,0.8343938,-1.3176199,0.91258657
KOPN-8,-2.606256,0.70575345,-2.0993338,-1.3318841,-1.437341,-0.8219821,1.8732808,1.6120391,2.0688438,2.2853549,0.72693884,-0.25205418,0.92177975,1.1549932,1.6874982,2.347869,-0.17377944,0.3635661,1.7651017,-0.17743097,-0.16691405,0.68601984,1.1425632,-1.0503399,0.9332247,2.0944085,0.5852859,-1.8716843,-0.23399398,-1.087046,-0.08750535,0.6674539,-0.6484944,-0.9618052,0.49072653,0.101130314,1.3073364,-0.21304406,-0.72162324,-0.06609668,0.97390705,-1.8702991,0.21746193,-0.26451626,0.86827135,-0.6429822,1.305949,-0.91484344,0.8348828
Hs 742.T,0.56388426,0.5390141,0.0058518685,-0.63681966,0.39077008,-1.3267908,1.8344882,-1.9217353,-1.1527866,-1.8134443,1.0471517,-0.2716393,0.13947932,-0.9405371,-0.18702377,-1.2304677,-1.3606018,2.205897,-0.36002937,-1.7369132,-0.6894397,0.009065505,-1.6286403,0.6444413,0.46010196,-1.430322,0.3451364,0.32424432,-0.20464621,0.5894947,0.8945339,-0.83243185,-1.8921795,0.04856845,-1.570586,1.2251428,-2.9090872,-0.23440266,-0.5886909,-1.3393492,-0.53158695,1.3432233,-0.7726209,0.004174797,-0.8481542,-1.0022603,-0.8336544,1.6563307,1.7798023
RVH-421,-0.3161791,-1.1868125,2.3220408,-1.2483821,-1.1678385,0.051052295,0.7800425,-0.59032863,0.28449005,-0.7720391,0.008792451,-1.2976081,-2.6394835,-0.74379516,-0.68116766,-1.1242096,0.75250685,0.012707356,1.118501,0.010122195,1.5215666,-0.42921758,0.011663923,-0.6402736,-1.6176133,-0.0022444823,-1.4224685,-0.32843506,-0.9816004,-1.6713825,1.3072108,-0.9551287,1.9401395,-0.05759368,-1.7062877,0.09399797,0.54816675,-1.412898,-0.22114316,0.9206865,0.4845179,0.85935485,-0.4208986,1.5604509,-0.88107085,0.8430376,1.2214068,-0.017583782,0.35612264
Li-7,-0.46115965,0.80703574,-0.40055928,0.88070524,-0.18623354,1.2111217,0.483689,0.6853454,-2.6092463,-1.688458,-0.4627011,0.8642966,0.12869473,-2.1694994,-0.89396775,1.6252571,-1.5938917,1.5959098,-2.2011745,0.080959395,1.9952501,0.600896,-0.1154056,-1.2573218,-1.3618975,0.09616308,0.1702542,-0.4020657,-0.50746596,1.9934781,-1.7127353,1.6051079,0.30421597,0.44848835,-0.55011654,-1.8655472,2.2160723,-0.07054668,1.001143,-0.7017089,1.2112887,-0.20066799,-0.74183357,1.6080655,0.37213066,1.3876065,-0.9992671,-0.5427944,0.309265
NUGC-2,0.55573934,-0.2818594,0.36143523,-0.387476,0.18171367,-0.8578659,-0.4110291,0.65723646,0.8493164,-0.15164483,-1.9945064,-2.2086008,0.62428665,-0.98357666,-0.4153277,-0.5180499,-0.49178794,1.3384632,0.07401055,0.17114097,-1.2243482,-1.1347541,1.548896,2.6473415,0.2607493,-1.606078,2.318908,-0.5547741,0.0289889,1.1792521,0.18431292,-1.1770177,-1.2480818,0.8733351,1.3828582,0.11267266,0.6894911,1.2921305,0.71027577,-0.42623377,0.68487984,-1.0385147,1.4914237,0.07990143,-2.7636023,0.7269065,0.47335583,-1.7226919,0.18981694
SK-MEL-3,-0.043034565,0.72897005,0.6899577,-1.255293,0.64095247,-0.39980122,-0.06646551,-1.7493858,0.088995636,-0.26979154,-0.2473162,-1.8161945,-3.5092466,-1.9742103,-0.13982919,-1.5757132,0.8204315,0.1339736,0.4057482,0.25676188,1.4091843,-0.7001145,1.6140817,-1.9589517,-0.40548736,0.47113737,-1.6502444,0.33144802,-2.5273638,-1.8848766,1.1531463,-1.1038114,1.2416683,1.5873635,0.28778303,0.4774354,0.56412137,0.18822807,0.50969535,1.3195307,-0.8304788,-0.00887146,-0.05803976,0.9859534,-1.5020628,1.8662033,0.05136293,1.0933627,0.43822816
HCC15,-0.3804326,1.428262,1.2066879,-0.89114994,2.3493254,0.388376,0.9225451,0.18475102,1.6033362,-1.756259,0.6916794,1.4139841,0.20511723,-0.19657964,-0.4513998,0.39719903,-0.78058356,-2.2196233,-0.3550769,1.7082303,0.39965576,0.72451293,0.5056046,0.47140202,0.24514326,1.076493,0.3929362,-0.8332771,0.9811618,0.7319242,-0.011762768,0.6868508,0.33169666,0.5562185,0.27490762,0.7123017,1.0595756,-1.1696129,0.13743567,0.2894139,-1.1510757,2.453823,2.307479,1.0210837,-0.07392507,0.6118671,-1.5977305,-0.25181654,0.52492183
TO 175.T,-0.6804964,-1.1503334,-0.12516534,-0.6951669,-0.009756577,-2.0259712,2.0031972,0.5868951,-0.643999,-1.6554294,0.9390102,0.65826285,-0.8387816,0.19819236,0.9318216,-0.6462884,-1.5900861,0.96023095,0.56124306,-2.1485426,1.2395003,-0.9616307,-0.42278624,-0.38515684,2.1145978,-0.6300919,0.41994208,-1.3283621,0.32802182,-0.066083774,0.5661737,-2.4086077,-2.2585635,-1.0128502,-0.9922542,-0.39866677,-1.9804174,-0.099333055,-1.1436608,-0.45294896,-0.40170953,3.6135345,-0.2170139,-0.21060935,-1.2864187,-2.2822142,0.5283858,1.6858271,0.2876833
SNU-119,2.0989392,-1.2141625,0.5228504,-1.314237,-2.3656282,2.1982365,-0.6383524,1.5380747,-1.5344675,0.6999271,1.2910507,1.2725704,-0.6677085,2.189694,-1.0271213,0.9630573,0.3809133,0.6719126,0.8688249,-1.6835489,-0.34989032,-1.4809364,-1.1337241,-1.0056547,1.9080197,-2.6268446,-0.017654825,0.2335043,-0.40148735,0.5026207,0.43500015,-2.260673,-1.4504944,2.0341086,1.4286654,2.2421527,-0.82833314,2.121945,-0.32696208,1.7233671,-1.32611,-0.45438105,1.6176127,-0.4065425,-0.63472664,0.8137361,0.56490904,0.12983447,-3.5069904
GA-10,-1.7408702,2.0660014,0.031096429,-0.26153576,-0.15653889,1.2499712,-0.6159376,0.4140153,0.2149046,2.4504924,0.21198088,0.10835828,1.9194379,-0.16033888,-0.160014,0.3753479,0.7362749,-0.6293363,-0.658074,0.27185953,1.0049217,-0.42571774,0.802628,0.17934982,1.0514424,0.531126,-0.9541641,0.42546853,-1.0704784,-1.6732662,1.0603877,-0.20395716,0.6362236,0.12588638,-1.916275,1.8315659,0.483597,-2.7386973,-0.16075687,0.66508347,1.2640601,-2.6118317,-0.06408304,1.9644073,-0.04596547,-1.0869329,1.2276496,-0.022214592,1.7717035
SK-MEL-31,-0.74123573,-1.2507974,1.3214872,-1.9380252,0.40542778,-0.6700744,0.61300606,-0.50572366,-0.1563328,-1.0217607,-1.0111315,-2.1922562,-2.3267674,-1.9478695,-0.3353598,-1.1398224,0.03859578,1.4180526,1.2780862,-0.87537616,0.6501109,-1.3938519,-0.573561,-1.0574657,-1.852392,0.11701628,-1.4824091,-0.25949773,0.5364725,-0.6399088,1.6353875,0.25611818,1.1539805,0.5506303,-1.5846378,-1.1890783,-0.07306547,0.23816986,1.4689367,0.39610526,-0.09538818,0.0037943572,0.08451821,-0.119109236,-2.7706926,-0.26852956,0.44315225,-0.85005695,1.6226014
CW-2,1.6692128,-0.52421623,-0.8245268,-0.88997024,-0.67744625,-1.569777,0.13413975,1.4538759,0.2992518,0.35611185,-0.6891308,0.86784995,-1.2965156,2.3171384,2.723474,1.9006797,0.26746517,0.9311368,-2.4088979,-1.4776089,0.1392275,0.3635464,-1.0680934,1.4758359,-2.3327117,0.79183435,0.7920441,2.8212035,0.4207802,1.348832,-0.60932904,1.4309894,-1.1442403,-1.1612759,-0.37427467,0.66419774,0.6225373,0.3292451,0.7143627,-1.2938038,-1.3452885,-1.6061383,-1.0093864,-0.52958924,1.7238619,3.3774335,-1.3506076,0.5476017,-0.5184159
MCAS,-0.11408353,0.28720373,0.9478654,-0.58253753,1.8569727,0.7542894,0.14152843,1.084145,1.0823332,0.3442912,-0.30507398,0.02163149,0.61745757,-0.38069123,-0.03934029,-0.3375987,2.2671404,-2.1997783,1.2227268,-0.08456108,0.699696,-0.17866792,1.3353022,0.4977141,1.8385,0.96949875,0.9595797,0.2872975,1.2267175,0.82974815,-0.3219812,-1.6289582,0.056135613,-1.4607222,-1.1097751,0.6411585,-0.79994667,0.66029304,1.1154191,0.2769256,-0.2853532,0.26574096,0.14909863,-0.8616323,2.2686694,1.3981786,0.805304,-1.7082665,0.7045498
BCP-1,-1.0010743,1.9300709,-1.8467798,-0.111274935,0.4996785,-0.45286143,-0.20598397,-0.88418525,-1.2705761,0.64649546,0.5386137,-1.1663591,-0.2937648,-0.42539862,-0.016605478,-0.43055415,-0.42013696,-3.1665351,0.890726,0.4767646,-0.94414496,-0.115889005,2.1019797,0.88042295,0.54297984,1.3914189,-0.5823103,3.2459385,-0.11575583,-0.495262,0.009866191,-0.9429019,-1.1620754,-1.4012477,1.3104658,-0.2074028,-0.04004496,-2.1860693,1.4581617,-0.7225212,0.15007354,-1.8561308,-1.2857298,1.563982,0.22776492,-1.8913708,-1.0579606,3.1703198,-0.94384885
KMRC-20,-0.47101247,-1.170227,0.4142062,-0.0028580464,-1.4252678,1.8116829,-1.5762678,0.4026924,-1.1824622,-0.6524972,-1.6315198,2.5810525,-1.1114167,-2.8044815,-0.7509569,0.17146412,0.41858712,1.3938774,0.22361742,-0.4552075,1.4638908,-0.13402541,-2.5239925,-1.1352348,-1.5875192,0.2933667,-2.0662243,-1.3073941,-1.9608388,0.2562697,-0.21444383,0.39082208,-0.65747684,0.4768323,0.16325456,-1.1575165,-0.2691702,0.7990018,0.9488444,0.1525361,-0.3900277,-1.090037,0.2837493,0.91771996,-0.3377371,-0.45538992,-1.2238853,1.368705,0.2842383
ML-1 [Human thyroid carcinoma],0.06973014,-1.565893,0.2810516,0.4000727,-0.3449452,0.89267313,2.0725873,0.38882294,-0.864109,-1.4647527,1.0328025,0.7684625,0.7964387,-0.8324201,-0.79808426,-0.05872478,-1.2329012,1.8377529,-0.09382182,-0.39147756,0.08173132,0.20085943,-1.2473252,-1.3635911,-0.26457685,-1.6828754,-0.024469614,0.16562009,0.34696037,-0.35900244,0.006693342,1.3117163,1.2950232,1.2429254,0.36459422,-0.8106101,1.089181,0.75543714,0.6764933,-0.15192133,0.7840269,1.567275,0.64098305,0.3399628,-1.3352877,-0.9266794,-0.16884813,-2.245608,0.25168583
NCI-H2171,-0.07156925,0.1785652,-0.30006889,0.5885904,-0.7751276,-0.6068832,-1.4732083,-2.1181452,0.383029,-0.14389858,0.76547045,-2.0713031,0.5581629,0.66008776,2.016122,-0.19527346,-0.57912105,-1.2030501,-0.96238965,0.9307064,0.5852312,-0.6367906,1.2647828,-0.14360934,1.7428178,0.18396404,-0.8732834,0.8683667,-1.0796696,-0.37546214,-1.4823202,1.4310833,0.72922385,-1.8064072,0.7554736,0.50535595,-0.80735755,-0.70995986,-0.52735466,0.1912837,-0.50085706,0.9219584,-1.6390691,-1.488557,-0.22551668,1.3135595,-0.55943877,0.11571232,-1.1465002
CAL-51,-0.40371707,-0.081045456,-2.6058064,1.1005188,0.25513372,1.0219417,0.29549158,2.0079656,-4.4239545,-0.6061641,-1.6308274,2.413699,0.031280603,0.3986594,-0.34533727,1.0604528,0.15704599,0.4420043,-1.2878492,-1.9411523,1.6405222,-0.008763203,-0.41754255,-2.3838847,1.3930792,-1.7300528,0.0024261447,1.0213535,-0.2168687,-1.9381415,-1.2402478,0.17499365,0.65132725,-0.12702408,0.17154692,0.012155698,-0.48369673,0.30316082,-1.2884257,2.4334724,-0.6845968,0.7074434,-0.24466664,1.3721057,0.5978406,-0.25110868,1.3885508,-0.037661918,-1.3172978
NCI-H1568,1.322394,0.49059084,0.2992544,-0.25339556,-0.6528623,0.15310653,-0.03447801,-1.1409127,-0.4073081,-0.7929405,-1.7370589,-1.1999797,1.4984788,1.7492352,-1.0867232,-0.34044075,-1.1256926,-0.32036605,-0.18663563,1.5688908,-2.61366,0.9061447,-0.89705086,2.0895555,-0.6752776,-2.5690174,-0.2541738,-1.0564404,2.474542,0.8009721,0.49184284,0.3098327,-1.0509385,1.7733203,1.1613199,1.8244382,-1.50949,-0.05507737,-0.9841998,1.3645326,1.4604151,-0.68209255,2.3183956,0.8069336,-2.77619,0.72974104,-0.24705957,-0.57432586,-1.9296708
KHM-1B,-3.1940444,1.6498083,0.35762677,-0.628687,0.04937955,-0.1950846,0.0028076302,1.6466383,0.8587415,1.568778,3.720573,0.095454305,-0.2550075,-1.1668066,0.6534129,-2.3252735,1.4274118,-0.9649098,-0.069892935,1.1836574,-0.55001575,-1.895287,1.0408593,-1.5433136,1.9189427,1.9598688,-1.701275,1.0903295,0.102222994,-1.0798516,0.13117407,-1.4729608,0.6783457,-0.9960926,-0.3847245,-0.3871348,0.7126398,-1.8313624,-0.41734052,0.09565038,0.7341738,-0.867865,-0.2887854,0.09911864,0.721142,0.31752378,-2.0624254,1.909756,-1.6392031
IGR-39,-0.95804286,-1.2833668,-0.80712914,-1.3099418,-1.0082171,-1.186814,0.50468034,-2.0254385,1.1097381,-2.0149946,-1.5678202,-0.5250322,-0.4421286,-0.9087257,-2.0112026,-1.2040823,1.1745172,-0.27523574,-0.9123372,1.8480555,0.027184106,-1.0565826,0.6528548,-0.16769105,-1.0938281,0.5718746,-1.0903922,-0.793522,0.53737766,-0.66708016,0.49342918,-0.090645,-1.1520525,-0.41719532,-0.14288259,-0.88329756,0.34956732,0.73668474,-0.7406236,0.9985243,-1.505811,-0.71006423,-0.2691807,0.33211145,-0.57725734,-0.5922706,-0.14063233,-1.501303,1.9799875
JHH-5,0.94062537,0.92964786,-0.04154327,0.66485935,-2.3919165,0.10539476,-0.44934812,0.4908167,-1.7026854,0.15556392,1.1769282,2.0499992,-1.0864083,-1.0798655,-0.26914793,-0.5121388,-1.7947253,0.41522434,-1.3972924,0.3139627,1.4261184,-0.2784024,0.86003196,1.2704953,-3.2444994,-0.805715,2.364623,0.7031854,-0.8760973,2.3203137,-1.3646547,0.3742446,-0.07315292,-0.68343395,-1.2099841,-1.8433914,2.4154477,-3.4957042,-0.29197437,1.9119463,0.40899757,-0.0007818397,0.18028079,0.06566894,0.83735573,0.775602,-1.421921,2.4440079,-2.783809
MDA-MB-361,-1.5480437,0.6133842,-0.88425565,0.89941037,0.8175652,-1.3718083,0.63814706,0.7625865,-0.88357717,-2.5299342,-1.5637529,-1.9762775,0.5257303,1.4274526,1.2927325,1.4973263,0.12182184,-0.6355661,-0.9546762,0.8388911,-0.52023697,0.18817964,-0.553423,-0.23347093,0.3986793,0.15986858,-0.9208193,-1.9428127,-0.1277991,1.1326413,-0.4278638,0.10010959,2.7200954,-0.9834363,1.5799497,0.94123137,0.1602286,1.0319498,-0.048890848,-1.886732,-1.1466069,0.11834088,0.25067276,1.3179283,-0.3340255,1.2234296,-2.020415,-0.3366176,-0.57557917
NCI-H1650,1.024122,-0.7939591,0.5173926,-0.29401377,-0.011021767,0.68366754,-0.6827966,0.04787746,-0.18089591,-1.309714,-1.3953569,0.13833596,1.4094306,2.0665946,-1.2977273,-0.1297155,1.1745863,0.04968803,0.073624425,0.71104336,-2.7155187,-0.36048687,-0.8403062,3.0032928,-0.40045705,-1.4805446,1.17611,-1.1849077,1.0168397,-0.70575064,1.0820103,-1.0867095,0.46764275,1.3129356,0.77431625,0.95527273,-1.220399,0.46263993,-1.6321809,0.8914625,1.1296844,0.40975773,1.8321931,0.5825672,-2.6226528,-0.64831513,0.5250587,-1.1082468,-1.1774436
EBC-1,-0.58864135,0.23872754,1.5724354,0.6535434,0.2182123,1.5996532,-1.5702903,0.04012751,2.438268,-0.29976943,0.11087541,-0.31254748,-0.61561066,1.0638969,-2.0951636,2.1036866,2.2945158,-1.8181617,0.4241782,0.9213383,0.24645174,-0.30435374,0.43711492,2.4988089,-0.074829146,0.67359614,0.8846867,0.52985144,1.6598336,0.77007556,1.0490165,-0.6704976,0.5451138,-1.3733797,-2.0457873,0.44835752,1.0371708,-0.36160237,0.13046618,-0.4603388,-0.7371106,0.49656656,-0.5044569,-0.050745293,1.1226317,-0.5304629,0.8936247,-1.3968666,1.7984462
Capan-1,-0.8459441,0.5358381,0.30905682,-0.764867,1.6886011,0.9033294,-0.4320713,1.5282897,-1.8657069,0.026178341,-1.5289844,0.4599286,0.49743074,0.03635986,1.6369399,1.3283107,0.31210837,0.46162993,0.44491673,-0.911546,0.9694147,0.5569078,-0.95040935,1.5291511,-1.7178354,-0.7992172,2.0722528,-2.0507812,-0.114385225,0.9777558,-1.0104529,-0.24877883,1.2409916,0.38572398,-0.45417342,0.08360653,0.855683,1.5480874,0.4029049,-0.39233053,-0.26032916,0.87963974,1.4598043,-2.097129,2.8246906,1.2469357,1.174752,-0.4432931,-1.3986452
A-172,0.7379454,-0.71473145,-1.2156124,-0.8692553,0.7155618,-1.157391,0.39641386,-1.6108649,-0.13897438,-0.9544982,0.085305,0.23017347,0.14540485,-0.5369663,-0.15137978,-0.7656631,0.76059717,1.1702852,-0.34734786,-0.20480375,-1.4079716,-0.72684777,0.25857484,-0.26777345,-0.15211946,-0.15655588,0.8736533,-0.5358341,-0.85672057,-0.77791613,0.88174593,1.2091167,-0.6259493,1.3912582,0.4570858,-0.9574131,0.5841863,2.2561283,-1.2991191,-0.38123578,-1.3120645,0.11698149,-0.56239766,0.2655004,-1.5269939,-1.5278616,-1.3163927,-2.08963,1.4301825
NCI-H1581,1.2479358,0.6297847,0.5240646,1.7815156,1.4120013,-0.18088683,-0.40953556,-0.5016114,-0.81430477,0.15714782,1.2312233,1.2717897,-0.7729517,2.451428,0.9234688,0.11106856,-1.1765745,-0.49098995,-1.446432,-1.060461,-0.35091773,0.112656444,-0.80595416,-0.83290863,0.06589225,-1.0888988,0.07062301,1.3425636,0.36103076,-1.7438533,-1.1323453,1.1621797,0.27130622,0.81292737,-0.26365894,-0.2984547,0.62143725,-1.7473464,-1.1029533,0.57581484,-0.17428227,1.0861948,-1.9512986,2.1459184,0.3686845,-0.93026704,0.35851187,1.2626901,-0.6348051
KYSE-410,-0.37716168,0.45391142,0.41454166,0.54963666,1.2122018,0.6217553,-0.12657717,0.50359315,-0.44296107,-0.34450907,-1.3318175,-1.9771158,0.90312177,0.03931796,-1.3851528,0.4705511,0.8439956,-0.7416893,-0.5595461,-0.50661737,0.23194186,-0.84948856,0.58264256,2.3026974,0.8504362,-1.0848534,1.8715171,0.17722347,1.1948838,0.8652242,0.41609126,0.030642439,1.8762307,-0.9538552,-0.82248145,0.37336284,0.22729279,-0.8843565,-0.122971684,0.91872287,0.23515436,0.2586896,0.0855169,-0.11297013,-0.48923826,0.70922905,0.7721612,-2.2548006,1.5483469
KMS-34,-1.915803,1.2659396,-0.15243351,-0.37485448,-0.30377287,0.115685664,-0.6347235,0.27653694,-0.13641423,0.13563173,3.4556425,-0.39145496,1.2340763,-1.8651936,-1.2571712,-2.2324913,0.59156835,-1.1327142,-0.8827039,1.6194425,-1.4669297,-0.099542014,1.0056099,-0.2929263,0.7139194,3.0457122,-2.4926348,2.7854614,-0.86880744,0.11475518,-0.05889915,-0.056383215,0.06400862,0.700824,1.0741944,-0.21146992,0.40044078,-1.1791619,0.6152176,-1.8521496,0.14770767,-2.0464287,-0.3087236,1.5028805,1.2958856,-0.45064586,-1.8469148,1.2005289,-1.1386122
HCC1428,-0.54162997,0.74608773,-0.37659028,1.1612794,0.8868492,-0.07953585,-0.9270397,-0.29428118,-0.79603493,-1.4509331,-2.5088925,-1.1161855,1.179989,1.9416484,0.18449152,1.8192042,0.041478213,-1.4157854,-0.91695476,1.3769826,-1.0025648,0.11791487,-0.47767752,-0.20882344,0.3957983,-0.30259016,-2.0476584,-2.130037,0.42522886,0.07979685,-0.58891565,-0.400932,1.8619201,-0.019752577,1.2531381,1.1677612,-1.0703692,1.3622215,0.3324129,-1.2694877,0.5195868,-0.5772234,-0.28241307,2.0687327,-1.6780014,-0.3981435,-1.0923535,0.7592322,-0.85973585
