,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25
BV-173,-0.58736664,0.98860145,-1.0146607,-0.29321826,0.98974854,2.9292173,-1.5162563,0.34286976,-2.534055,-1.1847923,-1.4685133,1.5829513,2.5553637,-1.0035368,2.7352998,2.7069192,1.1929237,0.7373987,-1.6130295,-1.2572093,-1.827878,1.1444244,-2.496155,3.7526672,-2.0460587,0.8569762
NCI-H520,-0.29179233,0.0571702,1.1259798,0.031139322,-1.0235775,0.015550889,-0.68612224,-0.9811605,-0.5224163,-1.1140227,-0.085778445,-0.5120692,-0.38289666,-0.41569942,-0.20622581,0.46439245,0.62727433,0.40579394,0.34469473,-1.2307693,-0.025521718,1.2302024,-1.3954773,-0.16286415,-0.84632534,-0.8917358
JHUEM-3,0.049890574,0.18336369,-0.432322,0.58737326,0.15777498,-0.031681925,0.5881627,0.685308,0.99506927,0.628063,0.7215949,-0.7170831,-0.27198935,0.8561381,0.12991534,0.06566939,-0.5167965,-0.32432273,1.1230376,-0.024428288,-0.15679742,-1.2894597,1.3724335,-0.016660016,-0.17280316,0.64060485
NCI-H2087,-0.37799352,0.49690664,-0.34529904,0.4680547,-0.0083617065,0.39596248,-0.4971694,0.65298396,0.3500442,0.35357943,0.14790028,-0.65367436,0.113481455,0.060487617,0.5176829,0.22236665,0.7008952,0.037669197,0.5748819,-1.1582649,-0.3606214,0.28491864,0.0042711794,0.6232935,-0.3659492,0.390545
COLO 818,0.95282006,-1.9042345,-0.7092811,-0.8096776,0.50992876,-1.0087451,2.100778,-0.38164014,1.7003034,1.9472349,1.5962994,-1.1112317,-1.5992495,-0.5884309,-0.88993317,-0.34870157,-2.0258327,-0.35203952,0.9601417,2.6147628,1.2965527,-1.9010291,1.1878375,0.45084384,-1.395875,0.08460971
LN-340,0.7136672,-1.7910092,-0.6719117,-0.49763453,0.48818886,-1.2737885,2.1569111,-0.024636136,2.099144,2.299999,1.470919,-0.86324185,-1.6294514,-0.453896,-0.7639599,-1.0007042,-2.5072842,-0.45707628,1.0691857,2.4869022,1.2669723,-2.243733,2.092677,0.452067,-1.1104147,0.23381457
NCI-H650,-0.083549425,-0.34130234,-0.24454045,0.08607137,0.065357454,-0.56464493,0.44680804,0.055374473,0.630136,0.49624816,0.5501372,-0.14526652,-0.3792941,-0.1131458,-0.18932173,-0.16419408,-0.76445454,0.030918628,0.28008938,0.97081417,0.22593258,-0.70596385,0.24938995,0.16028863,-0.6695974,0.3369569
JHH-2,0.35852027,-1.0492405,-1.08804,-0.039724883,0.28894377,-0.7978604,1.4223862,0.3363468,1.9664736,2.1564116,1.1113528,-0.2094059,-1.1519086,0.28717628,-0.25368646,-0.4968381,-1.7959871,-0.63742787,0.9313191,2.2029693,0.5949825,-1.8657681,2.0948503,0.22602537,-0.3872089,0.4734393
SLR25,0.24024372,-0.36591184,-0.42301762,0.30318192,0.46350643,-0.119884044,0.5364156,0.62617147,0.9669567,0.7245474,1.0434304,-0.366711,-0.4870811,0.4027704,-0.04412392,-0.37266228,-0.8957837,-0.485334,0.6247281,0.84576255,0.015687801,-1.4557889,1.3050864,0.23040518,-0.103493676,0.43413886
NALM-6,-0.5333816,0.9409054,-0.7205026,-0.41753873,0.28194332,2.7232373,-1.5713936,-0.12553355,-2.4762204,-1.4914412,-1.619976,1.2569526,2.2059948,-0.6775026,2.2452252,2.5653858,1.3497965,0.8738897,-1.4298952,-1.2879939,-1.7047982,1.5506253,-2.5691752,3.444635,-2.576033,0.5708573
YMB-1,-0.7194029,0.23751052,0.57378626,0.016269814,-0.05432134,1.0586642,-1.789805,-0.34064418,-1.2200152,-1.4517386,-0.46473378,-0.15951417,-0.25339475,-0.051113617,0.18638392,0.49078608,0.6505518,0.49330962,0.31507468,-1.3092084,-0.50847286,1.6670663,-1.044062,-0.012426306,0.36362293,-0.7264617
HT-1376,-0.028954815,0.4042834,0.1703954,0.53133297,0.14393334,0.59138453,-0.26966086,0.28621525,-0.27432033,-0.019805426,0.27638435,-0.6906735,0.43147972,0.8396759,0.39704302,0.33575398,0.04061744,-0.2036342,0.6714833,-0.4923991,-0.41910857,-0.26683155,0.20276038,-0.0386283,-0.22127941,0.20951954
KMRC-20,0.048773143,-0.31157732,-0.10605961,0.26779997,0.37665698,-0.4570036,0.66731524,0.09823026,0.81825286,0.49330172,0.6675476,-0.3809398,-0.23649016,0.24024051,-0.18080097,-0.4062778,-0.62457764,-0.4504283,0.7168023,0.6727058,-0.30034608,-0.9707256,1.1655117,-0.1558294,0.07684679,0.117697515
FaDu,0.0027432404,0.4465025,0.32827622,0.3854772,0.022736166,0.71842813,-0.4433385,0.0008865795,-0.24274962,-0.04094663,-0.008817654,-0.49492994,0.4137324,0.5348444,0.2998714,0.39170167,0.4111839,-0.044164658,0.4362122,-0.69272697,-0.5309527,-0.01068579,-0.24270241,0.16046408,-0.38481972,0.16375041
SK-RC-20,0.21242045,-0.17580539,-0.5392436,0.41471285,0.6349902,-0.3870578,0.6723879,0.39313862,0.9773882,0.84475505,0.845425,-0.15302035,-0.3807342,0.6439332,0.053252686,-0.48713237,-1.0244207,-0.5826057,0.41464373,0.8829111,0.058740586,-1.7512034,1.5662265,0.15973634,0.20330264,0.40533003
MHH-CALL-2,-0.5669748,0.5817056,-0.9880147,-0.3493923,0.6002042,2.9916925,-1.4740549,0.12939465,-2.6337235,-0.8465022,-1.5965549,1.5084434,2.6040885,-0.9968232,2.7005155,2.870184,1.212652,0.8347756,-1.4209416,-1.1545634,-1.7037117,1.2635804,-2.8950295,4.1209064,-2.6924562,0.8492501
KLE,0.2028734,-0.27417463,-0.48086286,-0.25852916,-0.34362853,0.4824227,0.18513045,0.4358604,0.43784696,0.28579575,0.69474727,-0.2814161,-0.15589206,-0.05764253,-0.38618365,-0.41725606,0.039776668,-0.024661668,0.49857035,0.48570484,0.4338354,-0.56470627,0.19940615,0.34875306,-0.33581027,0.18901446
CAL-120,0.18933292,-0.2650286,-0.26521173,0.18955694,-0.095302634,-0.18780166,1.1863717,0.482947,1.5248227,0.78102946,0.8732245,-0.739199,-0.64196366,-0.08147171,-0.33791327,-0.39199334,-0.80973685,-0.29877692,1.0309229,1.0173467,0.40568954,-1.2669563,1.1305839,0.36467174,-0.8670194,0.24392354
SLR23,0.24475078,-0.41474903,-0.13572961,0.4548526,0.7369401,-0.510406,0.96489185,0.20394783,1.2838478,0.8675226,1.103268,-0.4654878,-0.4690724,0.50985044,-0.30012402,-0.2906657,-1.0539443,-0.40999356,0.6879959,0.8914146,-0.22765572,-1.8581746,1.9307772,-0.23823193,-0.16631901,0.48966995
TE-9,-0.04600079,0.49046743,0.10497108,0.10403255,0.106802836,0.50806904,-0.8066266,0.11665546,-0.23010884,-0.044850577,0.23057202,-0.37955508,0.24923006,0.8437089,0.30993062,0.13304272,0.1216779,-0.40641063,0.5115085,-0.7834539,-0.57274914,-0.2349853,0.08537697,0.36131653,-0.07498057,0.30437392
KPL-1,-0.4577118,0.32449716,0.35101148,0.16546571,-0.21351495,0.534325,-1.4005933,-0.09876628,-0.71494514,-0.7431067,-0.16724445,-0.4612315,-0.1405904,0.19668254,0.16055958,0.5403588,0.7344049,0.62376773,0.55099326,-1.1972678,-0.56966174,1.5344961,-0.7144629,0.1616663,-0.23389806,-0.35772753
PANC-1,0.08640461,-0.1507913,-0.3087053,0.06831133,-0.008339869,-0.30523545,0.45123973,0.05992545,0.58254385,0.3669552,0.47293046,-0.41221532,-0.3230206,-0.13144384,-0.19079773,-0.2303735,-0.42454514,0.1334455,0.3810457,0.46695155,0.09159945,-0.39478263,0.17575562,0.3692948,-0.49326003,0.0014174655
MOG-G-UVW,0.46300656,-1.4128853,-0.73991966,-0.4268177,0.3270297,-1.067444,1.8718572,-0.1173749,1.8998231,2.017365,1.1760694,-0.60367686,-1.1164302,-0.5264779,-0.55583954,-0.85063314,-1.843192,-0.4695553,0.70774245,2.4291115,1.0325425,-1.7903256,1.5694717,0.527402,-1.0190727,0.32304558
SNU-878,0.06778541,-0.22492169,-0.32268175,0.1369459,0.18303542,0.15716185,0.06840138,0.37062544,0.39919215,0.55810094,0.46437913,-0.34089556,-0.4112775,0.30039498,0.30234537,-0.2517839,-0.5669991,-0.6136377,0.33689544,0.5777527,-0.18053006,-0.6562173,1.0320977,0.4531861,0.13044687,0.13827464
BxPC-3,-0.24750091,0.64843845,-0.52570343,0.55329406,0.2895127,0.665202,-0.6409826,0.41732454,-0.07999228,0.41513136,0.32505104,-0.45687786,0.6900939,0.9890264,0.6573186,0.47046283,-0.108477704,-0.5363299,0.43772554,-0.3687426,-0.56280875,-0.6793726,0.38563243,0.4739054,-0.22130193,0.47317985
SK-MEL-28,1.2754953,-2.1474006,-0.6781368,-1.0089303,-0.3653292,-0.77237904,2.0116222,-0.5970464,0.5791811,1.09458,1.5847275,-1.665548,-1.2438734,-1.1845722,-1.1654913,-0.36274666,-1.5454788,0.019142285,0.75005484,2.3953202,1.0882463,-0.9796826,0.18864226,0.12033123,-1.5709867,-0.16916242
SNU-520,-1.30499,1.4034172,-0.095277086,1.0419936,0.55639446,1.0590456,-3.991755,-0.22582234,-2.2319524,-2.0178902,-0.5815585,-0.112345934,-0.18800871,0.25529283,1.3231605,0.4071211,0.8131552,0.400923,-0.70264035,-2.79138,-1.0754919,2.220169,-0.70852494,0.18443893,1.8952035,-0.67576444
LN-215,0.5114442,-1.3014368,-0.58787096,-0.26625657,0.5206461,-0.7188165,1.2417897,0.011535345,1.4733393,1.6106994,1.1813688,-0.35646084,-0.940801,-0.08588709,-0.4737267,-0.8051386,-1.6454904,-0.53882396,0.8180537,1.8213981,0.6530647,-1.7292225,1.7530239,0.10923742,-0.50888485,0.34990302
LoVo,-0.7684702,0.70802444,-0.18591723,0.7406038,0.18729538,0.79501426,-2.3238544,-0.19406302,-1.0950078,-1.4046223,-0.4160213,-0.1394332,-0.034093577,0.23366426,0.6820552,0.2137924,0.30436084,0.05935666,-0.4083742,-1.6768149,-0.8297151,1.0779524,-0.25848803,0.06879936,1.0140762,-0.46942145
8-MG-BA,0.59607637,-1.2178123,-0.33543575,-0.4049706,0.28833002,-0.77189803,1.2677885,-0.2032507,1.3699738,1.3768263,0.61753345,-0.268059,-0.93280643,-0.4986602,-0.49536312,-0.6447687,-1.3845766,-0.18943404,0.58402324,1.8935859,0.94581884,-1.2920601,1.0085135,0.35118344,-1.0352731,0.1386495
TYK-nu,-0.077816635,-0.26604724,-0.35199428,-0.019286174,0.37718928,-0.29063374,0.7142728,0.01667398,0.46890613,0.49558267,0.5191493,-0.0001631435,0.012699747,-0.5568994,-0.041708615,0.076443225,-0.28823912,-0.07117671,0.13190983,0.8981481,0.3403641,-0.66386694,-0.026919037,0.39674017,-0.7488229,0.3040594
SK-HEP-1,0.2488782,-0.60685706,-0.44353166,0.13639444,0.37545127,-0.74177706,1.1457888,0.3137321,1.4179939,0.92356247,0.86120826,-0.60317594,-0.6279709,-0.19647333,-0.29473162,-0.31056497,-1.0970578,-0.26451564,0.5116168,1.590183,0.37311876,-1.4258655,1.0861995,0.29887962,-0.83683723,0.25988185
SNU-407,-0.6951296,0.8379388,0.39900997,0.6244373,0.069493905,0.79996526,-2.5360122,-0.21746798,-1.3237138,-1.1528943,-0.2418897,-0.105343014,-0.055780318,0.35928893,0.73643345,0.3185748,0.6003709,0.3749631,-0.09216562,-2.1749396,-0.9468795,1.5678606,-0.80189526,-0.022590093,0.76957655,-0.5935846
NCI-H2066,0.35070992,-0.29139292,2.5122812,0.495717,-2.504503,0.6141381,-1.3534552,-2.135059,-1.7462809,-3.5821042,-0.3490613,-0.56686443,-0.7248521,-0.78662276,-1.4250859,0.35832438,1.458941,1.0365785,0.6447267,-1.5117791,0.0099463165,2.6299114,-2.6545238,-1.0446484,-1.2452055,-1.7611837
HLF,0.35254174,-0.6692412,-0.50499994,0.16889599,0.36208534,-0.8934772,1.2845049,0.07986219,1.6157259,1.247304,1.1701913,-0.40123674,-0.6848214,-0.121742874,-0.5023953,-0.6108479,-1.051403,-0.3759804,0.70710737,1.3968245,0.5566306,-1.4279151,1.198638,0.2094564,-0.85588104,0.44710395
MOLP-2,-0.2455778,0.07385945,-0.24510178,-0.7667043,0.78934413,2.1229236,-1.4678957,0.8020514,-2.0241137,-0.4087585,-0.23628126,1.4027125,1.363734,-0.96682215,2.033773,1.7500567,0.43008843,1.1804819,-1.2780731,-1.0829136,-0.90546674,0.5209282,-1.8275557,2.9728246,-1.2835262,0.2745447
THP-1,-0.48142883,0.31025183,-0.81719327,0.27420494,1.3786461,2.2840314,-0.51167077,-0.004645387,-2.042053,-0.18691711,-1.1396496,1.116103,2.7782884,-1.784852,2.257729,2.475858,0.953938,0.3165295,-0.49326107,-0.929769,-1.4954352,0.48842844,-2.1687975,2.1540737,-2.263781,1.106332
SNU-840,-0.26021892,0.03998649,-0.42234185,0.21423462,0.2484484,0.028770417,0.9964305,0.920892,1.1447971,1.1356841,0.67391235,-0.6469574,-0.08392301,0.94990337,0.16246489,0.25909793,-0.6580163,-0.40060538,0.9867754,0.20520033,-0.19506586,-1.2407409,1.2135819,0.36209008,-0.5937375,0.8391916
ABC-1,-0.17170815,0.43755978,0.3023628,0.25638977,-0.52847373,0.5467484,-0.23347625,0.32419366,-0.20181538,-0.20072334,0.043227766,-0.51496005,0.18318592,0.08976667,0.17559125,0.018128654,0.36747274,-0.022110254,0.7737998,-1.1549366,-0.3309077,0.16089825,-0.2876402,0.049601156,-0.38206673,0.26399854
DM-3,0.43890977,-2.745647,-1.8360726,-0.67535335,1.981438,-2.515434,3.9985983,1.4383956,4.278495,4.608865,2.9467688,-0.66031224,-2.0666702,-0.0077013224,-0.59852797,-1.5197854,-4.8956814,-1.4303969,1.4905412,4.6579237,1.57741,-4.888465,5.1492753,0.6250106,-1.3829889,1.7000734
HCT 8,-0.64756113,0.84598833,-0.19535385,0.6052554,0.06492273,0.4361712,-1.7252806,-0.11127621,-0.5896567,-0.78821874,-0.2682186,-0.08104774,0.07379548,0.33517143,0.54639024,0.27932367,0.38727129,-0.2288182,0.06848534,-1.3886802,-0.6481011,0.6902991,-0.22566682,0.011531878,0.57327753,-0.29937655
GR-M,0.16577186,0.022241257,-0.32054818,0.56981623,0.18043375,-0.5470896,0.22622645,-0.027376087,0.66788834,0.71664715,0.46324125,-0.36274493,-0.38608757,0.04519901,-0.047615837,-0.26539218,-0.65290797,-0.348948,0.41658065,0.78426963,-0.13761047,-0.8848032,0.7443168,0.14238001,-0.3037957,0.15716064
JeKo-1,-0.075000376,0.594177,-0.34518617,-0.49904656,0.0062382277,2.6501977,-1.7696809,-0.1707602,-2.8917105,-1.0708094,-1.8073368,1.5947833,1.6050775,-1.206246,2.467928,2.384501,0.97639084,1.5283394,-1.3783405,-1.2153325,-1.4361919,1.4928784,-3.1518784,4.305722,-2.96043,0.14068869
1321N1,0.78878605,-1.5462847,-0.33627734,-0.31372845,0.26611453,-1.0816777,1.6636903,-0.14643873,1.7089038,1.7336121,1.0248291,-0.4594376,-1.2458129,-0.63992274,-0.7508012,-0.9129829,-1.9739034,-0.5586478,0.9280914,1.9917487,1.1337109,-1.4509232,1.6297717,0.28086764,-1.1906816,0.1854398
KYSE-70,0.33343345,0.014779333,1.0417556,-0.17859946,-0.8026604,0.6144521,-0.41904378,-0.31971273,-0.27537662,-0.78230554,0.13222063,-0.27145973,-0.37924385,0.26467988,-0.28693208,-0.19787112,-0.12633604,-0.14858523,0.30998647,-0.61731476,0.14803948,-0.23003392,-0.20375812,-0.35457128,-0.040318016,-0.15547958
NCI-H1092,0.85500604,-0.36566275,4.727833,0.57856655,-4.602243,0.87589145,-2.3558888,-3.5262601,-3.3543484,-5.7483816,-1.0517503,-0.5573705,-1.2577285,-1.8602467,-2.2060323,0.59235626,2.576945,2.3428116,0.96231645,-2.587204,-0.2908305,4.2301364,-4.8432884,-2.2102137,-2.943345,-3.2811937
FU-OV-1,0.43484202,-0.13203502,0.23853135,0.15507843,-0.2816283,0.18841001,0.066001125,-0.16673025,0.11600795,-0.3655282,0.20439632,-0.30560812,-0.21994697,-0.028176088,-0.5140427,-0.29394132,0.0222211,-0.14947164,0.4557177,-0.009328717,0.232448,-0.13237481,-0.022977896,-0.082675174,-0.1029196,0.032541372
Karpas-422,0.07993843,-0.15586813,-0.084798366,-0.48470688,-0.045383207,1.9494178,-0.8317031,-0.31445768,-2.594186,-0.294192,-1.460389,1.5759412,1.3742597,-1.6187621,2.4658659,2.0383627,0.29380012,1.2646738,-1.3807774,-0.8066191,-1.1046795,1.3894429,-3.214309,4.221297,-2.8266287,-0.17120576
TM-31,0.6102008,-1.2563944,-0.35154587,-0.41301155,-0.008863891,-0.7911273,1.5898898,-0.096545726,1.7035866,1.312625,1.2533963,-0.870819,-1.3059173,-0.3442208,-0.6414753,-0.7082519,-1.348651,-0.24786118,1.151325,1.9279739,1.115741,-1.7150315,1.4243706,0.15237157,-1.1215343,0.13141116
NCI-H716,0.08541976,-0.1700728,1.6720496,0.52931553,-1.8611166,0.34552222,-1.2374756,-1.5849812,-1.6521485,-2.5886316,-0.4070652,-0.23559916,-0.71371734,-0.8441689,-0.82664937,0.16834989,1.0166388,0.51302165,0.17875701,-1.036334,-0.15526286,1.9354095,-1.922667,-0.41923186,-0.91368073,-1.490315
A-172,0.546648,-1.633088,-0.7926955,-0.24409634,0.39953813,-1.3587009,2.0030408,0.11054322,2.2173223,2.3036685,1.6174045,-0.6511614,-1.4889646,-0.18973023,-0.592632,-0.95052934,-2.331675,-0.67437977,1.3008963,2.749124,1.1677337,-2.1110835,2.1216924,0.4564223,-1.0065837,0.52119255
TF-1,-0.5108176,0.73402,-1.4450603,0.99345505,2.3005576,1.4235704,-1.0612563,1.229743,-1.8644543,0.39334258,-0.24113275,1.7741632,3.015819,-1.2837579,2.7468183,2.6657064,-0.020070583,0.14480278,-1.1846493,-1.4480141,-1.196893,0.7086039,-1.0180539,2.4218078,-1.4648911,1.2606324
SK-MEL-2,0.76984394,-1.5427241,-0.6788467,-0.6583745,-0.11625222,-0.44573694,1.6527805,-0.21593802,0.7048873,1.0625427,1.133233,-1.2305648,-1.1249325,-0.8575561,-0.8855295,-0.09356655,-1.3447962,-0.17673984,0.63369656,1.7888902,1.0596417,-0.6881681,0.16732806,0.3876646,-1.4082769,-0.06315352
U-138MG,0.7501709,-2.3893933,-1.05338,-0.51717055,0.8926877,-2.0570436,3.207414,0.44054866,3.188969,3.510618,2.0888693,-0.7312642,-2.0138571,-0.47939909,-0.79635394,-1.2784532,-3.7391481,-0.91445225,1.3295643,3.692401,1.6702904,-3.0803707,3.3327098,0.43301404,-1.4689103,0.6613034
D283 Med,0.40303093,-0.17646234,1.7177768,0.037770856,-1.8300356,0.28057578,-0.36491278,-1.7586026,-1.4447612,-2.3675275,-0.1741039,-0.27960455,-0.673498,-0.952857,-0.73422897,0.3600469,0.7867548,0.80782485,0.11057578,-0.9824056,-0.007918209,1.5259007,-1.9147806,-0.84587234,-1.4891306,-1.2212127
NCI-H2228,0.033939146,-0.20725669,-0.6485959,0.38577533,0.16483197,-0.16315806,1.1244811,0.7524128,1.4993368,1.2588909,0.819503,-0.8563981,-0.37895018,0.39229536,0.18337703,0.012298904,-0.56868494,-0.36382723,1.0537769,0.8597271,0.11314492,-1.2289757,1.1603723,0.23530658,-0.644885,0.88868546
P31/FUJ,-0.4286889,0.49362212,-1.0940115,0.31136972,2.0486705,2.4074864,-0.7507093,0.37419525,-2.500328,-0.035165478,-0.953336,1.9703475,3.7827487,-2.300134,2.8682575,2.7208672,1.3533944,0.25985378,-1.0005575,-1.3893697,-1.8166673,0.78139853,-2.7619376,3.2186291,-2.320395,1.2381746
OUMS-23,-0.19988956,0.28615445,0.00825382,0.42015174,0.12552133,0.49481553,-0.91335756,0.3259476,-0.5200886,-0.30440927,0.30421245,-0.32686323,0.13676757,0.18247905,0.46982396,-0.03353097,0.1994257,-0.031057537,0.122002855,-0.8083864,-0.21887267,0.4221858,-0.13079956,0.3150809,0.55572206,-0.10342984
RERF-LC-Sq1,0.48122108,-1.2769713,-0.68779993,-0.30768105,0.6294935,-1.0729793,1.6072798,0.114617035,2.1370575,1.8229797,1.5839697,-0.34195182,-1.2214541,-0.048849914,-0.5341969,-0.6595308,-1.7010603,-0.44996744,0.94662005,2.308468,0.94377834,-2.1674223,1.8526831,0.32673082,-0.8752275,0.5600299
MDA-MB-415,-0.592586,0.2878148,-0.0061898865,0.42978948,0.06303008,0.40136966,-1.3695734,0.23628671,-0.86908007,-0.5797524,-0.28753558,-0.3513399,0.2333023,0.322495,0.27332267,0.0561216,0.5570002,0.36768103,0.4476553,-1.2395047,-0.41721958,1.0572432,-0.4201872,0.18266949,0.041834336,-0.04635843
Panc 10.05,-0.017637592,0.7922103,-0.4320097,0.95051223,0.011813706,0.21358195,-0.68862146,0.4364319,-0.11020323,-0.123929225,-0.04961164,-0.37546742,0.53432363,0.102173984,0.8188056,0.29009306,0.4751538,-0.19560334,0.3520049,-0.81095886,-0.25438464,0.20352474,-0.31117842,0.64533955,0.087509096,0.03911019
A-1207,0.5235055,-1.2440926,-0.59463334,-0.1581567,0.5903001,-1.1240773,1.9382715,0.42350814,2.0805197,2.1310253,1.3850282,-0.80875313,-1.330999,-0.10844822,-0.5319862,-0.6419979,-2.1048822,-0.5688769,0.80134666,2.301649,0.808698,-2.2766006,2.130849,0.32366636,-0.9511086,0.3968871
HT-29,-0.85185176,0.7018097,-0.6637496,0.9027956,0.4688082,0.58379173,-2.987557,-0.13430883,-1.6081494,-1.1269102,-0.18931772,0.16213533,0.27621764,0.05891365,1.1018337,0.26972502,0.88087106,0.077261195,-0.31467158,-1.7827905,-0.81851006,1.7247938,-0.7979722,0.49730268,1.1594609,-0.49353546
MUTZ-5,-0.50049645,0.9209269,-0.9736806,-0.35592845,0.8147158,3.3001733,-1.7556041,-0.11390536,-2.9627252,-1.3759094,-1.9871839,1.7585347,2.6079412,-1.2565525,2.830859,3.0319028,1.1821249,1.1039506,-1.6531272,-1.1338477,-2.292406,1.2708223,-2.7740831,4.0650554,-2.7887626,0.7612352
Capan-1,-0.5511614,0.9448259,-0.40634185,1.0689256,0.23874518,0.54164064,-2.1411142,0.3353162,-0.796802,-0.42571846,-0.025446188,-0.1312453,-0.096197896,0.5876186,0.8381207,0.50185764,0.5691137,0.016698457,0.031633172,-1.2709842,-0.6996747,0.6626329,-0.18363455,0.3059548,0.62631816,0.025221117
SNU-398,0.10238035,-0.14114232,0.6591407,-0.037933055,-0.97262615,-0.13373114,0.27687106,-0.7982178,-0.49332875,-0.9044611,-0.18879324,-0.33889112,-0.3702579,-0.59120107,-0.44176635,0.3754324,0.100738324,0.18795647,0.30115044,-0.3275852,0.18400706,0.61904365,-1.0066848,-0.20927662,-1.3585271,-0.42572752
HEK TE,0.30237752,-0.9225938,-0.4551924,0.026775517,0.7423234,-0.70499945,1.3501449,0.38056245,1.774209,1.3529272,1.444831,-0.360803,-0.8299863,0.043831572,-0.44756252,-0.702412,-1.5291748,-0.5714968,0.8869123,1.6193234,0.5907855,-2.1446757,2.0850282,0.07586245,-0.49963045,0.509027
MKN74,-0.0110163875,0.405883,-0.044537954,0.54741716,-0.0866303,0.029069897,-0.2965819,0.3312368,-0.19070975,0.009818741,0.1396412,-0.26591247,0.1585938,-0.32218295,0.5343667,0.03702386,0.3744272,0.0015309388,0.37238392,-0.8345695,-0.12387335,0.49774727,-0.52029324,0.55742186,-0.026188854,0.16295204
Hs 822.T,0.30192947,-3.326212,-1.7431035,-1.0930643,2.6072755,-2.933473,4.817519,1.8073157,5.0203376,5.5523834,3.4228222,-0.60884506,-2.5085301,0.19246733,-0.6227112,-1.6144168,-6.0798235,-1.4656757,1.8604825,5.0924225,1.782681,-5.5745997,5.9677567,0.7877015,-1.5454323,2.0790007
EFE-184,-0.111209795,0.09887625,-0.21396782,0.29139054,0.11169157,0.08534006,0.20857067,0.5846899,0.65841055,0.29004782,0.47196513,-0.35939366,0.030744033,0.56579506,-0.15556088,-0.10051212,-0.32514513,-0.229186,0.45427462,-0.081546016,-0.33214545,-1.0272481,0.8630296,-0.11649364,-0.019070495,0.44923627
PC-3,-0.049501117,0.11374631,-0.47631004,0.10443917,-0.28631777,0.32288226,0.13048746,0.75573504,0.8992478,0.65365535,0.30834028,-0.79402995,-0.4966307,0.48485875,0.19781712,0.09712295,-0.0057156566,-0.02517414,0.788722,-0.0037894123,-0.037817463,-0.88618714,0.67742157,0.38050696,-0.41470778,0.37530902
Fu97,-0.51194125,0.014230512,-0.19663519,0.5544177,0.2787745,0.6980289,-0.5009702,0.2967239,-0.70808834,-0.21101528,-0.20194311,-0.46925354,-0.39632118,-0.5493311,0.7210739,0.3438036,0.35120755,-0.21405637,-0.33505353,-0.00020191493,-0.6631759,0.9109665,0.00944601,1.0560496,0.30606455,-0.8271845
PaTu 8988s,-0.74528927,0.7996377,-0.12741426,0.9895116,0.18872711,0.95820427,-3.029836,-0.11676692,-1.7081892,-1.488184,-0.35623145,0.1470444,-0.32288945,0.19999756,0.756987,0.31891042,0.6275376,0.28755653,-0.62831646,-1.8791927,-0.9345299,1.4879845,-0.57924044,0.39386615,1.3857522,-0.6724102
SK-N-MC,0.49320275,-0.14531225,0.9763355,0.12017012,-0.9022766,0.4755785,-0.22091646,-0.45083064,-0.8803658,-1.5511692,-0.11995448,-0.14176568,-0.17325689,-0.5151376,-0.50256467,0.62597185,0.02215084,0.53211254,0.25878522,-0.5105541,0.1099125,0.5392776,-1.2068341,-0.060430933,-1.4858876,-0.47483435
Caov-4,0.2721709,0.39972013,0.22243571,0.23994277,-0.62745756,0.6769736,-0.7809062,0.279548,-0.34298426,-0.5890275,0.072032884,-0.20696421,-0.21595971,-0.14960197,-0.38267133,-0.026773784,0.4061403,0.19091284,0.37926438,-0.4529598,-0.11616616,0.4973661,-0.38185343,0.03610384,0.18820697,-0.17069629
SNU-213,-0.52039677,1.0811383,-0.73312557,0.9482643,0.18404292,0.3431976,-0.6692206,1.0349921,0.3566194,0.59162104,0.4972543,-0.7369971,0.1579048,0.9027391,0.72706294,0.44885218,-0.039834537,-0.014779537,0.7877236,-0.87092483,-0.6002245,-0.6789806,0.53508806,0.36322328,-0.06769507,0.74424684
COLO 677,-0.2967869,0.242622,-0.25174507,-0.55264133,0.2170972,1.3061218,-1.240403,0.22022152,-1.4299321,-0.5664506,-0.22929941,0.90154,1.0224323,-0.38356507,1.519045,1.1801836,0.8187306,0.8013262,-1.1074917,-1.0975251,-0.5169935,0.5548659,-1.2282926,2.1079001,-1.137378,-0.13929719
NOMO-1,-0.63017875,0.54537636,-0.9024842,0.23451449,1.9413444,2.6296768,-0.98667634,0.20061049,-2.4102333,-0.13057525,-1.3523225,1.5309044,3.3575754,-1.8633891,2.7017403,2.8687856,1.0531461,0.48432374,-0.76169306,-1.0122193,-1.848427,0.48513207,-2.439126,2.915175,-2.5636928,1.3965424
Hs 616.T,0.49635082,-3.0796125,-1.7077149,-0.93106836,2.364798,-2.6395917,4.5548086,1.7552074,4.6895947,5.0637913,3.1722684,-0.50069934,-2.3589318,0.09572804,-0.5369326,-1.5717542,-5.582071,-1.4616508,1.7530942,4.7382307,1.760365,-5.271182,5.3415074,0.7460114,-1.4541476,1.9482726
NCI-H1563,0.62133354,-0.68903494,-0.39202628,0.1006214,0.23008151,-0.30290315,1.1739419,0.48928756,1.2551035,1.3316581,0.9374646,-0.58824575,-0.8591942,-0.19316992,-0.23399901,-0.4974501,-1.119648,-0.4125185,0.70572424,1.1993243,0.66463596,-1.2829286,1.2659724,0.351678,-0.6849409,0.40262437
