,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25
SNU-245,-1.3221906,1.2007449,-0.06734207,1.164426,0.504727,0.9107479,-4.247561,-0.2898726,-2.150558,-2.0180638,-0.39849135,-0.008015532,-0.14315893,0.45234856,1.1714941,0.5424091,0.7848573,0.40835494,-0.68790317,-2.7296152,-1.610455,1.978837,-0.40253043,0.03925268,1.7277907,-0.76241535
SNU-324,-0.121810675,0.7199528,-0.1395677,0.5501891,-0.124493636,0.7881979,-0.4539824,0.4484017,0.25251415,-0.038023677,0.21287383,-1.0304092,0.5054466,0.14394005,0.43240768,0.44247535,0.57206583,-0.058712788,0.6495609,-0.86535513,-0.6835791,0.25418928,0.024338111,0.2631011,-0.33398187,0.522144
SK-MEL-30,0.90297943,-1.8564833,-0.731567,-0.7835275,-0.3121578,-0.5907912,1.7705325,-0.5286015,0.545116,0.95612866,1.1540096,-1.3988647,-0.99024975,-1.1909934,-1.0017148,-0.17453212,-1.4543989,0.011425943,0.72266495,2.060606,0.93164706,-0.7511057,0.09040922,0.2734705,-1.4210101,-0.13660878
Hs 688(A).T,0.34196812,-3.2556584,-1.8280317,-0.8760082,2.2535534,-2.7957437,4.6503797,1.662007,4.6229324,5.2816763,3.2487304,-0.6050253,-2.3636792,-0.028378937,-0.5840002,-1.5713978,-5.6716366,-1.4319323,1.6431317,5.050736,1.8449683,-5.262381,5.526815,0.728755,-1.5991838,1.7977277
KYSE-520,-0.0088734515,-0.11623274,0.21956852,0.10113512,-0.05138857,0.102405235,0.7522542,0.52269965,0.74339074,0.4713665,0.46910214,-0.68748504,-0.27853793,0.4481746,-0.22528106,0.09393496,-0.58994937,-0.46668547,0.801169,0.46049577,-0.17584705,-1.1748414,1.0667275,0.038464714,-0.44975325,0.1793215
C32 [Human melanoma],0.96717256,-1.8560892,-0.8510413,-0.72640085,0.04389959,-0.71661603,2.0560896,-0.06285745,1.0354884,1.3516638,1.4888428,-1.4735272,-1.3312287,-0.97271013,-0.95258915,-0.3875326,-1.87309,-0.11185841,0.8460717,2.457878,1.2891058,-1.3318858,0.62255824,0.428678,-1.4100149,-0.17221215
OVK18,-0.15058072,0.17836733,0.3494054,-0.27559525,-0.68880624,0.25371844,-0.33146158,-0.36926907,-0.44900197,-0.97697884,-0.09086305,-0.36923477,-0.22175317,-0.46111074,-0.08742821,0.30361876,0.23257515,0.007510093,0.388375,-0.5659144,-0.055529896,0.7898408,-0.54087853,0.030513536,-0.4973621,-0.27544326
Ki-JK,-0.07572548,-0.00026485324,-0.49565896,-0.1500555,0.6818293,0.69766855,-0.16216238,0.36678478,-1.2432377,-0.23931508,-0.07573058,0.6765632,1.5130833,-1.1855001,1.6522309,1.197816,0.44275498,0.7326548,-0.7387533,-0.53284657,-0.79355997,0.5927994,-1.3039327,1.8811362,-1.2683002,0.25525066
MEC-2,0.06775619,0.47984564,-0.6543063,-0.51349753,0.6319486,2.7486815,-1.2189945,0.3604047,-2.658259,-0.14464772,-1.3392757,1.8295276,1.7761548,-1.6576275,2.9241683,2.3671265,0.7827968,1.3955954,-1.4030263,-0.81362677,-1.1707926,0.98860925,-3.1002176,4.495216,-3.1379147,0.6743167
LN-428,0.5479739,-1.1856645,-0.5965091,-0.3479855,0.38769737,-0.82704616,1.3299532,0.0048310733,1.4606576,1.5119951,1.1746165,-0.5844931,-1.0600871,-0.18785912,-0.4283047,-0.8121311,-1.5235368,-0.21120076,0.7241415,1.8135275,0.6584574,-1.6256298,1.7661154,0.302951,-0.7600339,0.2643743
RT-112,-0.17233671,0.47510207,-0.4539174,0.3722765,-0.017609851,0.52160203,-0.34022042,0.44297516,-0.096152626,0.4267159,0.45956677,-0.5329673,0.43903917,0.47009075,0.6334619,0.35656598,0.30760008,-0.37352479,0.6801778,-0.4044291,-0.30544978,-0.11280753,0.03674403,0.4359363,-0.21541452,0.36810577
K029AX,0.97677135,-1.9789051,-0.7847674,-0.62274975,-0.32296064,-0.5205151,1.9453751,-0.521482,0.5255,1.096798,1.3443931,-1.5055493,-1.022025,-1.0572674,-1.0286912,-0.22421598,-1.4564983,0.048296355,0.6569619,2.0633893,0.8641478,-0.7899461,0.1372464,0.14129412,-1.3638481,-0.10549887
HCC1806,-0.0015669577,0.4255802,-0.17332248,0.06168041,0.089007236,0.6770954,-0.59152263,0.36274266,-0.08020776,0.015247171,0.28278536,-0.3487329,0.15754639,0.78736407,0.395726,0.2654319,0.08009381,-0.2575301,0.4638432,-0.57075,-0.6498091,-0.5614699,0.48340687,0.13408357,0.09009819,0.3062718
SET-2,-0.78598756,0.51910764,-1.6535975,1.0197263,2.648181,1.6330005,-1.0746654,1.4797055,-2.2838757,0.610846,-0.31309772,1.9199873,3.3145258,-1.4261377,3.008901,3.0479865,-0.17537302,0.0717095,-1.4709626,-1.4742914,-1.3247259,0.890916,-1.4045957,2.7107148,-1.5906284,1.5000154
NB1,0.38472024,-0.45084167,1.7899485,-0.65613145,-2.2867644,-0.3411991,0.45100173,-1.4117912,-1.0461026,-1.7642885,-0.06160256,-0.38126096,-1.3756297,-1.4465121,-0.72821254,0.07205136,0.7287052,1.1047674,0.41334394,-1.2390051,0.47296596,1.1364887,-2.6210096,0.3955668,-3.0019662,-1.6856457
WM115,1.1985954,-2.0035598,-0.8460994,-0.6373552,0.27108312,-1.3392652,2.4997337,-0.035886426,1.8479221,2.3651125,1.8433156,-1.0558625,-1.9267652,-0.7596703,-0.94256413,-0.5875611,-2.5279126,-0.3910332,1.2018592,3.0415025,1.6472304,-2.1572447,1.3299273,0.1831281,-1.5239228,0.17162007
WM1799,0.99862236,-2.0126107,-0.8384961,-0.8574131,0.15818515,-0.8979628,2.347591,-0.40889785,1.2200403,1.5507376,1.614611,-1.3412108,-1.3484615,-1.0374817,-1.0802625,-0.36696428,-1.96998,-0.25700274,0.8877927,2.6192951,1.1912113,-1.4624796,0.67605996,0.41316882,-1.4964796,-0.037167706
NCI-H2126,-0.39083174,0.5460149,-0.16457541,0.6219047,-0.30246344,0.84311545,-0.83278495,0.5610746,-0.52867204,-0.08556278,0.49146795,-0.98451394,0.3777376,0.58988976,0.6885581,0.52856344,0.7973085,0.28334498,0.95376074,-1.2535274,-0.819772,0.8262451,0.04186572,0.06458028,-0.08655122,0.54891205
NCI-H1581,0.009599403,-0.040694743,0.8498763,-0.05465283,-1.0547915,0.25263298,-0.116436176,-0.8074617,-0.6013877,-1.2491577,-0.2782581,0.039544027,-0.4366671,-0.67015946,-0.36597255,0.26028776,0.34078807,0.078852765,0.27574608,-0.6776626,0.35627574,0.80856687,-1.2462163,-0.11716764,-1.2991871,-0.46312833
YD-15,-0.16425595,0.53487825,0.0010813326,0.41337404,0.034502678,0.2523816,0.25920925,0.4254218,0.4581868,0.34461924,0.31507522,-0.64979416,0.2826513,0.64055437,0.22944358,0.36020777,0.11112099,-0.1324773,0.2752755,-0.22396281,-0.5214376,-0.81028765,0.45921713,0.3695291,-0.4057699,0.33898714
HCC1171,-0.09460883,0.41584677,-0.35307983,0.45337057,-0.073746406,0.08914952,0.7382535,0.8247471,1.140846,0.72402316,0.6208451,-0.9730274,-0.28731194,0.5987538,0.12394722,0.21255234,-0.20598,-0.019864097,1.0879457,-0.093799606,-0.10984582,-0.8917715,0.8704356,0.27681485,-0.70248765,0.6665223
COR-L23,-0.22543053,0.876572,-0.3727029,0.67654216,0.15210406,0.2840111,-0.8751924,0.19767499,-0.06592562,0.062482834,4.5973808e-05,-0.3612527,0.45034403,0.15227507,0.8446528,0.47501224,0.68268836,-0.20237195,0.36779228,-0.944172,-0.4099639,-0.03438012,-0.04977955,0.48850888,-0.0916457,0.15644804
SCC-15,-0.23093222,0.3064558,-0.17484324,0.116860926,0.47495282,-0.0033582896,0.5736086,0.6318465,1.0900638,1.0445143,0.98252255,-0.91131884,-0.09447633,1.3173401,0.2036411,0.37702292,-1.0713395,-0.5871671,0.8856848,0.33502138,-0.46503037,-1.7687166,1.8245518,-0.0086322315,-0.49962974,0.64436203
HCC1500,-0.48096672,0.12904161,0.7951497,0.20703068,-0.59284246,0.452669,-1.3635869,-0.46409518,-0.84785247,-1.3291594,-0.31642252,-0.28160584,-0.6066178,-0.3239479,0.027443085,0.3362042,1.0095698,0.7781231,0.32719836,-1.1684722,-0.24306746,1.6847134,-1.2030597,-0.25686252,-0.2775392,-0.88780546
GDM-1,-0.4643919,0.35067838,-1.6301703,0.2533928,2.4451444,1.996369,-0.89776,0.88287187,-2.4289682,0.16973333,-0.754209,2.2190354,3.629297,-1.8291514,3.0854356,2.7218778,0.6053904,0.22499228,-1.4096801,-1.2570044,-1.498764,0.9707133,-2.0502515,3.5425766,-2.1123083,1.375822
Hep-G2/C3A,-0.5147166,0.3237939,-0.4638491,0.9567372,0.34589875,0.73666036,-1.1891026,0.2188874,-0.8164879,0.09449785,-0.1517417,-0.25766912,-0.064441785,-0.64905703,0.96474123,0.25813568,0.62344974,-0.23325816,-0.39812902,-0.33831903,-0.36642867,1.350399,-0.17437124,1.421603,0.49274844,-0.778027
HCC2218,-0.50469565,0.30122143,0.12670991,0.12659773,0.06635483,0.57166374,-2.0079176,-0.06389932,-0.91129255,-1.1270186,-0.15233785,-0.18035798,-0.46147516,0.2829903,0.44611502,0.38083094,0.7117935,0.65216905,0.24244882,-1.0604774,-0.510681,1.3873029,-0.81412995,0.20632708,0.3403535,-0.6577726
NCI-H2141,0.90972966,-0.49690372,4.4840827,0.72553194,-4.5339174,0.7681645,-2.5445383,-3.601636,-3.2628212,-5.568324,-0.582951,-0.77339804,-1.0132941,-1.6232606,-2.2355626,0.44831005,2.733514,2.2427554,1.2523406,-2.6959357,-0.05143255,4.191614,-4.434435,-2.5219274,-2.412768,-3.4232373
SUP-M2,0.14844687,0.06636024,-0.47540724,-0.14929053,0.36640546,0.9664457,-0.102151506,0.0120186675,-0.927511,-0.2151199,-0.1613185,0.45607743,1.4386058,-1.0660645,1.4217021,1.1593341,0.44840407,0.60271186,-0.8366743,-0.41201338,-0.6680626,0.3911555,-1.1260227,1.7559595,-1.3963758,0.37950888
SK-N-AS,0.572984,-0.99751914,0.19339854,-0.48361427,-0.18005744,-1.0901643,1.4314175,-0.40008837,0.78127426,0.9440548,0.79783833,-0.3133241,-0.9845255,-0.85450864,-0.563486,-0.3683635,-0.9957881,-0.06901303,0.3437549,0.97657555,0.5171632,-0.74704033,-0.12978221,0.67272866,-1.805745,-0.10546433
NCI-H1869,-0.4757062,0.9106317,-0.20563024,0.41928864,0.071838275,0.2098276,-0.64672947,0.38835427,0.3731081,0.16049194,0.09775914,-0.62842727,0.3725766,0.6738032,0.48830923,0.4618477,0.6167023,0.07560646,0.6673825,-1.505872,-0.6846094,-0.0738827,0.086605795,0.2705728,-0.2603303,0.4589145
SNU-1033,-0.9635481,0.92788696,-0.37859967,0.597401,0.21793766,0.35638368,-2.2836618,0.29754922,-0.7417029,-0.76664644,0.048528302,-0.2928256,0.050110694,0.6882997,0.82717395,0.3651018,0.25041974,-0.13233262,-0.0650445,-1.6877152,-0.92960536,0.56391305,0.16056873,0.28082755,0.8344866,-0.21666488
