,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
Calu-1,-0.26559657,0.11477575,0.18799636,0.24817699,0.6177827,-0.22720999,0.53860134,-1.0883746,0.43913898,0.6608707,0.48752442,-0.103169814,-0.35695833,0.32920682,-0.9689612,0.4851118,-0.13026835,0.30154797,-0.98083544,0.19177195,-0.28806025,-0.17849836,0.78680813,0.33262247,-1.1772611,-0.16398583,-0.33954257,0.551315,-0.3127686,0.41829792,-0.4368823,-1.6021724
L-1236,-0.7821242,-0.3292798,-0.08620326,1.900077,0.2492306,-0.49248275,-0.2775686,3.1938324,0.56396955,0.66294664,1.4755228,0.18838796,-0.22713493,-0.8283393,-1.5578289,-1.4170554,-0.5495001,0.30584005,1.6883998,0.1387811,0.11166088,-0.008187778,0.9877615,1.003994,0.35979286,0.51397574,1.363674,-0.595689,-0.25614896,-0.24173102,0.96522874,0.52675366
IST-Mes1,-0.031311184,0.10882711,0.12731297,0.22958678,0.87894046,-0.085452214,0.7190828,-1.2412851,0.32999188,0.83731264,0.5717917,-0.20507401,-0.021868173,0.5405241,-1.1162701,0.82247007,-0.064206585,0.1747615,-1.1253817,0.20876266,-0.19250338,-0.23265898,1.0511178,0.18233758,-1.507427,-0.24237856,-0.47404614,0.64604574,-0.4956508,0.4910061,-0.55794317,-2.0705552
SK-LU-1,-0.2245433,-0.12684327,0.2008427,0.17526355,0.16114417,-0.1966233,0.36566055,-0.20607488,0.27550352,0.5283066,0.38553974,-0.058336414,-0.20607658,0.14887731,-0.6956249,-0.0860994,-0.043664232,0.30956092,-0.5226675,0.14474803,-0.04450659,0.05018334,0.6216099,0.24088651,-0.6563938,-0.10410262,-0.10325401,0.27166224,-0.17311944,-0.017149674,-0.06243544,-0.92159235
HT-1197,0.07212998,-0.24738196,0.3603496,-0.41689378,0.5262471,0.7762571,0.04712732,-1.25427,0.41456056,-0.7090828,0.6119602,-0.49403766,0.90817463,0.29858723,0.2831621,0.50104815,-0.33246148,-0.03500792,-0.06584409,0.6229656,0.17607974,0.24433994,0.22905973,0.26061594,-0.287376,-0.4590605,-0.48812506,0.62164366,0.06188123,0.40981197,-0.389656,-0.37492546
LP-1,-0.8549959,-0.18659204,-0.04141062,1.7922064,0.093013145,-0.65746784,-0.42083907,3.3131747,0.87328887,0.98236907,1.5262582,0.21593654,-0.0049950145,-1.015162,-1.9156191,-1.4650335,-0.52621424,0.37461653,1.6941859,-0.006224772,0.07846567,0.19704443,1.5046346,1.1832275,0.08277312,0.13551469,1.5321289,-0.5280529,-0.49305466,-0.3394777,1.2795368,0.13026345
HuT 102,-0.40272164,-0.16619405,0.1579591,2.8778858,0.4451781,-0.914119,-0.6479691,4.5303087,0.9005555,2.2066247,2.1696477,0.61904716,-0.25128403,-1.2683326,-2.4724412,-2.6244628,-0.5730591,0.06100739,1.915287,0.3503869,0.41653696,-0.27071917,1.7028178,1.8113589,-0.0047440045,0.69819343,2.269538,-0.8738772,-0.16657574,-0.141562,1.3436371,-0.05281611
GI-1,-0.5533292,0.052296944,0.029121958,0.12633905,0.3084129,-0.5006108,0.8607811,-0.9817683,0.20266068,0.5014852,0.55595505,-0.10806931,-0.051296394,0.26106837,-0.84419256,0.13017666,-0.058687434,0.58599645,-0.6249563,0.15676981,-0.11480947,0.028406275,0.9980327,0.2999858,-1.1819949,-0.2723648,-0.22444627,0.4647972,-0.3150452,0.07636366,-0.04808123,-1.5252678
COR-L51,-1.7464712,-0.60410887,0.64967585,-1.6855881,-1.0115108,1.6581609,-0.7475138,-1.1927328,-0.9281689,-3.3918445,0.6898722,-1.5116106,2.1119602,0.58295137,1.4539933,1.7237294,0.23095039,0.6860169,0.8365009,-1.3166891,-0.16306293,0.7623752,-1.1452335,-2.4125361,1.7794186,-1.0154312,-1.2878169,0.38264018,-1.3098236,-0.23890191,-0.48886627,2.3811128
NCI-H2081,-1.5475396,-0.5597965,0.70865655,-1.4380351,-0.89258516,1.3168986,-0.70225185,-0.91412044,-0.5730072,-3.089362,0.6071127,-1.3131233,1.7082593,0.46226436,1.2494636,1.357299,0.13613829,0.77534413,0.74788696,-1.3041123,-0.14553876,0.7499654,-1.0925549,-2.0963304,1.6221657,-0.81540364,-1.0765315,0.31995565,-1.3343858,-0.26044333,-0.45683122,2.3592107
GDM-1,-1.1739314,-0.25912973,0.5121248,4.0606956,-0.36923552,-1.7474737,-1.2421097,6.1157613,0.7081107,2.760416,2.3171718,0.21433288,-0.20554073,-1.664195,-3.0144532,-3.6166596,-0.8232638,0.015690751,2.8280756,0.7770833,0.52171105,0.58710504,2.4666312,2.0929024,-0.51584136,-0.10562814,3.6225643,-1.1884685,-0.15418999,0.024138158,1.7631513,0.7294213
SLR21,0.8622942,0.45479563,0.8650326,-0.7547462,2.1043985,0.34569445,1.4176154,-4.1275983,0.5641449,0.5248307,0.5619101,0.038024154,0.82264805,1.6349784,-0.7076785,2.0573277,-0.15002097,-0.40776175,-1.7512507,0.29008996,-0.75566596,-0.60657525,-0.08149488,0.18429753,-3.0622554,-0.9506203,-1.5657271,1.6379485,0.010162836,1.142598,-1.7843837,-3.0379767
MHH-ES-1,-0.45165688,-0.05482939,-0.10593616,0.22550966,0.45258158,-0.26081225,0.7631327,-0.17139998,0.23112856,0.17907381,0.602331,-0.17185196,0.11337207,0.29167527,-0.87465906,0.18115658,0.0739687,0.43429908,-0.123636544,-0.4837069,-0.06344147,-0.5719816,0.695253,-0.23052056,-0.47444504,-0.27179074,-0.49864843,-0.30914396,-0.5948139,-0.09437098,-0.22336859,-0.33107713
YMB-1,-0.95600444,-1.3158295,0.818546,-0.21348102,-0.12558627,1.3146508,-1.0342537,-0.43879294,-0.56714034,-1.9557498,0.48308495,-0.8282515,1.1776516,-0.39564517,1.4734838,0.43415198,-0.3973927,-0.56648237,1.0280991,0.12232053,0.2347966,1.2705395,-0.61114967,0.08645998,1.0038285,-0.7073513,-0.08245592,0.4803536,-0.08532396,0.09386281,0.298907,1.1078688
SNU-324,-0.13679156,-0.14406076,0.90781075,0.08418927,0.465703,0.8724272,-0.31410664,-0.5911173,0.454359,-0.8634153,0.35905573,0.016887398,0.64705133,-0.29314265,0.77674794,-0.030727837,-0.61717635,-0.24558388,0.7977335,0.81766427,-0.11363658,1.2938362,-0.56896317,0.36898783,-0.07040137,-0.24092443,0.2328456,0.38877082,0.40166482,0.58215636,0.025028247,0.33192602
EFM-192A,-0.55520684,-1.1997862,0.5767175,-0.13566682,-0.356494,1.0556285,-1.0162221,0.025620783,-0.6460666,-1.4960264,0.50629616,-0.89996386,0.99602985,-0.46224618,1.0989509,0.3347981,-0.22690482,-0.46268922,0.94970334,0.14005156,0.49254283,0.94925296,-0.22400248,0.4318328,0.86771625,-0.7613751,-0.0431567,0.17896439,-0.15045983,0.032359876,0.19911958,1.0593008
NCI-H1395,-0.32508546,-0.8952952,1.1732371,-0.026178174,0.36154476,0.8417856,-1.0531585,-0.7887304,-0.26687437,-1.521614,0.16591801,-0.5398776,0.87735397,-0.12324421,1.064337,0.4180582,-0.6290772,-0.50141287,0.55691457,0.15823321,-0.025008537,1.1673876,-0.82526326,-0.10920474,0.66527855,-0.4517479,0.0360512,0.3035068,0.18680319,0.20311435,-0.11341357,0.9342824
F5,0.22783498,0.43311566,0.31114417,-0.21411295,0.8597974,0.022889845,1.4544699,-1.9778198,0.22755654,0.67064744,0.7127772,0.029666925,0.50332004,0.96587384,-1.1860511,0.8538145,0.38961506,0.20688386,-1.1643457,0.04705581,-0.35830468,-0.61505294,0.72892153,-0.051929634,-1.732932,-0.4651245,-1.0646567,0.8546138,-0.26649183,0.14506689,-0.96811587,-2.3813019
JL-1,0.30775404,0.27095073,0.3292756,0.031229142,1.6939216,-0.09858824,1.5112573,-2.862591,0.5216929,1.4155298,0.9063987,-0.17706996,0.17971757,1.1863515,-1.7508011,1.6311289,-0.032555938,0.19597127,-1.8664494,0.2262712,-0.5044941,-0.66351163,1.2669216,0.37095875,-2.9323153,-0.64703226,-1.03808,1.5666317,-0.3901336,0.744991,-1.1810263,-3.7223437
J82,-0.14107649,-0.063855074,-0.0035042465,0.18907177,0.4630285,-0.16674003,0.21853583,-0.7053767,0.30166447,0.3750068,0.4637827,-0.06553119,-0.18160377,0.3256375,-0.6903537,0.19672006,-0.102116704,0.3601753,-0.7151324,0.201106,-0.18895462,-0.0788546,0.6381813,0.17169279,-0.7787452,-0.054318633,-0.17193991,0.32743388,-0.38590366,0.2172044,-0.19614935,-1.0053762
LCLC-103H,-0.4631734,-0.0015835017,0.27180663,0.34613752,0.6461124,-0.1740799,0.31384784,-1.0719997,0.46908942,0.42208052,0.3467766,-0.121385805,-0.30580407,0.040982384,-0.6957898,0.41377372,-0.32383138,0.23443279,-0.79816425,0.2218943,-0.23876134,0.048585773,0.60683286,0.3178322,-1.218376,-0.2839251,-0.08079576,0.5124878,-0.23948704,0.3860028,-0.3375817,-1.0949491
AML-193,-1.162626,-0.5101405,0.46680915,4.296059,-0.39833036,-1.8075192,-1.1389598,6.192491,0.831527,2.7862737,2.120855,0.24169827,-0.3846806,-1.6003584,-2.800661,-3.5773647,-1.1917465,0.21930362,2.7653582,0.6700535,0.2543123,0.55708057,2.4785216,2.1907408,-0.45120144,0.17525396,3.6132848,-1.0655969,0.055002723,0.056774147,1.9134945,0.9498364
MDA-MB-175-VII,-0.25888658,-1.3508092,1.0585766,-0.24980243,-0.24200031,1.1747725,-0.38351023,-0.53032583,-0.29353648,-1.7793134,0.58484113,-0.971053,1.3384074,-0.5570665,1.4156725,0.7101969,-0.53821295,-0.55910367,0.8379517,0.52280724,0.4984056,1.305556,-0.2172553,0.62610227,0.83095723,-0.70008016,0.17518505,0.4450854,0.3479934,0.15844987,0.24977584,0.44181266
CL-40,-0.50624275,-2.2576056,2.0532591,0.6423045,0.051430747,1.7422305,-1.1768826,0.11612666,-1.1784176,-2.5077198,1.0798904,-1.3784885,1.777333,-1.4466374,2.4525604,0.88038605,-1.4529293,-0.83378404,1.0501999,0.6381753,0.6259121,1.8967079,-0.5848384,0.90489846,1.0470902,-1.6870866,0.57029843,0.40331137,-0.25602648,0.3634355,1.1047364,1.504452
SNU-1105,-0.010008516,0.0903363,0.2750109,0.17269622,1.6238264,-0.13106383,1.9233397,-2.7613606,0.47741714,1.6284384,1.160096,-0.3121272,0.043592982,1.1597148,-1.8666439,1.6633338,-0.06396836,0.42219183,-2.1541514,0.2217684,-0.3057566,-0.77794623,1.6979178,0.4282163,-3.166068,-0.58801705,-0.9327534,1.6236974,-0.6217634,0.44045067,-0.9009763,-4.181779
LN-464,-0.25976714,0.039131112,0.045278013,0.050564803,0.6094449,-0.028513536,0.6358921,-0.5969485,-0.23197594,0.68450004,0.71009934,-0.14619407,0.26677272,0.1302227,-0.9918989,0.2191879,-0.1164099,-0.01779429,-0.9082337,-0.07752411,-0.6124468,0.2030786,0.5764911,0.37715095,-1.1424476,-0.63623726,-0.41931427,0.20434524,-0.61748797,0.3491808,-0.22994877,-1.0713624
SK-N-BE(2),-0.84432906,-6.982684e-05,0.53270394,-0.24171384,-0.58200663,0.37321085,1.0473423,-0.36859,-0.583206,-0.84593356,1.5403516,-0.7859642,1.6429045,0.93264145,-0.6964641,0.72276783,0.41742402,0.517475,-0.46663812,-1.1009885,0.36806127,0.009439003,0.90992403,-1.0152031,-0.20131066,-1.2867194,-0.8681978,-0.021126337,-1.599991,-0.55924344,-0.32384813,0.04542159
WM793,-0.1802127,-0.13049692,0.102510214,-0.034749545,1.0442895,-0.018717438,1.1463268,-1.6395326,0.31987944,1.2265677,0.84921795,-0.14552614,-0.17549102,0.6794185,-1.3493786,0.8202665,-0.15374707,0.32829228,-1.5244364,0.28264427,-0.29957792,-0.30708647,1.327296,0.42855734,-1.9122373,-0.50593346,-0.6025063,0.9700461,-0.47234952,0.49376032,-0.5800838,-2.707894
CL-11,-0.13709767,-0.66827995,0.5767839,-0.0038164854,-0.2769476,0.880379,-0.46559268,-0.08203921,-0.37162322,-1.2323182,0.38737836,-0.7145666,0.64729446,-0.37776297,1.0684547,0.25481072,-0.34222782,-0.05054256,0.2986793,0.23034383,0.5089103,0.698764,-0.34672102,0.42177302,0.5487443,-0.47452757,-0.071576476,0.26732808,-0.13478883,0.08650964,0.3224519,0.788657
SK-MEL-31,-0.27629042,-0.1575647,0.04462336,0.0038466975,0.75340813,-0.023111917,0.87973785,-0.9765939,-0.08492143,0.8611474,0.86155593,-0.25867665,-0.04506814,0.2594582,-1.0971551,0.40187734,-0.36084437,0.23246945,-1.313099,0.191814,-0.41392556,0.055113178,1.1001631,0.45708376,-1.4084544,-0.6003205,-0.30466536,0.58775246,-0.655048,0.27925336,-0.27194098,-1.967111
LAMA-84,-1.0196557,-0.0744024,0.3873442,3.150858,-0.6862926,-1.5630934,-1.3127079,5.156983,-0.11363141,2.8271558,1.7918653,0.23018113,0.33008462,-1.4091752,-2.6415677,-3.2310758,-0.21107711,-0.18727425,2.2906296,0.4586511,0.3363597,0.7422623,2.3487551,2.0319793,-0.4522323,-0.5830204,3.0310621,-1.0692378,-0.43119577,-0.17890343,1.4667395,0.8608031
U2OS,-0.29233718,-0.083402865,-0.13243294,0.055657726,0.37797552,-0.14423726,0.25644055,-0.8386361,0.17834817,0.26768103,0.5072065,-0.116635196,-0.14084701,0.21127191,-0.38358477,0.26973823,-0.12631245,0.44609198,-0.70106775,0.25274318,-0.046643473,0.060920317,0.79245913,-0.19203487,-0.6540818,-0.026826322,-0.32452893,0.21309115,-0.25305673,0.3409626,-0.07897736,-0.8410014
NCI-H1339,-0.41915333,-0.018063594,0.16967821,0.20284198,0.021750554,-0.2411108,0.35692275,-0.14266351,0.19959916,0.31291136,0.11576569,0.08898389,-0.3650922,-0.03260548,-0.4315617,-0.2559256,-0.10095613,0.328127,-0.33420545,0.04631213,-0.017909324,0.024760444,0.35880774,0.25030392,-0.34650087,-0.040065233,-0.10597955,0.06792621,-0.025129404,0.066532284,0.056312498,-0.31020662
LN-18,-0.4727376,-0.22344741,0.02317264,0.31420198,0.119556196,-0.29243544,0.44617066,-0.24789576,0.2108857,0.47114292,0.35051975,0.013251573,-0.3745248,0.0014359776,-0.5779814,-0.10852282,-0.19183876,0.43957987,-0.5328151,0.15455022,-0.13576873,-0.013826612,0.73580754,0.3069055,-0.6535535,-0.071035825,-0.087246306,0.0410273,-0.1927037,0.06930333,0.076262444,-0.7133037
Ri-1,-1.1919359,-0.92792624,-0.41515642,2.9288783,0.21972454,-1.3464786,-1.0267922,5.764756,1.3273147,1.3528483,2.9850874,0.19400167,0.0004643537,-2.2120845,-2.8036757,-2.4149733,-0.8181752,0.645812,3.0414577,0.24415793,0.4421704,0.09253528,2.7432234,1.9153662,0.89268094,0.25853917,2.8867943,-0.8268509,-0.9455152,-0.14874633,1.8314741,0.27265635
A-1207,0.0248305,-0.02721652,0.19921175,0.047778837,1.3104752,-0.083749756,1.2133449,-1.9675668,0.46490917,1.1035646,0.75453454,-0.13324386,0.01354317,0.85590565,-1.2305684,1.0042931,0.061554346,0.26569852,-1.5905976,0.20222548,-0.46216503,-0.50347465,0.9600488,0.38079762,-2.039528,-0.2720551,-0.8475346,1.0868684,-0.538675,0.53733367,-0.8396463,-2.6512187
BC-3C,-0.099321984,0.37294996,-0.14355466,-0.47310466,0.34825104,0.34849527,0.78061473,-1.4186333,0.90472883,-0.5617688,0.3999079,-0.11129702,0.26025024,0.100579776,0.13320693,0.4866549,-0.078940496,0.64859146,-0.339446,0.52214223,0.056338284,-0.04108789,0.23681067,-0.010594014,-0.5596593,-0.05354042,-0.37867314,0.3666098,0.74719,0.18210539,-0.37048775,-0.7384978
JHH-7,-0.6832078,-0.8274253,0.32282078,0.25771672,-0.17209491,0.35148245,-0.7956809,-0.15581416,-0.455192,-0.5654849,0.5636941,-0.4162324,0.6999618,-0.08867501,0.5144672,0.14229152,-0.15314774,-0.1740684,0.57112956,-0.010105642,-0.033446867,0.46157235,-0.20190337,0.07537873,0.8603378,-0.75787646,0.16559896,0.10429531,-0.093812704,-0.33554953,0.088567466,1.0783212
HCC1599,-0.7237148,-0.5207629,0.3316397,-0.47892934,-0.11395071,0.95708394,-0.7511501,-0.4679095,-0.019395499,-1.5219994,0.17663111,-0.54978627,0.68719554,-0.13201423,1.3346651,0.20796645,-0.3630104,0.16216579,0.7324373,0.15191022,0.312301,0.82176983,-0.7164092,-0.24729224,0.6185246,-0.32777488,-0.3751262,0.34851193,0.056035038,0.14564705,0.0071039386,1.1977984
NCI-H1436,-1.5752788,-0.45818904,0.6789708,-1.4014428,-0.93761027,1.3266544,-0.7633066,-0.8856681,-0.6700353,-2.9088612,0.55598354,-1.2189727,1.5674634,0.49751988,1.0063152,1.282821,0.09155308,0.58080304,0.7424294,-1.3578855,-0.20171507,0.75652564,-0.9544494,-2.0035362,1.5488483,-0.91396,-0.96574926,0.14332369,-1.2106168,-0.2346971,-0.4490633,2.2134476
CFPAC-1,0.27013516,-0.44870886,0.7575657,-0.15223478,0.054154165,0.7749641,0.10888811,-0.70847744,0.14501174,-0.89856726,0.7094514,-0.2439563,0.99475443,-0.3262453,0.61645323,0.28431275,-0.36738878,-0.05112471,0.33068192,0.5851746,-0.01996409,0.7999998,0.17696267,0.8097277,-0.22550435,-0.8637654,0.025672536,0.4605897,0.065812334,0.43935302,0.064079374,-0.3988538
MPP 89,-0.17352143,0.02324497,0.07252502,0.05916751,0.6726386,-0.30286866,0.75091505,-1.1129054,0.4098495,0.7053715,0.5192186,-0.21988466,-0.14093453,0.49945652,-0.99957037,0.73614305,0.04140638,0.39880985,-1.0580138,0.19093488,-0.13608772,-0.21741676,1.1048442,0.16797444,-1.3624396,-0.13985641,-0.3718866,0.70318836,-0.40433633,0.10891012,-0.37148312,-2.0101964
HLE,-0.25557104,-0.010298505,0.20796347,0.30575803,0.20027938,-0.22282967,0.30050904,-0.30967274,0.25954816,0.41224083,0.24272706,-0.10638234,-0.2805192,0.0713525,-0.7075716,0.100504965,-0.25090122,0.16199905,-0.5369002,-0.030078653,-0.033785246,-0.13363624,0.49054563,0.29104498,-0.6233706,-0.100396186,-0.15017948,0.18904988,-0.2939905,0.15302218,-0.16039783,-0.6472293
Hs 729.T,-0.069955036,0.051125545,-0.007591948,0.07414212,1.2325089,-0.37711394,1.6057886,-2.3829956,0.40164837,1.5027936,0.92121446,-0.27336174,0.033744816,1.0048761,-1.6701095,1.1755148,-0.06318047,0.6973455,-1.6470196,0.29938853,-0.40833342,-0.58212113,1.6590556,0.42623112,-2.4421463,-0.4468613,-0.81114477,1.4685718,-0.47921416,0.5045065,-0.78757495,-3.7414844
BL-41,-1.4313946,-0.92226154,-0.50217295,2.9908679,0.05271352,-1.4803263,-1.0166507,6.569717,1.4741222,1.4159628,3.1657794,0.33048782,-0.14247693,-2.4207454,-3.5390532,-2.6443553,-0.8757257,0.8664074,2.845772,0.0633098,0.70610726,-0.052321404,3.1208549,2.0347238,1.0596644,0.5480443,3.1920822,-0.91883177,-1.3854002,-0.427475,2.1532655,0.40209872
NCI-H2291,0.45052344,-0.08109936,1.03929,0.08130175,0.5768104,0.9031594,0.10232601,-1.2877406,0.8713124,-0.6885607,0.52636766,0.10435047,0.8079797,-0.0029966857,0.22787023,0.19161671,-0.6717528,-0.3291203,0.14655182,0.947891,-0.14519715,0.7268297,-0.31607878,0.6166316,-0.4429649,-0.36577612,-0.108780675,0.6500286,0.3906727,0.7293353,-0.41104797,-0.46746346
NCI-H810,-1.5514389,-0.5834263,0.8417771,-0.8277144,-0.9533188,1.3155594,-1.2050403,-0.40301055,-1.0479276,-2.670053,0.53892154,-1.3849876,1.3704343,0.37865296,1.0341151,1.2014315,-0.021327421,0.29372633,0.65862596,-1.0473908,0.024026431,0.46620363,-1.0395858,-1.558959,1.7226199,-0.8855431,-0.5492829,0.22592749,-1.3270075,-0.33465812,-0.23892935,2.5443313
HCC1195,0.17629942,-0.30779067,0.99475974,0.06772432,0.4360149,0.8402361,-0.03908448,-0.9808009,-0.06269885,-0.6063726,0.4592061,-0.3640573,0.9897558,0.06427907,0.014412738,0.67613775,-0.1568513,-0.5831391,-0.047047473,0.46109942,-0.02574917,0.3015546,-0.13658853,0.38227493,-0.36854127,-0.8028876,-0.2891854,0.5487232,0.17064525,0.34481013,-0.3493992,-0.41533753
RERF-LC-A1,-0.3293981,0.04283003,0.044914596,0.09894091,0.39051202,-0.21777487,0.21380647,-0.60901296,0.32148787,0.21880609,0.3193397,-0.058590695,-0.19440013,0.23169166,-0.5584564,0.08166376,-0.10580115,0.29760763,-0.6095979,0.065409616,0.007463498,0.020951336,0.3516489,0.10486956,-0.53550977,-0.044479623,-0.23427433,0.12196171,-0.2506011,0.094076335,-0.14370196,-0.57735145
NCI-H1876,-1.2917113,-0.23464596,0.42605576,-1.2592696,-0.5709335,1.130202,-0.30542666,-1.1077102,-0.51317817,-2.3984234,0.4301536,-1.054263,1.2972325,0.5258564,0.8595945,1.1722456,0.12998477,0.48177963,0.446192,-1.1845802,-0.15313976,0.5606728,-0.7978697,-1.7450762,1.1284993,-0.66073656,-0.9868842,0.057590708,-1.1673515,-0.25187367,-0.5155156,1.6197773
L-363,-1.0265152,-0.14141709,0.037495717,1.977718,-0.14337674,-0.8981554,-0.45172825,3.7121713,0.74315125,0.80763537,1.5545013,0.19329616,-0.23411848,-0.81190854,-2.213968,-1.6816229,-0.3907748,0.3950464,1.7172002,-0.3651263,0.4464389,0.055912435,1.4059691,0.955452,0.6449542,0.4424569,1.5507115,-0.866587,-0.7891197,-0.66963,1.2766267,0.6549705
CHP-212,-0.35906747,-0.06838515,0.057281345,0.096086435,-0.009247355,-0.360158,0.67693716,-0.35703003,0.190489,0.36869448,0.6510292,-0.120913975,0.104592025,0.22315158,-0.69581264,-0.12762323,-0.16389166,0.46841934,-0.32376516,0.0309174,0.12660275,0.29321656,0.73894215,0.2515908,-0.6886472,-0.24807382,-0.1652408,-0.08116685,-0.2256897,0.053840265,0.024610389,-0.76398546
SNU-601,-0.58079493,-1.8061396,1.4599237,0.38467848,-0.09924193,1.6331615,-1.1338594,0.07694307,-0.8877547,-2.2028353,0.99724036,-0.96457636,1.4684416,-1.2755915,2.1759028,0.45447394,-1.3103063,-0.5572635,1.0905484,0.5499987,0.5455619,1.741956,-0.39532337,0.8179966,0.9202845,-1.1771781,0.37249035,0.3278787,-0.114929825,0.22130826,0.95637697,1.4979999
NUGC-2,0.09487275,-0.11131977,0.46881378,-0.4836439,0.41764876,1.0325027,0.6199013,-1.6096122,0.8275118,-1.1573848,0.7655142,-0.4872938,1.1694736,0.25626585,0.52254164,0.81670994,-0.14897862,0.3629443,-0.34989658,0.8553017,-0.12669696,0.11506313,0.5093111,0.21751645,-0.43789828,-0.54239035,-0.44683278,0.8447263,0.485404,0.3153011,-0.49882978,-0.9817615
Calu-6,-0.22272274,0.055040073,0.04859987,0.15237853,-0.096056744,-0.19039133,0.2567932,-0.039923407,0.0549281,-0.118989594,0.1466011,-0.0031504147,-0.06255238,-0.010852524,-0.18619804,-0.1420801,0.024402678,0.2773929,-0.19245528,-0.13150272,0.114203334,0.1021787,0.20769206,-0.04375745,-0.041160848,0.003643802,-0.10905157,0.0011769086,-0.1665478,-0.22088975,0.062198173,-0.14190653
COR-L279,-1.1202089,-0.28531,0.73264235,-1.7380532,-0.80586976,1.8457079,-0.62619776,-1.3952891,-0.70548874,-3.1755712,0.85226107,-1.3815942,2.0645335,0.8714993,1.1452074,1.7037868,0.08982457,0.50681204,0.48221484,-1.2745214,-0.1900103,0.43657747,-0.92408776,-2.3141823,1.3198699,-1.1507589,-1.3319778,0.40524745,-1.2322503,-0.23769102,-0.73215204,1.911482
SF767,0.68584836,-0.16481033,0.37504843,-1.0708201,0.40226606,1.6024023,0.92546415,-1.926192,0.8415743,-1.729815,0.944747,-0.7658158,1.9888058,0.2670248,0.76909447,1.2085474,-0.06863566,0.2752253,-0.013782474,0.75997967,0.16398059,-0.044029847,0.06300471,-0.3052492,-0.3723665,-0.6066627,-0.91356504,0.9665927,0.68583316,0.1227754,-0.6649665,-0.69582605
LN-443,0.21109048,0.17265147,0.31633946,0.0026885793,1.646714,0.0077743456,2.0851858,-2.706398,0.3141595,1.660111,1.0129176,-0.21792838,0.21191356,1.2086741,-1.7984719,1.5236897,0.17185241,0.27196744,-1.8515431,0.12255645,-0.3754035,-0.96181107,1.486561,0.325545,-3.0021853,-0.50338167,-1.1749257,1.5235325,-0.5094779,0.45786256,-0.9986658,-3.8056614
SIG-M5,-1.0985668,-0.6233888,0.445155,4.1719565,-0.34569728,-1.5814976,-1.1179199,6.0078716,1.0220568,2.42298,2.1751559,0.19105327,-0.3574763,-1.6678896,-2.7623754,-3.4230494,-1.2235116,0.33952174,2.7086003,0.71678007,0.14330034,0.57355255,2.432411,2.0984247,-0.40291366,0.18837234,3.5980093,-0.9259714,-0.026152711,0.09888095,1.8160735,0.76555586
Kelly,-0.7971206,-0.017995123,0.6026355,-0.2045473,-0.5007898,0.55160296,0.87475795,-0.38465974,-0.6351556,-0.78431034,1.4724953,-0.70922434,1.56469,0.9084017,-0.7228422,0.800844,0.433227,0.3664412,-0.3405449,-1.1478187,0.3477771,-0.022511821,0.6263262,-1.0959829,-0.11949018,-1.2031966,-0.8517768,-0.042878017,-1.7274017,-0.53357553,-0.5006368,0.3183752
Hep-G2/C3A,-0.46179035,-0.9909315,0.6218693,0.70851755,-0.45478734,0.3200388,-0.98114175,0.26879972,-0.87630546,-0.44334447,0.763625,-0.56581575,0.7308918,-0.22712076,0.06334689,-0.028758239,-0.17724979,-0.77447534,0.5503471,0.1942538,0.32318988,0.32943374,0.21243888,0.8691348,1.1299099,-1.0560466,0.6054215,0.09983061,-0.085207954,-0.18529157,0.12723887,0.9922272
NCC-StC-K140,0.26922977,-0.38530734,0.4343317,-1.0814552,0.4323724,1.4972216,0.5440848,-2.1562157,0.6232855,-1.8304136,1.0074031,-0.97012013,1.8642155,0.34794047,0.8608544,1.3887651,-0.22010703,0.3753543,0.090262815,0.6394114,0.117391214,0.07022345,0.38292918,-0.27567,-0.22970824,-0.71211606,-0.79549354,0.9570374,0.41330758,0.23032483,-0.76170707,-0.6150469
MOG-G-CCM,-0.40479454,0.010793768,0.105312824,0.21019658,1.1797415,-0.29719684,1.3818357,-2.188502,0.43394172,1.1533545,0.91224736,-0.29465017,-0.12565288,0.8235205,-1.4847498,1.1481057,-0.1398995,0.3937147,-1.6245586,0.33742747,-0.26097047,-0.413557,1.5005952,0.3813868,-2.4008055,-0.39747682,-0.61867136,1.2585539,-0.5217794,0.4281685,-0.5086826,-3.2644424
MM1.S,-0.9922298,-0.33026615,0.006399043,2.783035,-0.16923857,-1.0837705,-1.0239141,5.0031743,1.2100644,1.4714193,2.2250245,0.513299,-0.19606717,-1.8020227,-2.4106596,-2.3849964,-0.63568866,0.25878137,2.494658,0.2607497,0.45115963,0.3249945,1.8978416,1.5849338,0.72753626,0.3562974,2.6915848,-1.0198585,-0.2865772,-0.31059688,1.9751742,0.45595217
SW1990,-0.15600033,0.17299658,0.05080972,-0.091646224,0.11967444,-0.026228208,0.15956634,-0.4136098,0.30343512,-0.08924682,0.3308747,0.03467097,-0.093538254,-0.027239872,-0.13107774,-0.14703189,0.049791202,0.42464423,-0.15043132,0.227628,-0.04301963,0.16068979,0.19603272,0.32719317,-0.102366105,0.029288966,0.07586003,0.2833221,0.20463598,0.07135659,-0.084384486,-0.45124653
