,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
SLR24,0.4631854,0.3944333,0.8123067,-0.45320505,1.9371954,0.29904097,0.99445736,-3.167202,0.71578825,0.75440645,0.5578783,0.23051444,0.46075973,1.328774,-0.8698273,1.4519601,-0.24661113,-0.39061436,-1.4882348,0.39923438,-0.68242776,-0.42025277,-0.05453922,0.3513175,-2.798061,-0.50774366,-0.9448227,1.4431266,-0.04105318,1.0945143,-1.4066242,-2.6553
CAMA-1,-0.7269639,-0.95746374,0.45067433,-0.09751922,-0.46885967,0.6169515,-1.1572931,0.17864631,-0.8636268,-1.0241035,0.35327828,-0.9428873,0.7827796,-0.072080374,0.6508561,0.35694262,0.0854896,-0.42458218,0.81541055,-0.40769917,0.5593707,0.6219666,-0.3888295,0.047575705,1.0716118,-0.7178911,-0.18801534,-0.00418783,-0.574134,-0.08338523,0.050730083,1.2904197
8305C,-0.34216022,-0.12624142,0.09146215,0.10411665,0.8240243,-0.22186154,0.8656975,-1.5897374,0.6606699,1.1018908,0.5634728,0.02880437,-0.33667284,0.57789296,-1.181045,0.59752655,-0.20609452,0.481083,-1.3662723,0.20072593,-0.31289473,-0.32297343,0.9837593,0.4634009,-1.7283447,-0.23907706,-0.5369959,0.97950333,-0.32126504,0.46706063,-0.5334251,-2.3391528
23132/87,-0.71515393,-1.7832623,1.5216146,0.19356878,-0.1669934,1.5386895,-1.3980094,-0.014035327,-1.0567548,-2.284437,0.8647725,-1.2522709,1.2165111,-1.0066736,2.2953944,0.42616105,-1.1173725,-0.500041,1.2533793,0.35820952,0.5629993,1.8929344,-0.6341467,0.7153684,1.1176091,-1.1718378,0.3029907,0.3530802,-0.23210339,0.15162215,0.7647186,1.7916458
TE 617.T,-0.20865065,-0.1173723,-0.6310107,-0.34512752,0.077057,-0.17767629,0.28243178,-0.69100416,0.012134543,-0.060727082,0.4154084,-0.09279087,0.51827896,0.5904391,-0.75098497,-0.034899823,0.22076313,0.61267823,-0.43355575,-0.18866032,0.072043106,-0.22816515,0.761845,-0.79794735,0.24541494,-0.2935257,-0.73948765,-0.121959,-0.18392763,0.08892827,-0.556883,-0.06720267
OCI-Ly19,-1.5599891,-0.6952859,-0.15618855,3.786389,-0.4172501,-1.6397302,-1.5739161,6.7734833,1.1208606,1.9525708,3.0138562,0.23869124,-0.15564694,-2.5347383,-3.3959816,-3.0866976,-1.0399305,0.25103143,3.0141652,0.13475537,1.0270069,0.39894134,3.0967581,1.9450333,1.2134916,0.17648187,3.7656012,-1.3639028,-1.2135748,-0.2700718,2.157866,0.9178996
P31/FUJ,-0.84140754,-0.6682783,0.31861594,4.2498603,-0.24616364,-1.5955545,-0.5918923,5.8446016,1.3309549,3.0315511,2.1325037,0.25047833,-0.5228836,-1.5669806,-2.5094707,-3.3170414,-1.3962737,0.5273549,2.4964974,0.868075,0.0783014,0.26742244,2.362022,2.2341223,-0.79111147,0.39911875,3.4427443,-0.70899314,0.28524587,0.042437978,1.7469078,0.33831203
CMK-11-5,-1.4210835,-0.3446618,0.5408877,3.5044498,-0.8301241,-1.6625817,-1.6095835,5.86095,-0.03381133,2.2847085,2.0620573,0.32893163,0.34493127,-1.647004,-2.7541566,-3.5200286,-0.39741302,-0.12679736,2.7017589,0.6801498,0.45096552,1.0340167,2.083217,1.9827445,-0.08646636,-0.21806408,3.3221722,-1.4228776,-0.49203935,-0.21144962,1.8747598,1.4713247
NCI-H209,-1.8844738,-0.5190839,0.6912001,-1.3420606,-1.0307271,1.4271362,-0.8717996,-0.6882503,-0.8363335,-3.2539763,0.56345785,-1.3190746,1.7522258,0.41260517,1.1741381,1.3711298,0.20503591,0.5714956,0.971965,-1.3307655,-0.21655205,0.8777241,-1.1087837,-2.0712216,1.746011,-0.82147235,-1.0038414,0.2691937,-1.4413824,-0.32565132,-0.25156403,2.4841332
HCC70,-0.15177624,-0.714498,0.34001306,-0.082479686,-0.33551714,1.0079305,-0.34434792,-0.08059902,0.1387187,-1.3005381,0.49096015,-0.5461336,0.6110686,-0.601046,0.883867,-0.0576596,-0.4261877,0.1520889,0.65038145,0.65089774,0.6760971,0.6627527,0.28209913,0.70289534,0.65715957,-0.6287281,0.20379451,0.19610764,0.17429017,0.17237808,0.19904037,0.60796654
SK-MM-2,-1.2437683,-0.47702587,0.19805026,2.3302283,0.025668196,-0.90567744,-0.98750335,4.383303,0.6051998,1.1162267,1.4331685,0.09831045,-0.17790647,-1.271394,-1.710058,-2.1283643,-0.9007435,0.41530445,2.5724206,-0.23877762,-0.067531094,0.48313642,1.6202708,1.1800277,0.8448471,0.36909583,2.0915372,-1.1478662,-0.7007295,-0.6752536,1.5950061,1.0502117
HCC1954,-0.28807154,-0.7327564,0.49539554,-0.16440219,-0.15140599,0.995026,-0.44633004,-0.28764468,0.24504955,-1.2025578,0.42350587,-0.35830677,0.8086241,-0.36442748,0.8086287,-0.051196437,-0.39672065,-0.03639852,0.6577066,0.76289696,0.34526923,0.88934606,0.00337689,0.5636575,0.5700615,-0.45235032,0.1789464,0.32462358,0.3365898,0.29201207,0.13965929,0.5586727
SNU-46,-0.14124218,0.10848947,-0.08048178,0.11847701,0.43383902,-0.24346897,0.4019902,-0.9438987,0.49757215,0.13216904,0.42104733,-0.0780498,-0.20793982,0.25541788,-0.44541517,0.28664744,-0.13181466,0.41171747,-0.6678523,0.31630543,-0.03449754,0.079354785,0.32498053,0.0041698776,-0.60595757,0.029580764,-0.2555358,0.16418347,0.11545023,0.25373825,-0.13135345,-0.7737905
