,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104
JK-1,-6.9773865,-7.8524137,4.544029,-4.830241,5.527866,8.147311,9.428383,5.684529,7.0131693,8.642765,4.8409157,3.8661382,-2.6993837,10.145716,-2.2200274,-4.0673795,3.4468217,5.5045085,-3.9840612,-0.90722406,2.4467642,10.606795,-1.1124394,7.3078413,0.18301742,-2.0429962,5.0774326,3.611011,1.1118059,4.3862658,0.86982423,-8.290467,-2.439434,4.833278,-4.6826205,-10.156006,0.43309864,-5.395316,7.7979407,-4.675585,2.709912,-5.604327,-2.3572445,5.1067433,-5.598928,-10.325354,1.4479556,2.9761877,-0.39874274,5.344837,0.79832,-8.627417,1.8975521,3.053909,-17.230028,7.470598,8.747056,1.3292677,11.969163,-14.972997,-4.7319937,0.45983365,1.5436286,0.14185533,8.956276,-9.742719,7.99797,-3.9565518,8.168861,4.409823,-2.3274295,-9.689877,-7.347962,-5.7591267,9.915722,-2.3191578,5.103236,12.058771,9.237837,13.955351,-2.1467862,11.708276,3.7210805,6.5260754,5.735085,8.229093,-7.9781265,-6.2871137,4.8961205,11.336843,-1.1973817,10.315222,-8.031334,-6.874153,-0.43392324,0.9515141,6.735273,-10.445097,-3.02992,4.15305,3.2585723,3.54885,-0.020355716,3.6637435,0.029380746
NCI-H1703,-2.3500075,-2.1224933,0.73083377,-1.7740195,2.0436785,3.403169,4.510622,2.3614526,3.1941175,2.213385,0.86905766,1.606497,-2.024373,3.284599,-1.2152463,-1.9091036,1.5871407,3.9234734,-1.845886,0.5201173,0.50205123,4.1583934,-1.0350717,2.629994,0.07841551,-0.5671186,1.9049294,2.049068,0.19434176,1.2456812,1.09288,-3.289194,-0.8340209,0.8506577,-1.354379,-3.0401292,0.2309697,-0.709547,2.9588406,-1.5253698,1.7167635,-4.1911435,-1.4024446,1.6691713,-2.6968143,-3.8423524,1.244377,1.2019633,0.5926546,3.2375243,0.28990576,-3.1285236,0.7369334,0.2780457,-7.1814404,1.4193664,2.6591182,0.29000413,5.14779,-5.8686996,-2.6469355,1.2635375,-0.01735624,0.01330727,4.596113,-3.349528,3.1252444,-1.408087,1.9914746,0.27447084,-0.8420382,-4.922354,-1.9290506,-1.60435,3.3231008,-1.2696657,2.757987,5.445099,4.1292987,6.0075436,-0.97579217,5.9124546,0.9788609,0.90541726,1.7746305,2.807813,-3.0996795,-2.7440646,2.4387393,3.6899261,-1.5572252,4.1868687,-4.2277384,-2.25782,0.4154675,-0.9705386,3.1274607,-4.024908,0.06023631,2.429142,1.048901,0.7357661,-0.11735033,2.3347404,0.90210074
Kasumi-1,-1.6223365,-0.044300176,1.4042852,-0.035111252,1.912949,-0.7582756,-1.3041489,3.9527674,-0.3030847,2.5558481,-1.0496532,-1.6685641,-0.06394644,0.36456934,0.22836079,0.44346124,0.77474684,-0.22629763,1.795594,-2.6608691,2.850873,-1.313098,1.1661863,0.31295735,-1.4184526,-0.71471566,-0.7692104,-0.28379813,2.3247087,-0.085548565,-0.76969737,-0.015006578,1.0673001,0.49805868,0.8202896,-2.209992,0.7174307,0.6886436,-0.05775432,-1.1046443,1.5382842,0.785177,1.3889222,1.2196616,0.05094371,0.12184976,1.0013745,-0.1663161,0.20128332,-1.9762532,-1.1122897,-1.7563256,-1.214476,1.2523448,-0.18994361,2.1939983,0.1260891,0.25005087,-0.92713875,-1.25261,1.3216769,-1.6121594,1.5000772,-0.8624577,0.6589757,-0.34852666,-1.2459552,0.50142133,-0.26985696,-0.3594866,-0.26006147,0.16145475,0.23604336,-0.29838982,1.4692981,-1.905107,-0.59513146,-1.1988251,-2.1850235,-1.3178861,0.09645331,-1.2568289,3.2639773,0.8500243,0.15607473,1.2964628,-0.05033165,0.09507979,0.53173816,-1.6944537,0.80651605,-1.6982328,0.47678116,1.1420716,1.1730186,-0.65780497,1.4857175,-0.17271788,-0.986122,-0.8735217,-0.46451834,1.2067369,0.22775963,-1.927336,-0.771997
DoHH2,-8.348526,-8.351508,5.546234,-4.2851768,6.523597,7.096388,9.582432,7.2591405,7.160885,9.451371,4.7701178,3.5666528,-2.547562,10.821753,-2.6519227,-4.620655,3.9624984,5.639261,-2.6184154,-2.9891117,4.271738,10.679728,-0.7101134,8.324831,-0.46027768,-3.7401652,4.043014,2.9736052,1.4118254,4.998327,0.17817412,-8.963144,-2.4739757,4.3986363,-4.3235707,-12.309237,0.90529066,-4.95991,8.845303,-5.647768,3.715575,-5.085521,-1.4506372,5.8822646,-5.8849783,-11.0855665,1.8593855,3.2656577,-1.4456809,4.725732,1.6246853,-10.114952,1.8422185,3.535461,-18.542667,8.01133,9.456595,1.4378234,12.379336,-15.976352,-4.5317154,-0.8021192,1.1989144,0.14656572,9.874922,-10.92751,8.046672,-3.5118814,8.11364,4.984565,-3.009025,-9.8256645,-8.184532,-5.9635916,10.103569,-3.525311,4.79747,12.296393,8.332002,14.036753,-2.37952,12.330761,5.591871,7.1565,5.769696,9.274719,-7.30148,-6.051361,5.877671,11.278987,-0.8134688,10.599144,-8.840553,-7.6099167,-0.5045641,0.7152643,8.129784,-10.793691,-3.8675826,3.6205366,2.40218,4.6511874,0.60448074,3.1930401,-0.585059
CL-34,0.19213963,1.0360421,2.5191317,-5.2027807,6.5263247,-0.683786,-10.154431,12.885097,-3.3237681,5.049919,-6.983429,-7.9536,-1.7128046,-3.4692674,-1.237747,4.7787056,1.0179584,1.724757,7.459416,-8.572269,10.66467,-9.393175,6.8634996,-2.1067407,-4.3051715,-1.9140514,-2.3007138,0.56810266,8.148665,-5.050441,0.5646155,4.2565165,5.2170796,-0.2406366,2.0801878,-1.0438145,0.31774083,6.677299,-5.3144493,-1.5898719,6.1940584,2.0013645,6.9197106,3.274838,1.1393903,7.3067307,5.013608,-7.578457,3.906922,-8.3168125,-6.246772,-4.214005,-8.859977,0.8727644,8.472862,4.119473,-0.32718515,1.4195147,-6.2434893,2.3121622,5.8206377,-2.5191221,0.5494126,-0.49226382,-1.259087,4.001672,-10.0332575,1.9885567,-7.744218,-6.8142204,-0.0043959664,4.0790644,7.855456,0.9728918,0.04904324,-10.61489,0.013426027,-8.466663,-13.463739,-11.147637,-0.44016185,-8.995914,9.927286,-2.7533557,-4.5182543,0.109720014,-0.66980654,1.0638112,4.4176855,-13.064541,2.7941096,-12.785864,5.8954487,13.121868,8.005793,-4.383714,4.4993076,5.6739454,-0.3829477,-2.636486,-4.018183,1.3211755,-0.040277496,-8.78076,-1.7205827
VCaP,-0.4746724,1.0979999,3.233747,-3.6244094,6.2472205,-1.5021033,-9.230824,11.952288,-3.3720324,4.4667563,-6.4549313,-6.862843,-1.7269076,-2.6876466,-0.47311988,3.598806,1.5099298,0.38817295,7.2075925,-7.89038,9.68049,-8.644883,6.010304,-2.5339859,-3.6088448,-1.6978678,-2.6960356,-0.053100243,7.6932073,-4.398032,-0.9508912,3.269324,4.3397017,-0.6524784,1.8374707,-1.6943046,0.36570206,5.7076735,-4.779691,-1.7814171,5.6919556,2.636031,6.649689,3.2416542,0.54609054,6.4472065,4.352479,-6.3102937,3.138457,-7.9309483,-4.808079,-4.092046,-7.7601037,0.632913,7.17377,3.513437,-0.012343679,0.57591933,-5.3184304,1.6333607,6.004981,-2.8390458,0.7315849,-1.0479157,-1.1143781,3.5980613,-8.516889,2.173909,-6.749411,-5.428112,-0.0406452,4.8287873,6.1418896,0.98858273,0.11168437,-9.047019,-0.4632798,-7.7184534,-11.683737,-9.810073,0.19092962,-8.026814,8.936916,-2.1350834,-3.6989453,0.32419398,-0.19825122,1.4840909,3.1281972,-11.523578,3.229466,-11.141248,5.38985,10.8250475,7.623525,-3.137385,3.4683077,5.459497,-0.5652063,-2.5370035,-3.6871884,1.1696821,0.045138612,-7.466084,-1.2104322
GCIY,-0.10881726,1.3362781,0.42877156,-0.67943496,1.6874157,-1.1964738,-3.7516382,4.76185,-0.042780932,3.08174,-2.4278784,-3.3138433,1.1108887,-1.4867252,0.34091893,1.6655271,-0.6257733,-0.5906366,2.8031545,-2.0855744,3.4252627,-3.6602345,2.0596077,-0.68893427,-2.3307588,0.56907827,-0.3416484,1.1783457,3.7541618,-0.92656076,-0.5316231,2.1434662,1.676783,0.77643967,2.0240707,-0.7920726,1.2202256,1.5553876,-1.4321538,0.24303387,1.3485777,1.557025,2.6721947,0.026848283,1.5745959,2.4162996,0.8553954,-1.2622308,1.5182511,-3.5636928,-2.6584344,-0.7715236,-2.3492017,1.6082886,3.4099407,2.432806,-1.4704618,0.74563944,-3.4116812,1.1633803,2.4960363,-1.6825037,1.8754548,0.19918923,-0.5657202,1.7799307,-3.4952607,0.26213413,-1.1527352,-1.9517521,0.16951117,1.3210897,2.0802348,-0.262729,0.42217767,-2.751545,-1.4695716,-3.0450897,-4.9411106,-4.6146955,-0.5721942,-4.127236,3.9107478,-0.3136834,-1.3770131,0.5891263,-0.31545123,1.5768692,0.24828027,-4.4184675,1.0123746,-4.848483,2.978651,4.2454734,1.6869965,-0.9035969,0.6976156,1.40449,-0.49981186,-2.2653158,0.2814084,1.6456493,0.3344434,-4.3286843,-1.1415639
HuG1-N,0.46245763,1.5842463,0.070461534,-2.0234535,2.5168164,-1.0339371,-5.7250595,7.173813,-0.9561017,3.133327,-4.187652,-4.8083754,0.20537311,-2.1966124,0.09098442,2.8980207,-0.47201487,0.9272364,3.8950522,-4.135481,5.397984,-5.6310487,3.2775939,-0.98446655,-3.1437442,0.030699898,-1.081571,0.862681,5.2831464,-1.9601434,0.40020466,3.323675,3.0779862,0.77350366,2.2113461,-0.17016482,0.705654,3.1554716,-2.730119,0.20138626,3.0782282,1.0635281,3.3730378,0.59380627,1.6473532,4.207335,2.1351042,-3.4412513,2.7288418,-4.7359705,-4.5542045,-1.622953,-4.076049,1.2301387,5.1484084,2.7827015,-1.5280427,1.3975564,-4.8004246,2.2047646,3.394165,-1.9648811,1.6479882,0.18005113,-1.1394789,2.079314,-6.0731463,1.0028456,-3.3192534,-3.9076943,0.4545741,1.8797569,4.32057,0.40003923,-0.051717684,-5.531757,-0.65894336,-5.0251226,-7.8539295,-6.9621477,-0.4353345,-6.1602483,5.47827,-1.7101879,-2.522018,0.02711697,-0.15716042,1.0749533,1.7127881,-7.1851435,1.1095371,-7.472233,3.5820308,6.925355,3.1307995,-2.9547179,1.735817,2.9487972,-0.2148858,-2.685984,-1.0752095,1.547256,-0.084581405,-5.8532395,-1.3293024
NCI-H2126,-2.3819232,-5.369506,1.2911139,-5.30937,1.450442,9.257679,5.9728317,1.215479,7.64246,7.0296206,5.2005754,2.3173823,1.2255018,6.9930983,-0.7820171,-1.1086692,-0.7441814,2.120946,-4.6163163,3.2101226,-0.74825835,8.189321,-1.3119448,4.8834248,0.16686322,2.6876938,7.8373203,5.947327,1.1498547,3.903698,2.8117957,-4.2387543,-2.3085113,6.6747875,-4.333871,-4.1326175,0.01189144,-7.454394,4.789574,-0.73460835,-0.65228456,-4.013536,-2.5103903,-0.009090517,-0.85646176,-6.78087,-0.8845891,1.9873582,1.1512992,3.483388,-2.0481532,-4.035355,1.654906,4.4405518,-9.833334,7.741091,5.2500653,2.9142187,6.9026494,-8.798322,-3.059476,1.9136626,2.6279478,2.6934218,4.383394,-5.9575477,5.371082,-4.6011047,9.181213,2.6605957,-0.66786057,-7.0789337,-5.138289,-5.966961,6.7997856,-0.36851558,3.190846,8.674612,7.3912263,8.469852,-3.8325133,5.6030245,1.4566456,5.4198875,4.222425,5.6164384,-8.600167,-3.8202279,1.9869801,10.250882,-1.9795661,7.403104,-2.437083,-1.8246192,-2.7984548,2.5357997,0.72237766,-8.789292,-1.1169403,1.1035933,7.8846555,3.4725845,-0.34132493,-0.43340474,-0.35624054
SUP-T1,-6.3913393,-6.7486567,4.1239185,-3.7101095,4.9928594,6.0922575,7.9979444,5.4280066,5.9867897,7.379615,3.966998,3.187988,-2.0823698,8.744935,-2.1643202,-3.558907,3.045558,4.500711,-2.5862064,-1.5195415,2.7374878,8.998386,-0.7949392,6.4076247,-0.053084776,-2.4326065,3.80908,2.7886384,0.78872615,3.812149,0.5081384,-7.4429655,-2.2996166,3.7541745,-3.7075896,-9.525218,0.46372026,-4.315189,7.035343,-4.4115524,2.641041,-4.4715753,-1.5982527,4.473485,-4.765259,-8.926565,1.3160179,2.6621478,-0.95865613,4.347618,1.2136946,-7.942675,1.4769326,2.6994007,-15.128786,6.2757235,7.5405173,1.1952014,10.393635,-12.962316,-4.0489173,-0.11073682,0.94871914,-0.012530683,8.061311,-8.527318,6.6936064,-3.0974567,6.749409,4.0128846,-2.2265174,-8.0703745,-6.622416,-4.9092145,8.359055,-2.1897364,4.1173344,10.309554,7.4482055,11.674355,-1.9749814,10.083432,4.01057,5.7334547,4.686137,7.2735057,-6.342089,-5.0605164,4.669622,9.420881,-0.89177305,8.93152,-7.1827307,-6.07718,-0.52558726,0.84606296,6.0861855,-8.9756365,-2.791298,3.2639947,2.3365605,3.4704783,0.37274256,2.9419012,-0.09464728
