,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53
SCC-25,-2.0738552,1.5506582,-2.146578,0.04521952,3.9974139,0.3744163,2.1411805,1.6226339,-0.3019479,0.73705935,-0.49463347,-0.6910936,-0.89216876,1.9695346,-2.8934488,0.24935481,-0.72886705,-1.0605654,-4.241452,-1.1615269,3.1111128,-3.8288445,2.4116151,2.28537,-0.31644198,-2.3521655,-0.7960303,-1.0578938,-0.8886014,1.6948078,3.1445172,-0.6776025,-0.09305028,1.6088928,1.8242965,0.17300805,0.030942712,-0.36330768,-0.354564,2.1139493,0.16635355,-2.2174025,-2.2573035,0.2624488,-0.7907276,2.8298693,2.2286744,-0.39601454,2.1513467,-1.0098596,-3.4726338,-2.5885293,1.7624862,0.4334977
NCI-H2126,0.8188232,-0.31198657,0.9297151,0.03134203,-0.50951934,0.6828935,0.2765154,0.23360662,0.50062585,0.47996718,-0.94009733,-1.0290632,-0.13245367,0.98579705,-0.66643625,-1.2548505,1.7022282,-0.1263536,-0.39614457,0.06833644,-0.5196183,0.36543554,1.4344347,-0.21316572,0.37082678,-1.5149293,0.34614605,0.5126538,-0.036837876,0.20055678,0.5152066,-0.16897553,0.7764716,-0.009797208,-0.48888227,-0.26256868,-1.945532,0.88979,-0.6040257,-0.6149231,-0.5555094,0.27293345,0.9355586,0.3753608,-1.9247514,-1.9647532,0.41740444,-1.5895702,-0.1034473,-0.27592224,-0.45461234,-0.91673917,-0.028559476,0.7861367
SW1783,1.1088563,-0.39407563,0.44969383,-0.48262727,-0.8744805,0.2063334,-0.9225667,-0.16943406,0.235355,0.11577615,-1.3608778,0.011198504,1.0273539,-0.11439791,0.42730254,0.03131172,1.4087577,0.25628075,0.4099468,0.4452889,-0.2816194,1.1045071,1.2199863,0.40289578,0.480794,-0.58576316,0.08419579,0.8487264,0.06690837,0.22116274,0.12533996,-0.11151931,0.017760439,-0.5434916,0.042670548,-0.99043417,-1.2405299,0.10237315,-0.66003233,-0.84033525,-0.43179634,-0.11020428,0.92793244,0.56313604,-1.1200862,-1.6917366,0.7399622,-1.0088726,-0.0026141573,-0.30135778,0.370415,-0.34367356,0.061180558,0.19444343
T.T,-1.3291024,0.8512958,6.0308757,-1.505602,4.743157,-3.1135645,4.028271,-3.680452,-3.714133,-2.847332,-2.4877186,3.5640726,-0.50297594,-4.9512434,4.5837703,-2.253813,0.98364633,-0.43307722,-5.0764003,-3.4135182,2.5967114,-4.3153768,-1.3237389,-0.5272144,1.2830902,-0.2421359,-2.1467085,-3.1743307,0.52208906,0.7837664,2.1324892,-0.5755443,5.7999897,-0.49426484,-0.8333722,2.6351156,0.9077768,0.5318396,-4.0219965,-0.72277796,0.7825344,-3.231909,0.26766694,0.8873115,3.3123863,5.128777,8.181982,1.063563,2.2866015,-1.3087543,0.50777227,-4.3701735,2.8330514,0.37701118
LoVo,-2.9271235,-0.087561086,0.67544734,0.36543995,-0.47843954,2.8515177,0.5116816,0.9178157,-1.4812131,-2.046402,-0.7540088,-0.94261855,0.3568383,-1.3687937,0.30231202,-2.4905353,-0.7724359,-0.99953496,-1.4783124,-2.7471645,0.047717355,-1.5330646,1.6779975,-0.84686965,1.4477185,-0.814914,-0.055136457,-0.57540774,-2.3348887,-0.8062604,3.558057,2.4291587,0.7199418,0.21509007,-1.1863718,0.9137624,2.1331825,0.30948332,0.99655735,-2.7335994,-0.96950716,1.7092273,-1.0020145,0.23837504,-1.0843145,-0.7071061,1.641804,1.584261,1.2406038,-1.1019876,-0.28200895,-1.036029,0.8054179,-0.23432082
JK-1,1.0116707,-0.281956,0.3463135,-0.33797958,-0.82621783,0.23480076,-0.7358165,-0.12757297,0.2839033,0.9751278,-1.3949068,-0.06759448,0.90369636,0.46774474,0.15265815,0.120198816,1.4456729,0.10737859,0.4688297,0.72884953,-0.017242543,1.0725794,1.3041749,0.25220317,0.524492,-0.64231646,0.15697151,0.6220626,0.16375259,0.20595156,0.19485892,0.6098963,0.05633732,-0.6087526,0.08313665,-0.34714156,-1.3874153,0.06986863,-0.63300395,-0.8677701,-0.4897689,0.04338692,0.9149818,0.50253165,-0.9717786,-1.7954559,0.809736,-0.9466089,0.024937663,-0.3318208,0.17982866,-0.25121093,-0.017101167,0.03823924
A101D,0.981006,-0.66134834,0.43568343,-0.347792,-0.8267203,0.22766161,-0.76274693,-0.13113624,0.091722496,0.62496173,-1.3416133,0.014231552,1.0087552,0.08161642,0.42543375,0.2948807,1.3498226,0.109164044,0.28295597,0.8363105,-0.09187415,1.0933064,1.2948617,0.24422482,0.47667843,-0.5303537,0.25200412,0.78089595,0.22494632,0.31408688,0.15930487,0.37031144,-0.05497895,-0.53963244,0.092324495,-0.19676693,-1.0284302,0.083676256,-0.53180987,-0.9053354,-0.484119,-0.3417358,0.93387604,0.49139798,-0.99128217,-1.8705521,0.41810587,-0.89193875,0.03805057,-0.27847928,0.2699463,0.021742195,0.0061589098,0.051971667
SNU-175,1.0172776,0.002716869,0.2303883,-0.38612798,-0.7498228,0.2862358,-0.9333269,-0.087698594,0.4699074,0.19370022,-1.3176357,0.02688091,0.96572393,0.07627678,0.28635287,0.07920083,1.4380633,0.12437821,0.020077825,0.4586478,0.010749347,0.96833163,1.2268345,0.40096855,0.40794012,-0.47898555,0.58841556,0.61049867,-0.42943555,0.34827554,0.17460805,0.3503918,0.0017488403,-0.57017386,-0.04041104,0.65404284,-1.2363563,-0.07143152,-0.5951259,-0.7399349,-0.45904988,-0.0009296015,0.77692634,0.56192094,-1.0648785,-1.6913786,0.607332,-0.8492205,-0.0016134307,-0.3446421,0.23794615,-0.37898445,0.049400166,-0.0076927003
NCI-H1793,-0.60573274,1.5104735,-0.02314359,0.44415146,0.9855699,0.9112832,2.3774111,-0.3109662,0.8088764,-1.6324635,0.15189141,-0.019738812,0.5403429,-0.22894582,0.24389651,1.8401287,-2.2987,-0.7885294,-2.023509,-0.77537477,0.8538571,-1.1842546,-3.3144224,-1.0950723,1.0829816,1.6336457,0.7104514,-1.2962382,1.8798747,-2.175394,-0.5396366,0.81125563,-1.088465,0.2614568,1.2933599,0.7974218,2.5797093,-1.1237909,0.6187284,0.94675386,1.0312926,-0.3445585,-1.3181665,-0.38782203,-0.212473,3.114993,-2.4570155,2.8695385,-1.0827245,-0.016752476,-2.212107,-0.3366208,0.233185,0.20038053
NCI-H322,2.5717692,0.058969676,-0.91861016,0.8435914,1.089225,-1.6636075,0.99763155,0.30111513,0.6078804,1.6571462,0.12428273,1.8279301,-0.67106885,1.3016379,-2.613462,-2.3109531,4.4102845,0.5190148,1.2695158,-0.25456098,0.9860341,-3.521261,0.5262289,-1.4105527,0.20073348,-1.887264,1.2475425,-1.2804531,2.8385918,2.1142223,-2.3661816,-0.06695223,1.5881121,0.91107917,0.8955356,1.550949,-1.0366169,-0.576875,-1.442952,2.2363787,-0.7677465,-3.0674431,-0.6685023,0.71570635,0.4760723,-2.206129,1.2596058,1.5722765,0.3614151,-2.208097,-3.9628994,-2.9258728,-0.18771085,-1.8388877
SNU-1076,-0.72567976,-1.3615388,-0.05239244,-0.89409596,-0.47086734,-1.2566744,0.52268225,-1.0332643,-0.26493648,0.31436858,1.1130828,-1.0496534,-1.1681669,-2.4913108,1.7467672,2.1543422,-3.9500456,0.092022955,-1.887506,0.15368555,-2.004689,1.0146083,-1.2822615,0.5146381,1.1557074,2.6438754,-0.50487685,-0.060135048,-0.8948452,-1.6538628,-0.82137793,0.058161885,2.3704374,-0.9929587,0.6763289,-0.22949895,1.183505,2.3908026,2.3032875,-1.1893982,1.1036799,1.6957427,-0.9319814,-2.0647485,0.8884995,1.8763502,-2.0159333,0.6626997,0.9601379,2.9026873,1.9272789,0.16949895,-0.20889848,1.015785
