,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53
PLC/PRF/5,-1.3247392,1.4752469,-1.1855596,0.35777682,1.0249355,0.47501302,-1.3596448,0.4986196,-0.6128533,-0.17580067,-0.5170607,1.9557849,0.6938901,0.5542709,0.70793635,-0.030710727,-0.82202935,0.7281958,-0.08951938,0.3136036,1.3666594,0.12804094,-1.0572932,0.60536385,-0.07235505,-0.97855866,-0.2431852,-0.14715391,-1.4886695,1.4132477,0.5912618,-0.021632472,-0.46048063,-0.7239237,-0.2403939,0.90272695,-1.4805572,-0.7867713,1.3173561,1.504312,0.49606538,-1.9151853,-0.35221896,-0.1111879,-0.03919726,0.9749185,1.2586383,-1.7696923,0.23719418,-0.7775429,0.029286303,0.028945342,-1.1201152,-0.62278634
HEC-151,0.7919546,-0.34842128,0.50739264,-0.46004236,-0.7564797,0.33721447,-0.79369074,-0.12924173,0.38892546,-0.018335365,-1.1505538,0.063573465,1.0178338,0.3286732,0.6624516,-0.07685937,0.9643003,0.27050114,0.52747285,0.37808013,-0.019910648,0.946145,1.1564182,0.3840176,0.43611738,-0.1450669,0.40781152,0.5444335,0.1941212,0.21941951,0.26571688,0.3341778,-0.010129832,-0.5236531,0.24718088,1.1567975,-1.0700316,-0.03717956,-0.4006319,-0.73531735,-0.40303823,0.30687562,0.71218497,0.5926405,-1.1953981,-1.557857,0.76225805,-0.82207143,0.06934425,-0.37353614,0.31895733,-0.31313777,0.069753036,0.039559957
SK-N-SH,-0.22240981,-0.30038556,0.21566573,-0.15847515,-0.850729,1.351588,-0.58942646,0.91340405,0.82025474,-0.8851201,-1.0065873,-0.5009805,0.91255605,0.88978595,0.010864437,0.18787383,0.10713898,-0.072565965,0.3951635,0.30202746,0.8000695,-0.26893166,1.7536088,1.437747,0.5458976,-0.5136702,0.60745734,0.010816023,0.70755124,0.07328376,1.0672159,0.06924221,-1.3788983,0.07198397,-0.022362377,0.76452285,0.7817533,-0.24477902,-0.22184849,-0.94546777,-0.6350008,0.77812237,1.1011944,1.0919399,-0.43900353,-1.4307842,0.43807906,-0.7228661,0.13468948,-0.50929296,-0.58413064,-0.3551097,0.010988834,-0.95142066
NCI-H28,1.1456548,-0.29759178,0.34633216,-0.47658437,-0.9106349,0.19859949,-0.26415026,-0.18044682,0.28489918,0.16279738,-1.3057032,0.0009863223,1.1114165,0.19207993,0.45706037,0.34214616,1.4587966,0.25929275,0.85338473,0.5929243,-0.19860914,1.1281099,1.2527388,0.43814483,0.49061677,-0.78179973,0.7084128,0.8506969,-0.45355994,0.26400164,0.11118726,-0.18693407,0.06698312,-0.5829619,-0.10626739,0.45928174,-1.3146462,-0.01889553,-0.69418335,-0.8521326,-0.36633086,-0.2073887,0.9650457,0.5616415,-1.0998,-1.7668349,0.47390568,-0.7989666,-0.0060853604,-0.29046413,0.27684063,-0.41981494,0.04503718,0.15223928
HCC-56,-0.95785445,1.5679913,-0.23674473,-0.6978422,0.8685079,0.4778184,-0.27066183,0.3160391,0.23531073,-3.2177365,0.70861083,-0.78317827,-0.23980305,0.09478926,0.43097135,-0.26982075,-1.924908,0.9416747,-0.28977624,0.3004077,-1.6535664,-0.32845417,-1.7737625,0.4460565,-2.1303518,0.4397874,1.2964767,2.0486114,-1.7639207,0.07899266,1.2482243,0.607896,-2.1390238,0.22111969,-0.23910749,-2.418879,-0.048209593,-0.06897543,0.39914444,2.6707659,2.9733152,-0.6398767,-2.0147758,0.9171067,-0.034453817,2.924204,-0.14951856,-0.16077256,-1.8416643,0.23549572,0.84305006,1.5731146,0.035363786,0.039228212
AM-38,-2.4313943,0.58740854,-0.0007548928,0.79815924,-0.102090925,1.1719134,0.26741183,0.6718807,-0.5168372,-0.8253339,-0.18064387,1.4096433,0.153807,0.9671926,1.9946697,2.194349,-3.4499736,-0.018287525,-1.8231075,-1.1775565,2.905788,-0.78348845,-1.42177,1.0645262,0.3468412,0.2916828,-1.1355382,-1.2440859,-1.0064082,-0.8939861,0.66916317,-0.76918495,-0.8170384,-1.9854653,-0.54568017,1.2559897,0.49660993,-1.74798,1.4132195,-0.07790359,-0.85646474,-1.0336379,0.43860954,0.06588358,-0.7641141,2.3465667,1.6556036,0.31446993,0.9504053,-0.9505206,-0.15499015,-0.80074847,-0.41304958,-0.6214952
Hs 751.T,0.8893314,-0.11981839,0.27826813,-0.4159701,-0.7771707,0.39386106,-0.37173936,-0.13661537,0.45950806,0.29538178,-1.0778308,0.026101733,0.84335566,0.008387879,0.27777615,0.06656734,1.2020293,0.19339299,0.17929491,0.61641634,-0.13634862,0.96638626,1.1342653,0.41696876,0.43768728,-0.45369086,0.40435416,0.46741116,0.44358754,0.2406688,0.16226466,0.3071586,-0.10751224,-0.42849246,0.11839008,0.2434989,-1.1699138,0.062654674,-0.50316185,-0.7770064,-0.40488142,-0.0009586476,0.8771139,0.47964728,-1.0301683,-1.6219981,0.79575515,-1.3412545,-0.0036285215,-0.31905577,0.27658206,-0.24377596,0.05838619,0.11000328
MDA-MB-415,-2.750172,0.06124723,-0.3355052,1.7206466,1.2770265,2.7299588,0.9525749,-1.1627102,0.12731865,-0.81183994,0.6083198,-0.6223695,-0.630252,2.4653602,-0.63169134,1.4700091,-2.0238976,-0.570691,-1.3104692,-1.2907034,0.95794934,-0.89578724,-1.5281655,-0.08513208,-0.84307677,0.77306795,-1.7416064,-0.999243,-2.876562,-1.6543386,1.1254605,-1.1598033,-2.4577613,1.0835693,0.27973932,-0.7254572,1.8163236,-1.0104859,0.76110065,0.16048332,-0.080498755,-1.1997144,-0.14510663,-0.19885358,-2.1237218,2.2701213,-1.0720032,1.306318,-1.7731539,-0.0056605935,-1.2424065,0.18950783,1.2284702,-0.48541844
ML-1 [Human thyroid carcinoma],0.15429074,-0.3262409,1.3845283,-0.30838835,-0.666017,0.18726452,0.07051001,-0.43278012,-0.13629366,-0.19208169,-0.7029232,-1.1428044,1.0507019,-1.0585926,0.7913821,-0.7910926,2.0165827,-0.6395893,0.25407392,-0.9228785,-0.6534629,1.3175141,1.1701807,-0.040238813,0.2690693,0.64230275,1.5282066,1.0950593,0.43922064,0.26128054,0.39581135,1.6087954,0.3768155,0.45192158,-0.17955916,0.69670695,0.6150782,0.35639137,-1.2019825,-1.9184994,-0.81726867,2.2070627,0.6405774,0.83859307,0.40938994,-2.4922967,0.7097178,0.35391447,-0.8784231,0.98880655,0.7863255,-0.6199481,0.2241943,-0.22194716
Hs 729.T,1.2768332,-1.9181693,-1.1619359,-1.1591527,-1.7318506,0.8349025,-2.4593384,-0.23588032,1.0503917,0.70787597,1.673786,2.3735328,-1.7537011,3.7580757,-0.51292956,0.8277385,-1.5134425,2.6056173,0.6373828,1.2857475,-0.9350386,-1.0061623,-1.104901,-0.33413744,-1.3057402,-0.5092935,-0.7308902,1.233047,-3.3534439,-0.55073404,-2.1466777,-0.9049923,0.019428872,-2.7400107,-1.1301875,-1.2317141,-4.3385344,-1.0223289,0.6126564,1.6314749,-1.5237148,-2.8066728,-0.25504252,0.09999768,-3.5292149,-0.35338527,1.2797626,-1.5231061,1.0125813,-1.8257787,1.4405202,0.67822576,0.83739793,-0.3073499
SW1271,-0.27779624,0.15858,-0.30332798,1.6794448,-0.6492968,-0.036759377,-0.2526346,0.37723154,-1.4599721,-0.43443415,-2.5552392,1.2764641,1.7567432,-1.7491118,2.7629747,1.0934539,-0.8682967,-0.25642684,0.6802774,1.4708191,2.411795,0.7967857,0.33287355,-0.21043435,2.9485064,0.23310043,-1.8472259,-2.9861417,1.2803836,-0.27654636,-0.81267,-1.0197302,-2.167963,-1.1321518,1.1553487,2.0157158,3.2019892,-0.8677156,2.5828505,-1.4575547,-0.3757423,-2.3349397,2.012607,-0.65754086,0.32498923,0.13874173,-1.1633627,0.6115601,-0.03864842,-1.4675575,-1.5728124,0.27271613,-1.480253,-0.56006086
MOG-G-CCM,-1.8610034,-2.9481497,2.9376745,1.1362102,-0.78720224,1.4668857,-1.3842698,-2.378977,-0.44488257,2.268554,2.9765034,1.0305284,-3.3122733,3.9656713,-0.41707054,-2.2467544,0.86847806,0.08549909,-0.21309239,-4.1762795,-1.2482775,-1.366179,-1.3420541,-2.214671,-1.9973152,1.8968562,-3.458291,1.3735864,-3.314864,-0.37025505,-2.6984923,-0.86883056,2.2861457,0.66874254,-2.196539,-0.4048835,-2.786562,-1.2847115,-0.71900755,-0.95483094,-4.6210256,0.3029994,0.6403035,0.78416383,-0.8971323,-3.712533,1.0072554,-0.21681632,-0.6027621,1.5195508,2.4239635,-1.1104367,1.864689,0.9912977
HuH-1,-0.7343469,1.0280772,0.71611214,0.7634112,0.75361836,-0.26225984,1.1398443,0.9849143,1.602534,-0.3015882,0.4339865,-1.9369181,-0.5880631,0.93806094,0.124708235,-1.3582745,-1.3989851,0.11641821,-0.98602355,-1.3652683,0.4445406,-1.2904063,-0.5869842,0.6273108,-0.64951515,0.16533428,0.6514336,-0.6127603,1.1758467,-0.031984046,-0.89497733,-0.049254138,-1.7059413,0.70868117,-0.71513206,0.74232155,1.040923,-0.23112276,0.86698186,2.0431094,-0.29752484,0.7861809,0.3683249,-0.18197943,0.6599345,0.75336075,-2.3868034,-0.17793316,-0.77428436,0.7459471,-1.2768061,0.5319504,-1.2214901,1.3067559
Hs 683,0.9671887,-0.3004077,0.3646866,-0.32393178,-0.8145195,0.21074088,-0.79261625,-0.14947802,0.3081357,0.78541297,-1.5329586,-0.019931177,0.88304764,-0.2893548,0.48296952,0.21059223,1.4722363,0.026962772,0.55415845,0.8466336,-0.011148309,1.0382831,1.3254262,0.48379958,0.51218694,-0.602216,0.27723727,0.43494627,0.26766038,0.30237332,0.17795216,0.23268719,0.06504793,-0.596527,0.15077111,0.7724386,-0.7538638,0.08548907,-0.5466,-0.88768834,-0.43947518,-0.18959972,0.9139047,0.43990752,-0.6660526,-1.8067861,0.4944805,-1.0957468,0.065487206,-0.28912485,0.234956,-0.25550336,-0.011392719,-0.046727832
NCI-H647,-2.1915445,1.537487,-1.0707152,0.34730884,1.2885242,3.1223285,0.48856646,-0.23218393,-0.69040275,-0.92691267,0.09441736,0.8137677,-0.34359005,0.3754565,-0.415702,-1.356351,-1.5554025,0.82971454,-1.6833909,-1.989802,-0.003173072,-1.3960407,-4.0057397,-3.1657279,0.29893488,-1.5299602,-1.8296812,0.4064765,-4.2861285,-1.0118318,1.9795494,2.3797982,-0.17253798,-1.2856629,-1.4749835,-0.013244577,-0.8081652,-1.4722134,0.40042636,0.7743119,0.8068284,-0.40780973,-1.3893627,-0.92550343,-2.9319372,4.5436506,0.4046133,1.2609878,0.16644365,-0.99951196,-0.99199545,1.0533377,0.29093227,2.013671
YD-38,1.0874772,-0.42097014,0.10192646,-0.27775812,-0.9279495,0.2714359,-0.90234977,0.011458838,0.13006431,0.67048824,-1.4756953,-0.08428453,0.9731956,-0.2541042,0.5445591,-0.1303607,1.5341381,-0.116748184,0.4818973,0.6878803,-0.13854252,1.1752933,1.290365,0.153642,0.56435245,-0.39430922,0.16385375,0.46776742,0.2608214,0.23133907,0.121227406,0.723436,0.108568564,-0.5412983,0.054173663,0.28400043,-1.243749,-0.049543157,-0.5760831,-0.815315,-0.52134687,-0.050655622,0.70802635,0.39041278,-0.70589304,-2.095948,0.28306186,-0.9243116,0.06657356,-0.32627705,0.29020378,-0.27339387,-0.07873571,0.11912596
COR-L47,-0.24878082,-1.0141839,-0.32241234,-0.51339424,-1.0331814,-0.045734327,-0.856763,0.42408773,-0.098975554,1.224246,0.5639973,-0.5079675,0.25641948,0.08026183,-0.41841623,-0.40151027,0.2677391,-0.08036862,-0.085870564,0.048347447,-0.54227984,0.5157436,1.5290717,0.32638603,-0.027338233,0.19091612,0.8421398,1.1843814,-0.6240418,0.107480526,-0.38774914,0.21155453,0.7360675,0.2830311,-0.4482442,0.575015,-0.9818447,0.24502282,0.69100034,-1.0493809,-1.7444842,1.4999248,-0.4064308,-0.9098873,0.35093254,-2.0127418,-0.13342486,-0.7204358,1.0773311,0.5526413,1.0388693,-0.38783592,0.15766834,-0.5179118
QGP-1,-2.7054842,0.8455583,2.1034708,2.0269587,-0.0532275,0.37438393,2.7796092,-0.37203354,-1.4469739,-1.909136,1.5969994,-1.1806973,-2.1971335,-2.1590452,-0.72344863,0.6632694,-3.2506812,-1.4275564,-3.760992,-1.4538188,0.17018293,-1.0921618,-4.680506,-1.5686626,-0.29748288,0.16106065,-1.4732393,-3.1184607,-0.9559525,-2.4140732,1.532643,-0.08601719,3.1546676,1.0595493,-2.681373,1.1208959,0.84922725,1.5509208,-0.6967621,-1.6709037,2.2344096,2.6710231,0.87292063,-2.0768156,2.702444,6.201433,0.5044159,2.735588,1.8291351,-0.24521388,1.5540032,-0.7887025,-0.08883801,1.1594338
8-MG-BA,-0.92698264,0.69740885,1.1786846,-0.7580922,-0.082941875,1.3250911,0.9887895,-0.89314955,1.2361107,-2.160926,0.71721977,0.88002026,0.49318475,0.96085984,1.1984595,1.1995193,-3.1704175,0.5026638,-1.3289088,-0.3534383,-0.06280423,-0.8538359,-2.745708,0.44290352,-0.4061844,0.7974662,0.5672401,0.0738637,-1.0724876,-1.4447265,-0.53804904,-0.014256027,-0.38336253,-0.5180451,-0.62061846,1.2270731,-0.039976913,-0.103048876,0.88900614,1.0945671,0.90650773,0.03128934,-0.1714873,-0.07850926,-1.4848508,2.2199092,-0.6733413,-0.14944811,-0.9575309,-0.3494844,-0.31849885,-0.33088905,0.1711498,-0.2835335
HT,1.6495525,-1.8534505,-0.12749714,0.012260377,-2.2627707,-0.18682328,-1.3956769,1.1055787,-0.16644895,1.5734775,-0.9841497,-1.0914596,-0.8427542,0.8715564,-0.695267,1.1752226,0.64979887,-0.45539957,1.0749053,0.672275,-1.1507145,0.9659925,2.3051276,0.037713435,0.3397892,0.28851965,-0.2643172,1.4118836,0.70295215,-0.21934745,-0.48232806,-0.40132987,-0.71141577,-1.2640839,0.17861849,-1.2241936,-0.7105224,-0.012226539,-0.14952198,-0.8053509,-1.4779636,0.49012685,1.3258889,0.65972096,-1.1979939,-3.1900601,-0.10754517,-0.88321483,0.4220943,0.026691612,0.8699855,1.0933747,-0.16971222,0.770006
Hs 578T,1.3835334,-0.31209975,-0.009924991,1.4797934,1.4035159,-0.27964565,-0.2892863,-2.870987,0.7378944,-0.903873,0.44604066,0.8053748,1.9871022,-1.2642771,2.6758761,1.713544,1.7597327,0.9959595,1.0611141,4.0764074,-2.014419,2.793175,-2.698957,-0.7067707,2.2460616,-0.7283147,0.63221717,-0.70158416,-1.3480841,-0.40815848,-1.9214948,-0.36599255,1.9947859,-0.8602727,-0.44841912,0.68956923,-3.052216,2.0980482,-0.825039,0.2619583,2.5032263,-2.3283868,3.2017636,-1.7038558,-0.5280084,0.6973634,-1.7104981,-1.4299432,-1.2003834,-1.4077761,-1.5170834,-1.1351949,-2.2203996,0.8763982
ST486,-3.3275619,0.4682755,0.14969946,1.6383475,0.9968575,1.1675597,-0.14590107,-0.6408471,-1.8471926,0.5111834,3.0310793,0.59412616,-1.7067658,1.0724491,-1.6861643,-0.20869872,-0.7304162,-0.36192358,0.013237597,-1.7414839,0.50829345,-0.28903013,-2.2186248,-0.63955945,-1.5720278,0.5791892,-1.6326883,0.03660795,-1.7271299,-0.38054478,0.77760947,-0.40805197,0.16718923,1.275208,-1.5748569,0.27785832,0.30471563,-0.3609677,0.5547509,0.039123885,-1.3243171,1.8387471,-1.0271711,-0.7457741,1.7685746,1.4036121,0.08913491,0.36125386,-0.037445843,1.4987167,1.9487149,1.0260594,-0.1963619,-1.1963311
HRT-18,1.0474613,-0.25663987,0.21656632,-0.3724476,-0.8670422,0.18879814,-1.151825,-0.15157783,0.14599204,0.35065183,-1.7374772,-0.008406758,0.96133196,0.38610414,0.19793102,0.2043686,1.4159083,0.008424208,0.5283454,0.6636421,-0.0895991,1.1256151,1.2809999,0.24987312,0.5142963,-0.36136398,0.32097417,0.6247331,0.7032153,0.31738797,0.15122749,0.12901096,0.040419236,-0.5503932,-0.31798643,0.6530802,-1.29539,-0.10255092,-0.6424521,-0.8659498,-0.4358996,-0.6105339,0.91721314,0.49788994,-1.1930914,-1.7453033,0.9112746,-0.99469197,0.038473852,-0.2978125,0.2765949,-0.53790575,0.010794315,-0.04272814
SNU-601,-2.5135708,4.0579405,-1.1240919,1.9209089,7.167113,-0.88981634,0.7577356,-1.7767587,3.33674,-0.077416,-1.0819033,-5.031398,1.4102967,-0.9801007,-0.99951345,1.8138838,0.112877406,-0.9298861,-6.194294,-0.40279824,1.9024074,0.22372428,-3.4027896,-0.23401375,0.45362929,4.511222,3.9457731,-0.7273389,2.3741438,-2.4482768,-0.43324134,0.95171195,-0.68527776,1.6032572,3.4294188,1.4246175,2.4885588,-2.1236835,-0.4542185,2.597046,2.4616659,-1.4292202,-3.260959,-0.84148693,3.0558524,5.068758,-6.4579906,2.6216452,-1.5830826,1.034871,-4.6696215,-1.9858239,-0.74063855,5.5886292
SW403,-1.4239447,1.5251365,-0.14095828,2.6593626,2.346351,-0.8410363,0.58352876,-0.04160485,-0.7282333,-0.18163404,0.8698621,-1.7732273,-1.8806595,-0.11793889,-1.6957479,-1.8961838,1.8657569,-0.06859548,0.582616,-0.5685096,1.1022218,-0.87667465,0.5467581,-1.1305137,-1.1662954,0.24113253,0.07071833,-1.9264417,0.3067687,0.046697922,1.0941348,-0.5324306,-0.98048073,1.7491395,0.007212924,0.4337095,1.9154341,-0.32096976,-0.35322022,0.1698654,0.054747973,0.014369663,-0.81684583,-0.49224934,3.1364725,0.87335634,-0.9592121,0.940276,-0.5730053,-0.5732374,-0.586113,0.37695694,-0.43535164,0.17737985
TE-10,2.0258987,-1.4422802,1.3332173,-2.1031404,-0.6888189,-0.29264277,-0.12950489,-2.4640732,3.0594077,-1.9686266,1.3847686,-0.82412,1.3354883,0.014914483,1.6848799,1.7128227,0.344002,1.8953407,0.9428575,1.9611948,-2.9348345,0.8887849,1.00148,1.808216,-0.561969,0.9269125,1.7872813,1.604761,-0.6359707,-1.3106837,-0.4940136,-1.1054634,0.35336226,0.570844,-0.74673414,-0.51882505,-0.55600893,1.6093607,-2.8569422,-1.3177195,1.0158616,0.84828657,2.2738287,0.72522664,-1.5879126,-0.24356338,0.03145531,-1.7639169,-0.3956502,-0.58874196,0.78134304,-0.15652573,1.6404693,-0.49487227
WSU-DLCL2,-0.5302055,-0.5063716,0.76321524,-1.7566016,1.7968931,-2.0644698,-0.44655246,-0.10858429,-0.004092768,1.0325469,-1.2520409,1.5697873,-0.97504514,-0.46781796,2.382127,-0.4356568,-1.6106018,1.094525,-1.9141334,-1.8058343,3.0156221,-3.3962424,1.0204071,1.6119534,-0.32536212,-0.04671809,-3.106197,-1.2321541,-0.02530472,1.4875913,0.52996176,-2.0465217,-0.6385044,-0.5837558,-0.071009666,1.1995502,1.7542374,-0.6898345,0.15870197,0.31114948,-0.45490924,-1.9004347,0.7798907,0.32403326,-0.06791793,2.4258652,2.5782192,-0.7247572,1.5831273,-0.51600534,-0.594595,0.076455005,1.8638818,0.065933235
UM-RC-2,0.97665215,-0.14563428,0.23852092,-0.43706056,-0.81524986,0.26538807,-1.0318959,-0.10917514,0.28144306,0.46033603,-1.2587311,0.04358295,0.9202295,0.12615804,0.082827985,-0.013645448,1.2145542,0.31989208,0.1915546,0.56902903,-0.12952235,0.9799802,1.176803,0.40771273,0.35635686,-0.32525438,0.21824645,0.5860947,-0.05653715,0.29205436,0.17477404,0.054960385,0.051755466,-0.5658044,0.011312589,0.1783502,-1.1567127,-0.043559507,-0.5533362,-0.7617674,-0.48376992,0.07791266,0.8016722,0.5519585,-0.9742473,-1.6078453,0.73453444,-1.0676807,0.011277778,-0.35026762,0.24877302,-0.3312338,0.06138355,0.061548255
59M,0.95947725,-0.29309046,0.26361662,-0.35112783,-0.7901305,0.22682919,-0.523817,-0.1005735,0.027732164,0.11326717,-1.074604,0.06811331,0.89227474,0.044538908,0.055008605,0.09531115,1.4566867,0.3974821,0.8502073,0.058273315,0.06575104,0.9724664,1.2465609,0.3770975,0.4165483,-0.59956753,0.3931675,0.5761589,0.30875015,0.38166717,0.18660215,0.5836036,0.098288015,-0.6249084,0.010038815,-0.26774597,-0.9393822,-0.011820734,-0.5580798,-0.80982083,-0.48122752,-0.34407088,0.7289968,0.51963633,-1.0549504,-1.755749,0.52073526,-0.6036408,0.054515198,-0.32839903,0.26033497,-0.4769363,-0.032042865,-0.0044983434
SK-LU-1,-2.416413,-1.0297015,-4.7553973,1.5731046,-0.41732162,1.7971668,0.32483432,1.3267139,-1.2298698,-1.313176,0.47734562,-1.7043798,-0.65816087,-0.6276684,-1.734281,5.483706,-2.5278916,-1.6942608,-1.8470079,2.2572448,1.2591558,-1.5237442,0.060436044,2.129487,-0.22837785,-0.8403363,-3.3145604,-1.5928402,-3.6145775,-2.9634123,3.7604218,-1.8737546,-5.9021263,0.8589378,2.899552,0.7996252,5.9966054,-1.4649627,-0.312105,-0.9059681,3.745694,-1.5538733,-1.3246791,-0.7895186,-0.63370544,7.4263806,0.053289562,6.840983,1.208632,0.13860294,-0.24130604,3.115616,2.7367775,-2.7021828
Karpas-299,0.27225927,-0.4439451,-0.75083053,0.59903145,-0.35070005,0.15289435,-0.33202446,0.18805832,-1.2791027,1.6513033,-2.0193949,-0.47855887,0.9860021,-0.8739817,0.3648142,-0.2632019,2.3523805,-0.4763186,1.1279328,0.49024612,1.2162287,1.3809109,2.1125169,0.10876639,1.3717352,-1.295338,-0.0140216835,0.03239683,-0.07642521,0.9738743,0.680131,1.0162259,0.06491484,-0.8182454,0.20977132,0.3838855,-0.79796827,-0.6374145,-0.036628567,-1.7787848,-0.7663628,0.5359521,0.8298876,-0.32291013,-0.2984638,-2.1407106,1.3773948,-0.66727984,0.4621017,0.09825827,-0.17643824,-0.27972662,-0.55268496,0.058975298
GMS-10,-1.6527388,-2.4855967,-1.4277498,0.4706667,0.4095441,1.5916194,-0.535963,-1.9096005,-0.66912365,2.440394,2.9613333,0.5227303,-1.0730101,1.5913789,-1.7020227,0.035573885,1.9212409,0.16353936,1.0556005,-2.3878675,-0.5256133,-0.75243247,0.96194196,-1.6633896,-0.008030511,2.1976357,0.31514353,1.7466402,-2.064297,-0.48533642,-1.0463215,0.37063712,2.3306894,0.0377089,-0.12088792,1.2868497,-2.103792,-0.8505223,0.26215458,-2.1642494,-4.334398,0.3865952,-2.0648458,-0.47107208,-0.4559536,-3.480896,0.9946695,2.2369123,0.5264392,0.71447235,0.54778165,-2.6983922,2.0137823,-1.6163247
HCC1500,1.2548212,-0.49101675,-0.059833102,0.08360026,-1.4509404,0.38443846,-1.1144061,0.15759388,-0.11267245,0.5005641,-1.7075173,-0.3806026,1.2224016,-0.46184182,-0.021410033,-0.61816293,1.595113,0.0055402517,0.36101863,0.48138946,-0.5739496,1.0088563,1.1717975,0.09830429,0.7132176,-0.63419753,-0.37694257,0.2740188,-0.36309975,0.035585247,-0.28593534,0.5306907,-0.4420421,-0.54168755,0.79321164,0.015607834,-1.0589589,-0.051992476,-0.34696734,-0.6124346,-0.7214301,-0.1250731,0.5869623,0.13494264,-0.8541167,-1.9858301,-0.15962437,-0.80434954,-0.13503121,-0.39412808,0.27977622,-0.6446638,-0.19619934,0.19825745
SK-MEL-5,-0.5427943,0.27912593,-0.8001341,-0.52442443,-1.1736355,-0.58222955,0.18965179,1.7446368,-1.147527,-0.34177935,0.9167161,0.82329816,0.6235229,-2.4136944,-1.409829,-0.06651935,-0.6114488,-0.60216045,1.0765053,0.8216232,-0.64274824,0.037237085,-1.6773752,-0.3774175,1.2409999,0.25453982,0.39700526,-0.587134,1.9796616,0.711618,-0.5603232,0.7494958,0.7768109,2.0748446,0.66648346,1.5374658,2.594177,0.8392152,1.2492031,-0.17362927,0.96452874,2.0079098,-0.81651586,-0.72208595,2.8515549,0.5877655,-1.6041837,1.4810679,0.92722857,1.2167664,0.1279781,0.8447498,-0.901125,-2.1995804
U-87MG ATCC,0.53612924,0.59821683,-0.484084,1.1438179,-0.25730792,-0.41732055,-1.8984185,0.2526028,-0.9000729,0.8004607,-1.6621408,-0.4629838,1.0181875,-0.9607196,0.4473082,-0.080504015,2.0791333,-0.25775653,1.7745358,1.409257,-0.1564451,2.5025682,1.8352075,0.37808722,0.79541963,-0.47785112,0.20286883,0.19731222,0.32483858,0.89748585,0.623664,0.7878772,-0.66196126,-0.7969428,0.8508089,-0.1210672,0.08949738,0.524858,-0.24977311,-0.96461815,0.7183427,-0.664536,0.8145435,0.38230413,1.4351768,-2.1604242,-0.47234935,-0.57710934,-0.2671823,0.64706266,0.368336,1.6559517,-1.3992779,0.09149051
HuG1-N,-0.7125015,-0.17330672,-0.92891353,2.5723195,3.00419,-2.0244727,0.35285133,-1.3625135,1.34042,-0.83600134,2.6574285,-4.6503057,-0.8082669,0.18894777,-0.80464214,1.4271809,1.5416571,0.79248196,-0.933715,3.4528604,-0.5134693,0.24754418,3.0405526,2.7673223,-0.6654287,0.048227895,2.8363936,-0.10990393,-0.56609607,-0.39138126,0.8865553,-1.4965283,0.82755315,1.8180715,0.5200382,0.40591085,0.32565963,2.2023177,-1.8924451,-0.7556077,2.538078,-0.33588696,0.39166465,-0.957097,4.165492,1.6834784,-1.6958597,-0.4697449,0.97135544,-0.58489937,-1.356562,-0.93318176,-0.3501829,0.1768434
KYM-1,0.9188151,-0.34645617,0.27064392,-0.35991237,-0.79905415,0.2983981,-0.5343419,-0.1310564,0.47236112,0.6020971,-1.090617,0.01180907,0.837636,0.34013954,0.4091904,0.14694658,1.2245129,0.1650112,0.548654,0.52538586,0.00464401,0.94653076,1.1877592,0.22937755,0.43565753,-0.29013312,0.21973804,0.68944246,0.0049884617,0.36960784,0.15028167,0.67328095,0.055337504,-0.5387876,-0.08079128,-0.5717729,-1.1321317,-0.15525779,-0.540319,-0.78361726,-0.49938497,0.19845018,0.90366423,0.48819265,-1.000633,-1.6928878,0.8495333,-0.97780484,0.05376466,-0.35147932,0.2537636,-0.5645766,0.01098945,-0.14459138
Panc 04.03,-1.5006149,2.3313434,-0.94474185,0.83188546,2.2883234,-0.76141495,-0.40623933,1.6245935,-0.5492012,0.23292938,0.06886289,-0.7184118,-0.8572218,0.23521625,-2.0044537,-2.2791913,0.7821027,0.0562229,-0.26749423,-0.027576655,1.767008,-1.1095959,0.45538345,-0.099054806,-1.3138627,-0.20838931,0.6665572,-0.79036963,0.5563171,1.0304865,1.2889497,0.04877185,-0.9791431,1.727885,0.72642,0.62292135,0.5231321,-1.0103399,0.97075856,1.8407831,-0.1720757,-0.31023264,-2.2166486,0.013565678,2.298765,0.73365885,-0.4499631,-0.6139706,0.5000198,-0.55940425,-0.5386865,0.23369302,-0.73419946,0.10503911
Hs 739.T,0.9775139,-0.4374729,0.10467276,-0.15872687,-0.9488257,0.23142932,-0.5603906,0.011320049,0.20648254,0.762947,-1.0351816,-0.16414948,0.9940237,-0.2575884,0.17378551,0.17822008,1.3886404,0.27071428,0.6342424,0.54682726,-0.012765942,1.0401015,1.3254033,0.31713212,0.43283594,-0.45734364,0.437038,0.5659917,0.19084343,0.124872446,0.14340974,0.7566892,0.019712701,-0.69420177,0.30939585,0.6866148,-1.4241136,-0.008317037,-0.47049233,-0.84704757,-0.59795547,0.21590209,0.7704122,0.38975772,-0.94334036,-1.7231041,0.5790786,-0.8781664,0.14561987,-0.3813012,0.30508295,-0.5073502,-0.066960745,0.16645434
