,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94
NCI-H929,-3.875739,0.40387908,0.54492855,3.4201512,-0.61191785,-0.11105817,-0.7959906,0.4334117,-1.6011744,3.7139242,2.2767754,-4.4958916,3.1180565,2.8649402,0.70836204,3.7311814,0.32196847,-2.055888,0.04055722,-2.5280414,-0.7171358,3.4306972,3.122221,0.62385154,-2.2233462,1.4708652,1.4546802,-2.052454,2.19302,1.8479108,-1.8900747,0.05336287,-4.407262,4.107939,-2.0612094,0.55854326,0.84513205,-0.45586008,-2.2288392,0.13649543,-0.6370547,-5.524348,-1.5974422,1.032683,-1.199888,0.5144483,0.10362265,-0.52105653,0.039791435,1.103609,1.5642464,1.2296848,-1.1114354,-0.716723,1.6546919,-2.6459267,1.5089785,-2.2039902,2.271089,0.5618122,1.0905588,-2.3562384,0.44031894,-2.172757,-2.5341158,0.9498103,-0.89524716,0.89770925,-2.441174,2.2874207,0.39838263,2.38008,2.3078263,0.3443916,0.17710692,0.03586112,1.3311632,-4.0704274,2.639861,-1.557406,-0.2577692,-1.2962044,1.6085912,2.9956102,3.9494095,-0.67514735,-2.9128914,0.41467375,1.0986698,-1.522852,2.6850243,-1.1973869,3.1343527,2.6447515,-4.594766
HEC-59,2.777501,-1.5822039,-0.97886646,-2.375074,0.50122863,-0.52818096,-0.22449118,1.9158841,-0.46101257,-3.806606,0.49113274,2.8067107,2.2518618,0.36828226,-1.0439526,-2.4592211,-0.19591051,2.6908464,0.74223816,-0.49264485,1.1665306,-0.1649532,-1.8434751,-3.2090402,-0.23729786,-0.66098547,-2.965965,-0.042229645,-2.409898,-1.7221847,2.2574725,-4.6264186,1.9570706,1.7459718,-0.4552324,-1.3546352,-2.6185179,0.29385102,2.918412,2.2648427,-2.0477276,3.6035576,2.1053421,0.94710004,1.4829582,-0.7795104,-0.75069827,-0.86419046,1.2948096,1.2322315,-2.2897637,0.0697369,0.030537464,-1.203635,0.67797303,-0.73606735,-1.2603972,-2.2784944,-3.529804,0.75275487,-0.4036121,0.007316366,0.08752775,-1.9979366,-1.6187842,-1.5345385,-2.6937227,-0.34235942,3.8601959,-1.3709315,-3.9421244,-3.728814,1.4623132,-1.8488319,-1.0044092,2.2025342,0.89387554,0.2942832,1.3635108,-1.2078105,0.8111915,-0.57499135,3.8512247,3.4074776,-2.0894146,2.137647,0.3549207,-2.1113622,1.6049193,0.29639518,-0.4176982,0.28938645,0.5027396,-2.5607872,3.9041939
F-36P,0.32748967,1.5152618,1.4244151,-0.7749005,-0.50744784,-0.14581431,0.6692009,-0.57597107,-1.1136191,1.6537505,-0.8935009,0.1753298,-0.29453826,0.54615724,-0.41119146,0.4541581,1.0447869,-1.9256035,0.5843789,0.4805353,0.7412588,1.3584821,0.784944,1.1155887,1.0885106,0.31662637,1.8200016,-0.6215176,0.24130037,-0.36237547,-0.08302805,3.2296414,-1.3918717,-2.1130865,-1.2713932,3.369783,1.7005787,-2.311354,-2.9925964,-0.9262307,1.2849143,-0.45879638,-1.6064864,-1.3180256,-0.076101944,0.94617033,0.21723393,0.7652997,-2.248055,-0.11242992,0.8119748,-1.981422,1.1267798,-0.085020624,-1.6305344,1.0187068,0.8921368,-0.9606153,1.7777226,0.8826468,-0.29972386,-0.21660298,-1.1790388,1.9373902,1.653487,1.4335693,0.69499123,0.8516951,-2.7177339,1.5833703,1.9285803,-0.49542138,-0.61809134,1.7913111,1.7073588,-0.7799159,1.0407715,1.4152732,-1.6633621,0.22128993,0.3400896,-2.0859354,-1.8842143,-0.32234088,0.88211036,-0.8116305,0.2270423,2.7668896,0.0566231,0.507107,0.20578045,-0.8102282,-0.26930773,0.07869056,-2.1011775
Caov-3,-1.3911077,-0.72742766,-3.006296,1.7305717,-0.8909323,-0.28173056,1.2475233,0.15612492,-0.375205,0.9568407,0.7977854,-0.6462697,-0.7066771,-0.71246576,-0.62040806,-1.1046789,-0.2329879,-1.4922788,-1.0353229,1.2659937,-1.7864274,0.8481834,-0.57579917,2.0740056,-0.7029753,-1.573902,0.188127,1.5277102,1.3924017,0.3983462,-0.18948635,0.38742945,2.47703,-4.3909597,-0.1514462,-0.63883615,-0.28622934,1.9238666,0.9107225,1.5792613,1.8304882,-0.78820425,-0.53208673,2.8575208,-0.7636857,0.51388395,-3.0323145,0.002910152,-0.13594392,0.5675998,-0.73063236,0.81810814,-0.15311949,-2.8691483,0.05084002,-1.1608281,-2.3447676,-0.072141886,2.3197784,-1.7618409,-0.6490908,1.0810405,1.9018521,3.389392,1.733998,0.9490518,-1.7898111,-0.6251852,-0.78463966,1.3721614,2.9587102,-1.4332321,1.5929642,0.15924667,-0.31287086,1.7317417,0.8255982,0.08843283,-4.2106214,0.69065446,0.5019899,-1.0420512,-2.2402453,-2.0222359,1.9927365,-1.3925135,0.36225286,-0.08144235,-0.15803555,0.53845954,-1.1171137,-0.83508694,0.42186314,1.0029868,1.2533635
CAS-1,1.5706139,1.6336117,-3.6304166,-0.4626831,1.8957636,4.917633,0.70951813,1.0731574,-0.4891953,-2.6424747,0.59047246,1.4351658,-1.3083354,1.8039573,-2.1636438,-3.8121233,-3.4927473,0.48052427,5.0072336,2.59244,2.7793279,-3.4757607,-1.8406113,-0.7412995,2.6501598,1.1661795,-0.9053826,-1.2034988,-3.2522984,-0.06111666,1.144093,-3.0534406,-0.81335807,-1.3920981,2.1583986,-1.4609438,1.2572592,0.7254581,0.009798359,0.73343,-2.4351707,-0.29119745,5.105952,-0.34577492,1.1708317,-1.6109091,0.00879078,0.73433375,-1.1306801,-2.2078276,-2.9393113,-0.08141618,0.91865176,3.804226,2.1076927,1.2053745,1.7562228,-0.96341264,-2.6337767,3.3978295,-2.7333841,-0.13756895,-0.82875574,1.1692152,-0.042517267,-1.4913163,-0.947091,-0.91204536,-0.31267637,-1.5136386,-5.3413277,-0.05867658,-1.8498642,-2.1662602,-0.5924769,0.38174796,-0.24921179,0.46738347,3.7300005,-0.41712832,1.1247159,-1.456342,1.7622461,-2.3187203,-2.9168558,-2.2424085,-3.8527968,1.8159286,0.6537176,0.85000926,1.2172996,0.608123,1.8478194,3.4236488,0.86304754
TUHR10TKB,-0.123591155,-0.46117815,0.25562015,0.1168094,0.40765166,-0.8608078,0.65690345,0.41803825,-0.55546546,0.51160955,-0.062163353,-1.2179731,0.15316097,0.07832565,0.16092242,0.85776824,1.8875785,-0.95098674,-1.0109046,-1.1358223,-1.042686,0.93757236,0.44039792,1.9036052,-0.89208454,0.32211837,0.6034038,0.2546908,0.6601404,-0.021204844,-0.47038344,0.37851062,0.28538224,0.5640341,0.17779331,0.2703125,0.060511738,-0.43372756,0.18360405,0.6867118,1.117997,-0.25003275,-1.4838487,0.25896218,-0.35235137,0.032367498,-0.36970606,0.6461009,0.108277716,0.50952685,1.367305,0.8072721,-0.6127585,-1.9143339,-0.26661617,-0.1686858,0.36613113,0.04323209,1.5216551,-1.2162775,0.3844643,0.36745715,0.20811817,-0.04111831,0.23048462,0.87539506,0.33451277,0.1447889,0.3202325,0.6214491,1.2337239,-0.19638927,-0.11223332,0.51803416,0.30773062,0.14027122,-0.29863054,-0.58742976,-1.2591144,0.08944821,0.24649577,0.045147132,-1.5294309,0.09240636,0.35000616,-1.0467143,0.3261819,0.5566415,-1.5478014,-0.34904987,-0.4564867,-0.18854995,-0.36933994,-0.68088686,-1.1200492
COLO 775,-0.32916588,-0.388439,0.030196358,0.7833682,0.5789558,-1.026606,1.2483076,0.5074941,-0.82041657,1.5108174,0.41823584,-2.6939855,-0.9897165,0.5190418,0.17086703,0.20643699,2.03732,-0.70337236,-0.30688065,-0.56725115,-1.4013152,1.7319041,0.27079138,1.9765075,-1.1493437,-0.6056986,1.4822114,0.47152084,1.0627253,-0.1379943,-1.3203815,0.11732739,0.01902219,1.0634542,0.4933208,0.50375557,0.40221077,-0.29075608,0.16490763,-0.20370454,1.8508844,0.020866126,-2.1146643,-0.47975928,-0.1773769,0.27293253,-0.48005745,1.7333728,-0.42132434,1.002197,-0.32140964,2.015904,-0.3429796,-1.9614197,0.076699264,-1.0560918,0.4324046,-0.029484272,1.5696249,-1.7045195,0.75088006,-0.06765425,-0.23094499,-1.0638772,0.36492756,0.7240031,-0.86257374,0.62743324,1.4629924,1.4365585,1.2539978,-0.9305652,-0.14153427,1.0011224,0.78055704,0.5032109,0.62175095,-2.105547,-1.8654559,-0.35571688,-0.3425583,-0.5829067,-1.5762887,0.102983,1.0237057,-0.8065259,1.8441393,1.4856427,-0.19609475,-0.2680984,-0.9047386,-0.43198243,-1.0887095,0.10029056,-1.5156848
KYSE-30,0.6907417,0.0316465,0.24208541,-0.1623356,-0.25512213,1.6814917,0.30040288,-0.061193306,1.2708496,-1.4514927,-1.0748878,2.1545005,1.3518764,0.020275459,1.4562664,-1.8130231,-3.165818,3.9208658,3.5409915,1.9330394,2.33679,-0.8510526,-0.5903832,-2.2617297,2.186783,-1.0551677,-0.5279557,-1.2435375,-1.6570998,2.112746,2.1553187,-1.2065098,3.1068306,2.0107653,0.20926106,-3.0777907,-0.57202923,-0.13356096,2.2647789,1.1765417,-0.62716705,3.375408,1.5746772,-3.5060084,1.478168,0.33893383,1.5986527,-3.0649421,0.023708433,-0.6108102,-3.7530804,-2.0088143,-0.35639042,2.3772159,2.3270004,0.39570266,0.26856458,-1.5230113,-3.8652318,3.033759,-2.4941435,-1.2152383,-2.812803,-1.4924073,-1.7703534,-0.82455087,-1.0603119,-0.49938443,2.0784523,-2.8092906,-5.641343,-0.4780202,-0.4624496,1.1692481,-2.5100896,-0.23135412,-1.2150779,0.0243707,2.9047463,-1.3262626,-3.2859247,1.8688414,3.8330085,2.75912,-0.25545317,4.936637,-3.218792,-2.5854585,2.7974877,0.45030507,-1.322749,0.44948715,-0.119040385,2.4626153,3.7418358
COLO 783,-0.1709097,-1.0997187,0.72201407,1.0221555,-0.32761994,-0.71738714,0.38094297,2.1241102,-1.1184783,-2.0796669,0.017972857,-0.1510148,-0.95109576,0.31737775,-0.80938756,0.67927974,1.2132051,-2.2236125,-0.77406716,0.97575057,-0.30937922,1.5317252,1.0172467,1.0704741,-1.4204984,-0.46178618,1.9557867,0.40645802,0.8639482,-1.3347175,0.482505,-0.21650419,0.8753651,1.3308522,-0.33063582,-0.063592345,-0.17570363,-0.9048872,-0.1263852,-0.28098935,0.17280325,-0.8637543,-0.2893002,-1.0416616,-0.2172618,-0.3029698,-1.2405597,0.45758104,0.4031079,-0.16255602,-1.545106,0.01039806,-0.5926476,-1.5006446,0.33634293,1.1461172,1.7795991,-1.6071616,1.1055894,-1.4214135,-0.03755799,1.4785641,0.63310564,0.69076777,0.93409276,0.40821034,-0.10260704,-0.8022926,-1.1774216,0.30289388,1.5415404,-1.2023759,-0.7556647,-0.5073748,-0.120323986,0.5095599,0.53549063,0.09962796,-2.6097813,0.2716456,1.6855111,1.1243267,-0.34101787,-1.9610858,-0.23874336,-2.0445697,1.2352802,0.47986275,-0.09020754,-0.96285796,0.980499,-1.1599686,0.5842441,-0.96694124,-2.3520021
VMRC-LCD,0.5464136,1.6146014,0.06208679,0.63765866,-0.8644379,0.20591529,-1.3064854,2.0476012,-1.1985359,-0.85968906,0.9549619,2.0601182,-1.3849758,0.40083063,-0.23004197,-0.19133346,-0.90899324,0.27047223,2.0391157,1.3731833,1.3432759,2.3250482,0.28646165,-3.0699348,-1.1278535,0.55355155,-1.6616296,-1.0194982,-0.17335273,-1.4943265,3.1279655,-2.0899374,0.68588334,1.2466357,-1.0764092,-1.351603,-0.23400995,0.13708815,1.7750748,1.8715622,-1.7447064,2.507201,1.6839787,0.31158084,1.1199111,-0.71663165,-2.305066,-0.56544346,0.8092625,0.6557851,-0.43207896,-0.077443,0.21701525,-0.1408798,-1.2993746,-0.088729575,-2.4879138,-2.3407426,-1.4989028,1.3871856,-1.6593809,0.98589116,2.346517,-0.15235847,1.0020934,-0.8798446,0.80596644,1.1942145,0.803424,-1.183929,-0.41427094,-2.8313024,0.108141445,-4.2166405,0.14273156,1.5428579,-0.46484017,1.4171662,-2.1784468,0.32730907,0.25904575,2.101455,3.4879174,-1.6127778,-0.6385414,-1.5229745,-2.40958,-0.7637914,0.8742998,-0.7008996,0.8452762,-2.1667886,-0.6461793,-1.5813581,0.33179057
Lu-65,2.9817224,1.5127286,-1.9147379,-0.02987133,-0.91502416,3.2889867,0.5966369,0.7533189,-4.833745,-8.347532,-2.2802753,-0.47581944,-1.2177734,1.177523,-3.881333,-4.917701,-4.252814,-0.91902447,3.3268824,0.036735505,4.7522783,-1.570279,-3.1846433,2.6081052,1.3871348,-1.3454309,-2.1388652,-1.5344702,-7.1435575,-0.82980937,-3.4736354,-2.2405634,2.5038507,-2.2554955,2.3407946,0.6501448,0.81788576,-0.09583193,-1.777739,1.2912838,-1.8108345,-0.9638551,2.9447718,-1.2065196,0.21914908,-1.3517518,0.63137746,-1.4519869,-3.7006564,-2.7005715,-3.7904751,-0.69988275,-0.70638835,4.2711444,3.8866174,2.1400492,4.2506533,-2.835084,-0.5103833,-0.3099184,-3.0623176,-0.23975655,-6.074317,2.134758,-1.665794,-1.2099104,0.0022895634,-4.4659104,-3.4873137,-1.7918811,-4.2652683,-2.203955,-1.5957981,-0.5099937,-0.69823205,-1.0643321,1.3807269,5.234979,2.5281157,1.3760295,4.449538,-4.686962,-1.5584077,-3.1268191,-3.4826329,-1.9588071,-2.950958,3.3466344,-2.662912,0.43475205,2.3195562,0.80831254,7.5053926,5.545435,0.8575756
HCC1937,0.11916543,-0.17286953,1.5874212,-0.8117713,-1.3639042,0.23939791,-1.8027349,-3.4376583,-1.0218306,0.7118014,-1.2385072,3.254529,-0.71101093,-1.4954326,-0.07214068,1.9865668,3.1448467,-0.60716194,-2.479045,-2.7076812,-0.848199,-0.5619112,0.44420627,-0.60655266,0.4521486,1.9352489,-1.5964718,-2.3724487,0.057582848,-1.3000259,-0.9253324,0.9910872,1.8143365,-2.467721,-0.758808,0.3865782,-0.3695084,-1.6939728,-1.5678927,0.25232565,0.680979,1.0369433,-0.67487395,0.90978754,-1.2731441,-0.93041706,2.1982956,-1.0483147,2.0767586,1.5926964,0.9418917,-0.25171775,-2.7219384,-3.1319993,0.023910403,0.37248078,-1.9825352,-0.50151354,0.32463962,0.8877544,0.13869837,-0.44648662,0.4662424,-1.4681145,-1.0658243,0.16387081,0.23402497,2.222436,-0.19592923,1.2770292,1.1297321,1.0022871,0.3543821,1.8651696,-1.7365663,0.044598226,1.27412,2.9938316,-1.2914265,2.436433,2.2890794,-0.08394414,-1.2315227,0.3525768,1.930834,-0.46896115,1.3857464,-0.64435685,-1.4812425,1.1260356,-1.1950535,-0.066675,1.0031395,-3.1874785,1.165801
SLR25,-0.21036008,-0.45076814,0.24304782,0.0059057474,0.6518469,-0.9202788,0.69951904,0.3195852,0.23197904,0.314914,-0.022075653,-1.4132943,-0.50758433,-0.050915066,0.08048238,1.2497663,1.8532479,-1.0236593,-0.7016991,-0.6680695,-1.4174528,0.79388505,0.34023193,0.84106255,-0.9500704,-0.22236669,0.73003066,0.44396466,0.4596081,-0.27551392,-0.4338628,-0.061918437,0.009808145,0.6371989,0.18266626,0.00890699,-0.36670005,-0.43844545,-0.094181806,-0.89854544,0.97708064,-0.021443203,-1.5716614,0.82925683,-0.4903984,0.03830123,-0.48431784,0.73461956,0.14723483,0.59948725,0.9830819,0.8329254,-0.66249514,-1.6503075,0.4497301,-0.5882096,0.32563925,-0.0914526,1.0742666,-1.372994,0.47713423,0.40644127,0.7073587,-0.07021405,0.27414328,0.55046666,0.07686837,0.4643157,0.47121525,0.9403131,1.0956879,-0.17257008,-0.073807314,0.43880242,0.2409008,-0.048116706,0.19057691,-0.56762743,-1.2020361,0.25868666,-0.53246963,-0.13596502,-1.4417113,-0.5784145,0.22896604,-1.1650236,0.7397504,0.2778551,0.05054743,-0.38862008,0.08865544,-0.110407114,-0.29927135,-0.83451873,-0.9283258
CHP-126,-1.4164973,-0.90263295,-0.48321265,2.0686493,-1.4820459,4.5153556,0.099172175,-2.6096022,-1.0291638,0.31995323,0.12904139,4.141628,-0.7226918,1.3250842,0.58219016,0.09162675,-2.4811409,-0.3364801,1.6061511,2.3997521,0.7123694,-0.9129251,-0.3122485,2.3075953,0.834223,-1.1406621,0.51761675,-2.1746502,-0.080593124,0.13367781,1.5613236,1.2847817,-0.61098087,-1.2974555,-1.4873765,-3.2328644,1.4995483,3.203566,0.85633075,1.0701371,-1.5283605,-4.5636253,1.40293,-0.98776346,0.7654962,-0.61910343,0.9410068,-1.7394733,0.5789865,-0.9301368,-2.5743992,-1.1374793,0.3047762,0.48496544,-0.40243542,0.58746576,0.5341767,0.76092696,-2.3235383,3.690373,-2.2911937,-3.3448462,0.7400223,0.60988307,0.70229864,-0.80697256,-0.6364811,0.58006847,-0.26552284,-0.92226064,-3.185877,2.0208304,0.65196913,0.09051901,-3.095814,0.81784093,-0.47906554,1.5180917,1.8228586,1.4710025,-0.22938675,-0.17307681,3.7443025,-3.0891914,-0.10318693,-0.39903593,-2.8801258,-1.5485668,-0.2674513,0.6323106,2.3846412,-0.06869654,0.6012567,0.9116084,0.1799988
Loucy,-0.49033752,1.9663844,-3.3049436,-0.07989165,0.8432498,5.2767735,-0.23794399,0.29566145,-1.7609121,-0.6226805,0.3163157,2.367974,-1.7414012,0.004059829,-0.42696142,-1.961728,-2.0128398,1.8109837,3.5407014,1.8296332,0.15812272,-1.411645,-1.5941627,-1.0198423,2.249452,1.2423661,-1.8501531,-0.6417592,-2.330292,-0.66973114,1.21274,-3.4052916,-0.04200312,-2.6629012,0.23368582,-2.3122444,0.29158407,3.2261813,0.61308897,1.2905492,-2.7938077,-1.1067106,4.0452967,1.2530258,1.7389121,-0.70061606,0.0056545846,-1.3150301,1.1041992,-0.60321635,-1.1771746,-0.5656171,1.0131091,1.5430027,0.56744254,1.1913087,-1.168261,0.21149018,-1.9266086,2.6023555,-1.8859221,-1.811619,0.03804505,1.8915358,0.9720572,-1.0417347,-2.101954,-0.19594577,0.851083,0.6239698,-3.3658016,1.5328327,1.3596925,-3.2381222,-0.35684913,2.705754,-0.7585839,0.036208116,2.0493062,-1.1265373,0.31119448,-0.35155421,2.209009,-3.215884,-2.5673778,-1.5040985,-3.1990757,0.4965885,0.48940605,1.2323366,0.5759413,0.11127636,0.29667193,2.140662,0.52267045
KMS-12-BM,-0.33334112,-0.5033839,0.30294845,0.58819073,0.2581602,-0.9279311,0.40588987,0.21727425,-0.11808515,0.56327474,-0.046940535,-1.3414637,-0.14804515,0.080754146,0.21974711,0.9762201,1.691956,-0.37882572,-0.6342776,-0.535022,-1.0895526,0.23669335,0.43201917,1.2353879,-0.8291606,-0.049098253,0.755486,0.18238652,0.9549219,0.11576469,-0.64644974,0.059894323,-0.38594767,0.5759097,0.1790031,0.79765207,-0.007380672,-0.10627718,0.19185612,-0.121417195,1.0400516,-0.3900766,-1.7467073,0.36947507,-0.25307065,0.028601468,-0.4608961,0.44177166,0.08010881,0.33096462,-0.26172918,0.8149559,-0.59221196,-1.806843,0.41460606,-0.66825056,0.35065502,0.03843555,1.2344546,-1.2221212,0.31328672,0.052389637,1.327494,0.29849565,0.14346755,0.9155574,0.047124192,-0.5866447,-0.14785972,0.6442054,1.1745152,-0.11284976,-0.16789621,0.5478474,0.27881026,-0.63748527,0.29821894,-0.3657106,-1.2206544,0.13564809,-0.44459438,-0.14398602,-1.4590621,-0.15775312,0.32158574,-1.0946085,1.837518,-0.08957531,-0.04698149,-0.27418268,-0.42247218,0.46359658,-0.43304202,-0.9999155,-1.127007
KCI-MOH1,1.0496352,-1.8331157,2.730872,-1.6622287,1.3644195,-0.47744274,0.13604411,-2.5765836,0.26190025,-2.2706692,-2.6561787,1.5544555,2.5651693,-0.8058796,2.212779,-0.050290085,1.7446111,0.05797374,-3.0184608,-1.61956,-1.6824927,-2.662627,-1.7193192,0.15386316,0.5281534,-0.404132,-0.80431795,-2.5108776,-0.6918453,0.4634338,-1.1456375,0.56962335,1.0344778,0.06995802,-0.88360924,2.656477,-0.70918596,-1.7851889,-0.5116169,-1.2685803,-0.103817604,1.4175907,-1.3147758,-0.50897,-0.8127928,-0.5592953,2.7118747,3.2834957,2.3143857,1.7630544,1.5553522,0.4618317,-2.1848903,-2.4158118,-0.60960555,1.235492,0.24862926,1.8611293,-0.32868028,-0.55782545,0.43331853,-0.8525583,-1.9592777,-0.6790118,-3.181094,0.21304421,0.0059282333,-0.6424291,2.8851733,0.54899204,-0.20824437,0.99145913,-0.059398994,3.3293958,-0.33568236,-0.7669894,2.133458,1.4792542,-0.2989431,0.9723202,1.1608005,-2.2047882,-2.1358788,2.8898005,-0.66845423,0.81731635,4.688406,-0.91339654,-0.54570866,0.73342323,-0.29810292,-0.008135445,0.36092868,-0.91958684,2.5964658
L3.3,0.104428194,1.6628717,-0.75975955,-4.060317,0.84715444,2.1023211,0.5632846,1.2841579,4.731631,1.847436,-0.39382732,1.4591833,3.7928452,-0.94978833,2.0224748,-3.9862561,-0.87050086,4.3169737,2.5859275,0.3725112,3.090795,-4.1496067,-1.3990115,-4.6131496,1.3246447,3.5079448,-0.7368445,-2.225823,-4.4854403,2.0921726,-0.007926635,-0.9686777,1.4040372,2.276255,1.2342916,2.66452,0.5157373,-5.6090946,-1.1734247,-0.7177364,-0.47472513,10.593501,3.0463107,-0.036422968,0.8378235,-1.03407,7.526143,1.3049791,0.8355301,1.5569825,4.0713243,-1.5036942,-2.1693044,2.845753,0.5807631,0.5340133,-2.4715827,-0.6661786,-4.53754,4.3343487,-1.4868144,-2.2769299,-4.3182344,-0.7769441,-3.2802367,0.69748867,-0.89777523,0.96823525,4.760407,-1.7687159,-4.950569,-1.0339226,-0.6492364,0.6567249,1.1542908,-1.8848162,2.928795,-4.6025524,4.2939916,0.059118092,-5.230917,-1.929672,-0.56723297,7.387863,-0.29735988,4.436778,-4.0315633,0.50142384,3.0015054,1.971346,-3.60815,-0.64026225,-1.2318197,3.4077234,4.574826
SNU-1077,-0.041799083,-0.48222074,0.37631598,0.38256112,-0.10210639,-0.9304726,0.5863594,0.6384837,-0.4416815,0.44103327,-0.122225046,-1.5276059,-0.5213394,-0.105092846,0.112730674,1.3953527,1.8893607,-1.0836747,-0.91601706,-1.0268807,-1.1541384,0.19758904,0.29426578,0.6523695,-0.9456614,0.0139360875,0.5667877,0.2393485,0.7679574,0.19029938,0.105421394,0.044849023,0.8086611,0.54850316,0.21857128,0.40154344,-0.47977126,-0.52937365,-0.027423676,0.7329978,1.0825214,0.38609493,-1.2375586,-0.16090879,-0.27452177,-0.06265496,-0.49858135,0.85334253,-0.004120119,0.55197006,0.12302658,0.8690496,-0.62508345,-1.8798183,-0.090455204,-0.83484375,0.38637123,-0.04300715,0.41932625,-1.3039252,0.41309592,0.4243766,-0.041507155,-0.33365622,-0.15301561,0.71558505,-0.0071036518,0.19662029,-0.38240594,0.7364619,1.1040666,-0.30162728,0.07347336,0.5546529,0.10415009,-0.19267088,0.4237895,-0.06898433,-1.2481519,0.1789092,-0.023929052,0.33388925,-1.3862472,0.5657698,0.19540039,-0.9736677,1.5590477,-1.7394748,0.1767163,-0.36870265,-0.08729562,0.23382056,-0.36372888,-0.38330904,-1.1782787
CCK-81,1.0921662,-0.61724067,-1.5719837,-2.5926282,3.0039012,0.886478,0.8195714,2.1027954,3.0974236,-3.3736744,-0.3460783,1.6736953,1.2966784,-1.0519308,0.117435515,-2.723264,-3.2357283,3.254615,2.9633636,0.68140346,2.7845466,-2.7323155,-2.9369235,-2.277015,2.8187025,0.9624388,-1.049005,0.32799497,-1.8116091,0.099395424,2.5477312,-1.7035874,0.8397936,0.31573704,1.2041019,-0.2605244,-0.2231066,-0.5945936,1.9223027,-0.25903943,-1.2584274,2.2112079,3.9167397,-1.6624864,-0.14151405,0.018212423,0.23891298,0.12098467,0.45588255,-0.9923848,-1.1503093,-0.71868384,1.3619869,4.0312366,1.1616943,1.3911586,-0.019307047,0.82186353,-1.926973,2.4114318,-1.7769535,1.8040243,-0.83678406,0.19032313,0.4236313,-1.3664496,-0.41534948,-1.8346167,0.8827758,-1.4139041,-1.7084126,-0.02137345,-0.5690293,-0.74289596,0.47622815,0.34108052,-0.008717626,-1.4839458,1.9642258,-1.0126458,-0.7834491,0.9393411,1.8966634,2.3615534,-2.305668,2.187967,0.50157225,-0.70780265,0.54304314,-0.20935799,0.44448364,0.19474992,-0.5114587,-0.48345304,3.9427917
L-428,-0.21941505,-0.59283614,0.087959826,0.283184,0.35930812,-0.79333735,0.66628635,0.69459593,0.8416338,0.45145646,-0.015138098,-1.6803229,-0.22216877,0.13811155,0.06426217,1.6213267,1.7661268,-0.55197823,-0.7557259,-0.25271267,-0.8362729,0.5350158,0.37030596,1.720142,-0.89879227,0.16224621,0.62335134,0.23067181,0.39873704,-0.118556194,-0.46596587,-0.10554513,0.119460955,0.74472326,0.1585154,0.19269015,-0.11895587,-1.083055,0.07277842,-0.42681897,1.1006968,-0.09237248,-1.2912688,0.07257166,-0.4340712,0.013233818,-0.2562536,0.6111891,-0.033460215,0.5300594,-0.0872964,0.8886328,-0.65605044,-1.570864,-0.60497093,-0.45106846,0.4231588,0.17910552,0.96830016,-1.1525253,0.1970299,0.04350108,-0.24145746,-0.42426708,0.37391883,0.5491916,0.05524271,-0.13157299,0.84489506,0.45374107,1.2110523,-0.4043535,-0.2590122,0.5282788,0.27990165,-0.71197623,0.48341882,-0.2657984,-1.3271013,0.15799144,0.4662552,-0.003080646,-1.6560335,-0.70491326,0.23573333,-0.7073569,1.0501673,0.334392,-1.4536083e-05,-0.36933059,0.3432681,-0.10041177,-0.2660198,-0.8803966,-1.1803594
ALL-SIL,-0.28156295,-0.48571938,0.26806957,-0.010278046,0.40840033,-0.8969215,0.54868174,0.40135124,0.26562074,0.47729182,-0.19991712,-1.2944981,0.060458295,0.060697652,0.22249518,1.2252781,1.5628538,-0.55405354,-1.5979283,-1.0531876,-1.2460935,0.63479203,0.37094077,1.6240778,-0.79921746,0.45843402,0.26260602,0.20050526,0.89410496,0.27857593,-0.41939834,0.3280273,-0.43750954,0.3934654,0.123901494,0.32106405,-0.10658644,-0.002378285,0.12817277,0.30279854,0.98059344,0.12093228,-1.1940739,-0.016813718,0.0555003,-0.16200644,-0.28634146,0.41345716,0.17345859,0.393271,1.1019863,0.7975988,-0.606843,-1.6886232,0.4421747,-0.38277593,0.29794377,0.46352264,1.155668,-1.1216278,0.55694914,0.030295134,0.32766068,0.08285585,0.36992413,0.76808,0.063689224,0.716699,0.27174932,0.7077089,1.3094857,-0.013904834,0.18574452,0.40982458,0.37780005,-0.073811054,0.5225155,-0.9639486,-1.0985106,0.11032231,1.2303249,-0.010464072,-1.3416117,-0.43816647,0.120677605,-0.7460612,1.9158294,0.5796788,0.50095236,-0.24678603,-0.1526148,-0.12115098,-0.39280155,-0.6627579,-1.0189832
