,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94
HEC-1-A,0.6311668,-1.157512,-2.7522972,-0.3287141,1.3374295,1.314908,-1.0342927,-0.18091571,-0.16344316,0.47377568,1.6259302,-0.41699907,1.9236777,-1.0986251,-1.5955452,-0.6389257,1.6304282,-0.67916244,-0.8439096,-1.7340431,-0.90772796,-0.04739801,1.3934996,0.06772709,-1.4915235,4.1168003,1.4315808,0.20504317,-0.17516404,-1.990278,0.49916503,-2.6940634,-0.5940613,0.52151656,0.8661246,0.565314,-1.104497,-1.2338336,-1.4028336,0.49409053,-1.4544563,0.86764574,1.6112708,3.3646495,-0.66373986,-0.6584858,-0.7154592,0.21618043,2.8179886,1.674145,1.3757756,-0.057783682,-1.3275495,-1.4872695,-0.1210093,0.9892674,-0.98386824,0.30169517,1.0319328,-1.4339559,0.5673937,1.6894861,0.67315876,0.9421057,0.6109876,0.22946082,-1.5134621,-0.6535025,0.45073456,1.9537466,1.1563245,0.21060634,0.4684588,-2.2983308,0.51837176,0.600878,-0.11409288,-1.7799922,0.5063223,-1.767539,0.7052379,-0.9296221,0.044978537,-0.5612245,-2.0679302,-1.9145639,2.4981897,2.5870638,0.8830169,1.9051392,-0.18442748,-0.94482225,-0.33651894,-1.9483644,-1.8715128
PaTu 8988t,1.0613482,-1.2179366,-0.03943546,1.8727177,-1.8526224,0.31851992,-5.7840095,-4.453429,-1.6966684,-0.95159805,3.1836932,1.6588815,-4.05884,0.4750946,-1.3106376,4.358852,-0.19342703,-0.72906125,-0.4430452,2.6455064,-0.54890543,-0.6526374,3.6106615,1.5278466,0.8082351,3.990659,-1.4704571,-0.6826811,-2.1081486,0.09116539,-2.643557,-1.3902572,-0.8016909,0.5193504,-1.9366082,-2.0390615,1.2636003,3.6474657,-3.9776998,-0.5960647,-2.94154,-5.010547,7.462656,0.3200276,-1.8232358,-0.82142,0.40726215,1.0507097,3.2924082,-2.247581,-2.4433532,2.5944076,-1.8722824,1.6132832,-1.4637082,1.977528,1.0841092,-1.3453554,0.025836676,0.2632469,3.6500466,2.4432397,-3.9095232,-1.9911643,-0.89836556,-1.9156209,-2.4140074,-1.4765401,-0.9181886,-2.401216,-6.5314903,4.6241508,0.53800875,-1.8176696,-2.5844154,-0.96837515,-1.2129582,3.7786508,2.0296462,-2.4383929,4.3502192,-1.0619725,0.62108165,-1.2772553,-2.2467148,-2.600996,0.35889766,-0.8768342,3.5873973,-0.26608825,0.74369055,-0.09323463,0.73321736,-2.2013128,-2.0644002
WM266-4,0.7879166,0.45209393,-2.0573063,-0.87868214,0.28357044,1.1940658,0.77247185,-0.7587352,0.68322694,-2.334113,1.620331,0.85852826,3.217637,0.045742277,-1.9494411,-2.6825674,-3.5589972,5.0305977,4.9419823,-0.1321764,3.5525866,-2.7273042,-1.6784165,-1.1653122,3.2393458,-0.55573547,-2.3239367,0.87854415,-2.9110668,0.9019081,0.04529792,-3.477249,-2.1709802,-3.7697818,-0.04485444,0.58818585,-0.37250072,1.3256978,3.188055,2.4215431,-2.0154572,-0.6281431,3.8313768,2.4408271,0.7047372,-0.77546084,-3.6390898,-1.1705245,-1.5022339,-1.6695249,-0.90870106,-0.14181103,3.775202,1.5789089,1.2763305,0.7511581,0.15019396,-0.508831,-0.18073559,1.763946,-3.033035,-0.023233809,-2.688826,1.5738372,0.91680545,-1.6707876,-2.1149015,-2.581348,0.078350216,-0.88089454,-0.50983685,-0.28057218,-0.56331587,-2.4899635,1.0367869,2.0927808,-3.769487,3.4076781,3.3662143,-2.2623715,-0.63531816,-1.0452173,1.2498167,-0.7241937,-1.9604194,1.2354496,-2.032205,-3.6206665,0.8646158,2.4289453,1.8347342,0.89405084,1.5664842,2.1508625,3.3066666
YD-10B,0.006815347,2.3634264,-0.041278556,0.2615073,-2.1980758,0.10482385,-1.1565197,0.85086393,-1.215502,0.51884437,0.90866613,0.12935106,-0.15361646,0.5676656,-1.3736767,0.6907593,-1.460123,-1.0040815,0.9087437,-0.28596604,1.1826773,1.7556207,1.0774248,-1.7854341,-0.07599055,0.18167657,-1.7542577,1.1340252,-0.18719478,-0.2718053,1.7181232,0.08985829,0.3114715,-0.88429034,0.15331498,-1.5322151,-0.19640169,-0.30681193,-0.95516217,1.1844969,-0.19377883,1.682045,-0.48340666,-0.19044653,1.5718573,-0.002210874,-0.83875835,-2.4954202,-2.7826612,-1.1442591,-0.48021123,-1.2953968,-0.19421664,2.6753826,0.5230455,-0.2793625,-0.20736721,-2.415014,-0.23462161,0.7370465,-0.32278207,0.012295181,0.12688418,-0.3887885,-0.7647382,0.90846896,1.2486901,0.9418977,-2.415992,-0.9170504,-0.2144888,-1.1773374,0.19269508,-1.9802278,-1.3436683,0.0911791,-0.42754996,1.5072386,1.3249962,1.1049887,0.2593314,1.0590892,1.2751603,-0.3200665,1.2577534,0.9245981,-3.7151997,0.86474633,0.1252394,-0.99600077,-0.73534626,0.21734188,2.3484526,0.8578936,-0.01987336
NCI-H1793,0.17162567,-1.3598865,-1.8279563,-0.6097238,2.4468136,2.9991274,1.6922385,0.24510524,2.0703,-1.1604846,-1.2747114,3.7005024,1.725321,-0.7522392,0.42316937,-2.1770325,-1.3941579,1.5555208,2.3407393,0.99925524,1.6890022,-1.0303724,0.38284278,-1.2678932,1.783322,0.5991023,1.5605166,0.025873262,-1.8875062,-0.2232032,2.8924797,-0.51324654,2.6017659,-0.368164,2.006361,-1.4139298,-0.8499656,-0.22300434,1.4393812,0.23611301,0.0897084,3.9548078,1.0960174,-1.5050106,1.416607,-0.7967013,2.0565677,-2.173411,0.06167389,-0.28453338,-2.462723,-2.7248063,-1.4457674,2.0059445,1.3771423,0.8998728,1.0670737,0.06160313,-3.3950603,3.0962982,-2.1964178,1.0157187,-1.5760815,1.52693,0.42389038,0.6035525,-0.73520404,-0.74504924,0.93751264,-1.9080802,-3.1073773,-0.30264843,-0.6200682,1.3626014,-2.394424,-1.0757115,0.1352345,-1.7114081,2.3201473,0.044835437,-2.3536801,1.0682824,3.0126755,0.8751182,-1.3611687,2.4598346,-1.0486985,-1.4661766,-0.018119961,0.9641409,0.063652515,-0.4112972,-1.6141213,-0.9846548,2.6783764
RKN,-1.1947418,2.4346259,-2.8071883,-1.1893697,-0.69597375,7.864958,1.7118435,0.58855814,-2.5369146,-0.19761616,2.6245663,3.5673153,3.2097101,1.8079352,-2.7183497,-5.317633,-4.166607,1.5158929,7.3381414,0.91559434,2.3944747,-0.36657882,0.77251637,-0.9391123,7.26007,-0.6951438,-0.93863815,4.0893455,-2.7084062,2.742266,3.1285043,-1.8987048,3.1187737,-8.3905325,1.576468,-3.4711103,2.2323537,1.8618932,-0.57637405,-0.59367615,0.03700409,0.91068816,2.6387208,-5.9532766,9.312511,-0.4389828,3.4074214,-1.8195167,-6.499571,-3.6746328,-2.7610364,-4.970629,-0.18025804,4.2256002,1.6035756,0.8609911,6.146954,-5.1675105,-7.6118317,2.6021078,-0.8530128,-4.3990054,-4.657477,4.0580707,-0.6224895,2.540333,-4.607863,-0.41524178,-1.2399044,1.4488256,-10.831757,-1.5089755,1.115114,2.1240335,-6.4133716,0.6152423,-2.5628915,0.3457493,11.374098,-2.5616932,-0.40493488,-1.8769389,2.0102315,1.5396968,-0.2544991,3.521578,-10.004628,3.5134823,-1.5086184,2.398479,-4.606944,1.5263841,4.300683,6.7969,1.7042506
AMO1,1.8007615,-2.9025693,-3.5168822,0.44488132,2.6934078,0.5519855,0.044335425,2.3267257,2.8575504,-2.8915026,2.3532887,3.639954,-1.0325493,0.3219537,0.7878399,-1.1492875,-1.6144134,-1.525111,3.9698482,2.9021177,2.4796562,-0.60596097,1.0334681,-1.8750671,-0.19477385,0.4717264,0.86918366,0.3050101,-2.7635574,-0.81879556,2.608217,-1.7801955,1.4644859,2.2460806,1.932513,-3.8780262,0.9208393,-0.044147372,2.697535,0.60680413,-0.25368965,1.1346055,4.4266157,-2.4741817,-0.24237773,-1.7322453,-0.7897583,-1.4551215,1.5572869,-1.1709355,-4.8408914,1.7934324,-1.5398452,0.84450155,-0.32943538,0.23256394,2.7731712,-1.8401258,-1.7415951,3.0829365,-0.97638774,3.8881974,0.8625382,-0.82312655,0.3939125,-1.3110636,-0.85365677,-1.1677153,1.1973113,-3.5614798,-4.969601,-1.4466474,-1.6426991,-2.0888095,-2.6639664,0.55019104,-0.4079347,-2.179861,-0.1533162,-0.7621421,-1.3704505,2.8452823,4.0770135,1.3382444,-0.3695007,2.6003182,-0.92771494,-1.2398391,1.5935314,-1.2319956,-0.03349331,-1.2643343,-2.262515,-2.4539993,1.8501589
BJ1-hTERT,-0.28840387,-0.46179155,0.34160534,0.36576167,0.3252308,-0.9468877,0.5096109,0.042028397,0.28380165,0.2567887,-0.22842622,-1.0028899,-0.18699282,-0.010228746,0.10106182,1.4428682,1.6725388,-0.64542127,-1.2425917,-1.1913136,-1.2103769,0.21656293,0.35243416,1.0793536,-0.93204945,0.14196989,0.71818465,0.31876457,0.3526487,0.018782748,-0.31415486,0.23120102,0.14713824,0.3752055,0.17210798,0.28024456,-0.49204284,-0.7956437,-0.027767252,0.57809615,0.9152046,0.018185437,-1.5945134,-0.4047318,-0.02958367,-0.20247865,-0.5338038,0.51621014,0.113236025,0.51018107,0.81630313,0.7484098,-0.67100394,-1.6476398,-0.32643062,-0.6034235,0.330853,0.27316666,0.91935825,-1.2304137,0.7786004,0.21731053,0.33472502,-0.16413203,0.29810497,0.7479985,0.18443666,0.43320397,-0.20603013,-0.20099157,1.2433041,0.18173164,-0.064417794,0.38521135,0.15767443,0.40510485,0.49572465,-0.36720076,-1.150737,0.3226397,-0.24342138,0.28646496,-1.2857672,-0.12862629,0.1662245,-0.9207282,0.5629897,-0.45586795,0.453582,-0.3804463,0.018282786,-0.15672259,-0.31143442,-0.9581816,-0.87803155
Hs 940.T,-0.8667289,0.0075693466,2.6979117,0.7270535,0.3510298,0.4486648,-0.8989712,-0.60489154,-1.1471374,-0.6435321,-2.6045752,-2.150699,0.745183,2.725404,-0.550626,3.2501898,-0.4496701,0.55127066,-2.449291,-1.6578548,1.0330971,0.04631722,-1.1420479,0.6568726,-0.0088276435,0.22880399,-2.9858134,-2.1697724,-0.5630644,-0.837155,-3.2445078,2.3967106,1.820757,1.3641589,0.15950091,-1.7619997,0.97373456,0.76389074,-0.022887945,1.1951833,-1.7073997,-4.638989,-1.8879522,-2.078791,-3.2940035,0.8728627,1.4415034,-3.0382817,-0.83428216,0.55251384,-0.9399276,1.1357224,-2.1972206,1.0712606,-0.47242314,-2.0407605,0.1994287,-1.2947402,-0.8042158,-0.29664758,-1.2531238,-1.3946105,1.1896522,-3.3836796,-1.9269876,-1.079278,2.4859405,-0.056722194,-0.9538801,0.8497671,-0.17955422,0.06001852,2.4102936,0.2705858,-0.3135098,-1.7144973,1.3809326,-0.56854075,1.0178652,1.8366776,3.4680986,0.08135354,1.1388419,0.12009236,1.6580716,2.4781828,-0.86076254,-0.8967421,0.01986333,-1.3613276,0.097980335,1.9287114,3.3743799,2.850116,-0.7023087
GA-10,-1.4641029,-0.46357554,1.0137345,0.04950285,0.05137518,-1.1505978,0.21140991,0.09754892,1.260347,0.35865146,0.56828284,-1.0727323,0.5278666,-0.22119421,0.11111167,2.0923703,1.1689711,-0.7683661,-1.4452391,-1.0013335,-0.58584094,0.06668838,0.32950786,0.37774643,-0.85598373,0.6685494,0.021907378,-0.38719633,2.044051,0.22520053,-0.2741174,0.3615194,-0.78635055,0.5919326,-0.41696528,0.44494152,-0.11893914,-0.85807055,-0.5579099,0.13541648,0.32054573,-1.241265,-1.0949254,-0.15897301,-1.186343,0.13516562,0.09314761,0.38313195,0.637447,0.46288553,0.8718242,1.4591057,-0.96608514,-1.2030574,-0.6262564,-0.43820825,0.38392845,0.22610554,0.697934,-0.684464,1.1182297,0.25693983,0.827754,-0.9212846,-0.85078084,0.7886534,0.27421713,0.10891551,0.0126212835,0.6596093,1.0095803,0.88002515,0.2994154,0.29407933,0.11960192,0.060729623,0.869444,-0.6335709,-0.84892064,0.18669595,-0.22811285,0.07743737,-1.1685482,1.034951,1.4303539,-0.24583936,1.19125,-0.41662422,0.04221256,-0.6088505,-0.6261778,-0.7301246,0.6896108,-0.7627514,-0.8412667
