,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
Raji,-0.8480278,-16.153688,-12.8621235,-13.912367,-5.246324,-30.653843,35.61446,-20.300125,-29.871662,33.68674,-13.250353,6.982044,35.11076,-41.4473,21.30675,-7.766096
RERF-LC-Sq1,12.244307,1.4493247,-1.7893369,4.553945,1.7709656,3.2928908,-18.52384,10.345656,14.736369,-18.567354,12.580537,-2.8925993,-12.969327,16.942394,-11.286855,2.8641682
LS513,2.942791,-9.221193,-8.480624,-6.4690514,-1.3636622,-13.41804,15.068861,-9.424153,-13.347604,12.6253195,-5.4095497,3.9697351,13.611868,-17.46231,9.426157,-2.4601624
KM12,0.59038687,-9.542266,-6.317859,-7.497946,-2.500298,-18.311733,21.631943,-13.181343,-19.089376,20.72374,-8.310785,5.1435194,21.270313,-26.40902,13.99043,-6.2013493
Kasumi-2,-1.1658043,-14.426354,-11.277647,-12.329343,-5.3183017,-27.945377,32.166813,-17.471895,-26.223303,30.336554,-12.278148,5.7151175,32.034893,-36.372276,19.04151,-6.270865
Hs 604.T,-1.1547211,-13.939108,-10.828686,-12.00971,-5.303113,-27.25339,31.206778,-16.79541,-25.32278,29.41846,-11.945443,5.4200897,31.195223,-35.08675,18.485483,-6.0021257
Kelly,41.397305,6.4497356,-5.129164,18.667818,8.10424,12.915211,-62.92217,35.328766,49.653687,-61.91618,40.93869,-8.373827,-45.237083,56.34186,-35.992958,9.016316
HEL,22.740074,2.1135309,-4.282745,7.897126,2.549075,4.094571,-33.209373,19.75409,27.314114,-34.499252,23.220938,-6.5239677,-23.3851,31.7473,-21.165445,6.0748916
HCC44,33.972565,0.19899178,-10.867388,9.656193,4.992529,9.035578,-44.642673,26.464224,35.98665,-49.445293,30.985954,-10.155697,-35.979477,44.2106,-31.47481,10.19768
Hs 688(A).T,11.736471,0.0867688,-4.1135015,1.6324708,2.4860876,3.465155,-14.255673,6.205194,9.181878,-16.402454,11.408687,-1.5310149,-11.810803,13.249207,-10.460639,1.2625762
HuP-T3,-1.2600082,-13.425487,-10.6072035,-11.663657,-4.9634705,-26.201149,30.054821,-16.29331,-24.456474,28.333675,-11.522989,5.352001,30.03225,-33.888157,17.762339,-5.7410283
