,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86
DAN-G,-0.41443714,-1.1107193,1.0782325,1.5544429,0.9252643,0.21330932,-0.38078353,-0.52274925,-0.28941435,-0.37882185,1.2671729,-1.436582,-1.7603819,0.7274458,0.9188037,-1.7161772,0.70978916,-1.3425239,-0.103455074,-1.4377347,-1.4145834,1.9869504,0.717801,-0.6744567,-2.9755285,0.033948317,0.3904638,-0.21720392,-1.0716176,1.1982251,-0.050105017,-0.19606152,-0.4077009,-2.6585178,0.3618961,-0.5387432,-0.9178687,1.815015,-0.42719468,2.0613897,0.1211833,-1.4898072,-0.13209085,-0.7136078,0.13832477,0.26355708,-0.08113395,-0.96029663,2.0535865,0.8552663,-0.5738704,-0.16830501,-0.061799224,1.1398317,-2.4960098,-0.6227746,-0.49241838,0.2998883,-0.63234735,-0.70358497,-0.4396928,-0.3388095,-0.13649826,-1.2463912,-0.40420017,-0.9026621,-0.15108645,-0.33890098,-0.44563147,-0.83294487,2.1042955,0.67501444,-0.98319656,0.35026914,-0.0783546,-1.1237478,0.81594443,-0.43387768,1.6582084,0.8423487,-0.29888415,-0.60093963,-0.29057992,-0.7139765,-0.082561724,-1.1319351,0.76020646
Ku812,0.9169029,0.96298444,-0.48432636,-1.4515965,-0.46200284,-0.5365284,-0.53613365,2.5936873,-1.4216349,-2.3571303,0.4550695,0.83847684,-1.0448955,-1.0983576,0.5717239,-1.8133613,-1.24562,0.6993204,-2.2334836,-0.42819914,0.1431339,0.30438247,-0.92108774,-0.68529505,0.276217,0.25393537,-0.12477054,0.3058932,-1.9034325,0.42680758,-0.04193273,-0.49647442,-1.4262797,-0.6409004,-1.3659916,-0.8811368,-1.1977221,-0.7427212,-0.02847217,-2.6288126,0.20351313,0.7714695,0.6716927,-1.1136211,0.9917854,-0.1558077,2.4717963,-1.3544861,0.9301365,0.23663099,-1.2684562,-0.62538785,0.79646623,2.2216613,1.1713823,0.51263475,-1.0767365,-0.16745709,0.58673286,-0.89725226,0.74440926,-2.092541,-0.31101272,-0.5030154,-0.32914287,1.7432737,-0.048365533,0.24119435,1.3045108,1.0820881,-2.186025,0.8833627,-2.145375,1.8820581,-1.8956025,-2.3822644,0.7731226,-1.0608472,-0.180095,-0.97962683,-0.47619548,2.4909484,0.30042896,1.060818,0.16473919,0.18076879,-1.6928082
NCI-H2029,0.5389548,-0.78250295,1.067853,0.4705156,-1.2796972,0.27963755,-1.8437332,-1.2655281,1.3983469,1.5883054,-1.2228644,1.1021117,4.27418,0.007822197,1.7482746,-1.6552119,1.6831713,3.7472186,0.70518935,0.91844994,-2.4540842,0.6751179,2.1562567,0.102846615,1.3834918,-1.581651,1.6382108,0.23153797,2.622461,0.39616227,-1.3035318,-0.9764508,1.2790923,-0.5927287,-1.7146062,3.0796578,-0.60577506,-1.8461885,-0.0025996044,1.4569387,-0.5324002,-0.4286915,-0.21542582,0.513695,-0.0058243424,-0.29771626,1.668925,-3.4774206,-2.4782963,2.2383332,1.3762602,-1.7184963,0.2896901,-0.9849461,0.29209813,1.9231116,1.1618578,-1.5282451,0.32867604,-0.63587505,-1.6937757,0.08720274,-0.40392193,0.8077148,2.7660127,-0.7010526,0.782603,0.5368267,0.21919306,0.6036647,-4.208559,-2.579624,-1.0510032,0.82414323,-0.7188117,3.0659003,-0.29915273,-0.790546,0.2587057,1.827913,0.15582214,-1.1712083,-0.024127642,0.16500902,2.2397866,-2.8958871,-4.242926
BJ1-hTERT,0.30581978,0.41598,-0.6350386,-0.4913284,-0.44421366,0.3053039,-0.9586553,-1.8388871,-0.5933007,0.8911449,-1.9860245,-0.93176574,0.72561955,-2.7935143,-0.8355134,-2.2589958,0.6353273,1.790861,0.19866878,1.89295,-0.8436422,0.53655076,-1.8545641,0.043407522,1.8993661,-1.1415431,-1.8461219,-1.3568321,0.0033735298,0.079162255,-0.040039457,0.14643034,0.07721105,2.5883498,2.3213773,0.78193116,2.0111914,-1.9442275,-0.9423826,-0.49843538,-1.0103111,1.2426885,1.3559697,0.12471832,-1.4364715,-2.4514565,2.082184,4.1267314,-0.38863766,-1.1614854,-0.44982767,0.35202762,0.38549548,-1.1490648,1.4755416,-0.011016732,0.6682126,0.70448446,-1.1812159,2.32847,0.76751316,-2.2257211,-0.3088307,1.8486861,1.359101,-0.03542961,1.257058,0.7103966,-2.012765,1.2548455,1.8676729,2.8685968,-3.0796952,-0.8319527,-0.85442555,1.5126984,-1.2990878,1.41104,0.1987277,-1.3625785,1.3225669,0.36612186,0.5722201,-0.16683356,-1.9400692,1.4863337,-1.7284378
SNU-16,-0.8275292,-0.6200545,-0.22012743,1.0555283,-1.6530892,-0.9880338,0.84574944,-0.051336534,-1.2864993,1.7732313,0.5955045,0.4933961,0.4214342,0.36281413,-0.8821724,0.06663678,-0.36511278,0.44858295,-1.2425923,-1.752306,-2.562012,0.22012325,1.7082314,-0.87098086,1.6092238,-1.0494465,2.185232,-0.42771336,0.41734457,-0.7160896,-1.6621109,-0.043692335,1.2629793,-1.7406999,-0.8374705,-1.2233174,-2.0480595,0.102060676,1.0644753,1.4231485,0.16977045,1.8947995,-0.37310457,-1.58235,0.45179427,0.2921812,0.4905149,-2.5441835,-1.2298739,-0.3001828,-0.5463133,0.26479653,-0.25087875,1.5542133,1.0613024,0.9968646,-0.8328936,0.75122195,1.0122,-2.191645,-0.3110793,-0.47885728,2.3876615,-1.0404236,-0.8137868,0.68374604,1.8042274,-0.46511835,2.213967,-0.452271,-0.90474474,-0.5369548,1.0685462,-1.9870434,-0.054446742,-1.7987938,2.720017,-0.4320616,-0.09318004,-0.5454498,0.6168763,-2.3441958,0.06388814,-0.6407251,-0.10273263,0.9361766,3.111367
RD-ES,-0.32151055,-0.044273086,0.77587944,-1.1600986,-0.82742065,-0.7105222,1.061227,0.12385597,0.6250761,-0.43524486,5.883633,-0.19528884,0.5616571,1.4243361,-1.17589,1.4891279,-0.33181432,-2.0330007,-1.0619049,0.6584706,-0.0968593,-1.3849845,0.25854933,1.5982698,0.8895944,-1.5487975,-0.9502649,-0.244929,-0.85278213,-1.362618,-0.5091159,-0.8648392,0.7630092,0.17289548,-0.6238926,2.210658,1.6214552,-0.16204432,-1.0112913,0.44399035,0.64978725,1.214489,0.67748123,0.019871518,-0.11355409,1.6717117,-0.6359875,1.0422547,0.31083047,1.207187,1.6086884,1.1807231,0.6389203,3.905683,2.4698367,1.9994295,2.0502908,0.56593895,-0.34518078,0.47718468,0.22207102,-1.084125,-0.7637645,-0.83622724,0.54951245,-0.8406459,-0.49969214,-0.15570554,1.8016443,0.38422963,-0.78270376,-0.19662467,-0.2834582,1.4070659,0.2161783,1.2077003,-1.1697383,-0.58846277,2.4764628,-0.27081162,-0.53223574,0.20070711,-0.15429626,-0.19086422,1.4531307,0.049360625,0.3398989
HCC-56,0.56912017,0.086800694,0.5733835,0.13924624,-1.7078189,0.28743547,0.306364,-2.033974,0.56213796,-0.13816719,-0.005570799,0.86160445,0.09262235,-1.9128014,-1.6071321,1.1941272,0.8701444,0.20257843,-1.6291782,-1.0414273,-0.5900592,0.70422584,0.3237553,0.7449939,1.7655936,-0.56529266,0.031929776,-2.8958735,0.8339808,-0.5800201,-1.8070644,2.3563101,0.57955575,-2.6793175,-2.1309762,-1.7214371,-0.7112372,-1.1763998,1.4686879,1.1695405,1.7554611,2.7077615,-0.2405451,0.62491137,1.303968,-1.44094,-0.500767,-3.2144625,-1.0243037,1.2113358,-0.61657244,-0.89547217,-1.5754044,3.121282,0.4911872,0.9947097,-1.013293,0.9311197,0.79729867,-0.8816674,-0.5060738,-0.3727089,-0.117488556,-0.81049293,-0.25601837,1.4311018,-0.26473224,0.13670029,2.4061716,-0.15247896,-0.2869402,-0.14010781,0.49064454,-0.76121813,0.28427428,-0.0612482,1.0447122,-0.43748042,-0.5160549,-1.7134465,0.8770513,-3.573021,-0.06696808,1.1367348,-1.2288691,0.6023298,1.1866019
COLO 684,0.6800239,1.4011928,-1.2138095,-0.56281465,0.09531593,-2.4445937,0.45388326,1.2172307,1.4540672,-1.4114416,0.0033452949,-0.052225035,4.559312,-1.2018337,-0.92321044,3.648018,0.31121013,2.227249,1.0276132,1.2601106,-0.56079733,-1.222586,0.53727263,-0.33519033,-0.30580798,-0.51268953,0.30583155,3.5852668,0.34088743,-1.6617446,-1.1451484,-2.5509818,1.5990803,1.8436899,0.24068855,1.8645442,-3.436554,-0.2494573,-0.5017353,1.3156204,-0.7944112,-1.2713648,0.53326565,0.45332286,-2.1363978,1.7779893,-0.20145872,-2.5290718,-1.1868033,0.5989432,2.505193,0.6382835,1.9309014,-0.6169667,0.70964384,0.08764462,2.8831227,2.228619,-0.5359702,2.6017842,0.6672299,2.0532005,1.7111049,1.1644764,2.6025722,0.588876,-1.578647,0.2993432,-2.4020553,0.03417954,-1.8703978,-1.9379523,-1.0633284,0.25554085,1.9911234,3.0022273,0.4269367,-0.94586146,1.9874823,-1.1687002,-1.1259844,1.1237204,0.48039237,-1.4405849,0.39043334,0.41290355,-2.333205
COV318,0.9576343,1.6042775,-0.009261165,-1.0935917,0.27252808,-0.7011979,-0.28046212,-0.32984865,1.8313982,-0.96611685,1.7440631,1.2803776,-0.6324126,1.744023,-1.3708885,2.3542335,0.008325405,-3.752235,-0.25431964,2.6864436,1.2656363,0.7462499,-0.28286088,-0.6296826,0.41216058,-0.41638342,0.21471965,-0.9650291,0.24676551,0.40795016,-0.5657811,0.96774393,0.77438974,0.9651192,-0.7621343,1.0337052,1.9978539,-1.2284082,0.8694722,-2.9000366,-0.83173007,1.2689725,0.83416426,-0.13563927,0.6984848,1.6805006,-2.3221092,0.52615887,-2.2103145,-2.926777,-0.6792647,2.3541727,-0.331067,1.1174294,2.2200503,2.2541652,-0.091722526,0.040724467,-1.032285,-0.6692917,0.586858,1.0400627,1.2459613,-2.3190968,1.6929002,-1.15326,-0.83663917,-1.3526242,0.5145179,-2.252196,1.6566852,1.7675434,0.14497812,0.7653456,1.504865,-1.7744384,-0.1528951,1.9831698,-0.31133455,0.79263014,-0.160676,1.2235689,1.1998651,-0.24695134,-1.0246161,-0.70100147,1.032281
MKN7,0.73762035,0.7973803,0.9628336,-0.20759001,-1.4163116,-0.84164065,0.85803,-1.6550801,1.7666117,-0.09421303,-0.7959058,0.39187908,0.3169553,-0.6268192,0.085995056,1.7514993,1.8321196,-1.5011092,1.6952744,1.659245,0.732851,0.40399525,-1.1129072,-2.986027,-0.6026516,1.5037796,0.33778048,0.45536646,-0.5305174,0.31259444,1.7017089,2.488908,1.0826323,-1.9786345,0.984252,-2.607091,-0.86705697,2.0347114,0.40637553,-1.4184144,-0.24585147,0.8830259,0.6870168,0.55526936,0.5072249,0.4920209,-1.8642129,-1.6479684,0.63928753,-0.85627335,-1.7950007,-1.5340208,1.2632161,-0.0010503232,0.01566384,0.12603444,-1.6864301,1.5582219,-1.2521087,1.0708148,-0.59105676,0.3789104,0.15091194,-0.90406454,-1.3798689,-0.44894376,-2.1180162,1.1655934,0.85316366,0.99928087,1.7539935,-0.46330595,0.159841,-0.4194619,0.65276164,-0.30030012,1.2065047,1.8605843,-0.35997424,-1.2830375,-0.46177128,0.55658764,0.012477625,0.62227726,-0.0130526535,2.062922,-0.644421
Hs 695T,0.100062,-0.54595286,0.25489125,-3.1649265,0.5985332,-1.125166,0.48475078,-1.3378911,0.4389862,-2.8219197,-1.3329623,-1.7735995,-0.73913735,-1.0687331,-0.91178375,2.784283,-0.0902252,-0.8663311,0.593024,-1.7036809,1.155259,0.19116186,0.8681106,0.5218096,-2.3633795,-0.15688616,-2.0054135,-2.6355839,-0.8363442,-1.2693263,-0.99730766,0.88638115,0.636617,-1.9629221,-0.427525,-1.3192838,1.9682614,0.59991837,-1.1497512,-0.8898424,1.4234833,-0.5605373,0.61355317,1.9158026,2.0239701,-1.2805886,-1.5462832,2.2222857,0.044627942,0.8404325,0.47445965,-0.26342776,-0.23629466,1.0809425,-2.3582447,-1.0849719,0.9506568,2.1925397,-1.0640134,0.90313905,1.394357,0.5731935,-1.9109159,1.75611,-0.35821772,-2.6722147,-1.8296608,-1.2032639,-1.0367602,-1.9303806,1.5430474,-0.46371967,1.3878046,-1.1488465,0.2709505,-1.6891575,-0.36049968,0.50552595,3.3920786,-0.65329474,0.3170788,0.81012857,1.3977172,1.247857,-0.4609465,-0.039758872,-0.82379055
