,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86
KALS-1,0.84479195,0.10429089,0.44142148,-0.49231154,0.054028966,1.0785098,-2.2036414,-0.69210017,2.4665012,1.6088915,-0.86259896,2.685342,1.3590734,-0.4426641,0.7809731,1.5363818,-0.9306037,0.047552824,-0.005984122,0.86963725,2.0696294,-0.87025356,0.31333023,0.17279342,2.1322331,0.30008692,1.2860905,1.7541844,0.04329119,1.9827198,-0.32534003,0.13252842,0.9422206,0.5645419,-0.23933002,-0.88534474,0.96468264,-0.84630704,0.60384774,0.23009948,-0.21749793,0.6197799,0.91042095,1.3427267,-0.3287168,-0.014038958,-0.79781103,1.2028575,-0.6909436,1.3162929,-1.2221478,-0.40090972,0.59855205,-1.4721313,0.10880926,0.3541027,-0.08076908,0.87932,-0.5346631,-0.7386361,0.57106996,1.7113318,-1.3672836,0.49290243,0.29823428,-2.458024,-0.31356084,0.82390153,0.74812096,-0.26134843,1.1152902,-0.90828717,-0.45460808,0.49011827,0.20564736,-0.014801098,-1.3002478,0.29737976,-0.78363156,0.0873161,-0.54864067,2.075828,-0.24793735,-0.35429925,-0.72324055,1.0743175,-0.9418464
SCaBER,-2.0038078,-0.9650483,1.3662314,0.8983112,-0.13897848,1.5164152,0.432059,0.2109454,-1.3125633,-0.2891076,0.43768948,-1.2494696,1.2749937,0.9202279,1.6312966,-1.1860529,0.21113095,-1.4188215,0.94476897,1.2943941,-1.4674859,-0.76039505,-1.1725508,1.5309664,-0.9673593,1.5919856,0.034532506,-0.16592073,-0.7007596,1.1598438,0.8517722,-0.08372188,-0.44457054,-0.8219044,0.19587168,1.562839,-0.70177853,-0.37724692,-0.80754876,2.8177748,-0.4039248,-1.5335097,0.25814545,-1.420106,-0.119142205,1.5835093,-0.75952405,-0.037205752,0.09762593,1.2484143,-0.9577952,0.44238946,0.10597836,-2.1024687,-1.7011194,0.91742724,0.96798027,-0.6596019,-0.12669696,0.26129416,-1.2367427,-0.66641206,-0.63462734,-0.61418265,0.34506246,0.45464426,-0.7997448,-0.9312379,-0.5374848,0.13990736,2.4709253,-1.5493461,-0.21863717,-0.56472003,0.55732834,-2.0802937,0.11799232,0.84693193,-0.32678092,-0.41228092,0.24656747,-1.3452821,-0.15747848,-0.3136264,-0.5592236,0.26880878,1.2385174
UM-RC-2,1.8681759,-0.04646592,-2.1923506,0.37988058,0.21202049,0.7986603,-0.6104286,-2.066005,-1.7307009,-0.62476563,0.28769597,-0.4501407,0.7567707,-1.0582772,-1.6885624,-2.8539186,-0.08882646,2.7225904,-0.23301585,1.9565728,-2.0930736,-3.416918,-0.39509353,0.32776082,0.349665,1.2646836,-1.0090429,1.7138667,0.6640796,-1.3527468,1.217074,0.1546003,-1.7982851,3.028215,0.4800795,-0.3139871,1.8658937,-2.7239723,1.9631001,1.529184,-0.3056932,-0.50142944,-1.0758096,0.667168,-3.6852214,1.1784371,0.5287694,-0.42862418,0.26110685,1.1634092,1.8955338,-2.248926,-1.856901,-2.6279893,1.4348478,2.2996223,1.729076,-4.056211,0.46347517,1.7010748,-0.33552837,-1.925124,-2.698678,1.8541393,1.3944579,-0.00044097006,0.5380424,1.3847321,-1.2348948,-0.38931668,-3.4238644,0.12546349,-0.93064696,1.2326411,1.0275509,2.1632152,0.5833548,-0.36251837,-1.2281294,-1.5840045,0.7678567,-2.1351044,0.9566926,-1.2658043,-0.15160818,-4.2812357,-0.7881964
DU4475,-0.31592414,-0.18611896,4.338934,-1.9820503,0.2793342,1.7399505,-0.12111707,-2.7714953,0.5516679,-1.5207148,0.6900445,-1.6446105,1.0253742,-0.8742835,0.032809947,-2.3706474,2.2076743,0.21987465,-0.68585014,-2.2742867,-2.4672031,3.1301663,-0.5457323,-0.62531006,-1.2846844,-3.4926443,-2.1828613,-0.966894,0.5095372,1.3684069,-1.5170407,0.23187074,-0.42149448,-0.1992708,-0.3288448,0.45382524,0.9514771,-1.2572165,0.58615065,0.8463891,-0.1562018,0.050247073,0.6301995,1.6448846,0.907401,-0.77222496,1.1349512,-3.0472949,0.21170878,-1.9098791,1.3070327,-0.6214062,-3.215027,4.478529,-1.992566,-0.16394548,1.8755566,0.101915084,-2.717467,2.2197745,-0.26523915,0.6136771,2.1515875,2.4999864,2.333696,0.55447316,-2.3408747,-0.08987257,-0.86775637,1.6031953,-1.3075564,-0.4897837,-2.0087543,-0.5242215,0.96344423,1.6961957,-1.1755972,-1.376867,1.2676561,0.048559595,1.4718764,0.3640431,-0.8460914,1.4924514,0.68070114,-0.69144917,-1.998784
COLO 205,-0.5237006,-0.80216193,1.0329814,-0.649127,-1.8952913,0.8295724,0.5951228,-1.0273789,0.39580223,0.49280876,0.8708317,0.5020305,-0.55484664,-0.36557007,-1.2639596,-0.5831926,0.53321576,-0.21674052,-2.078303,-2.8407545,-1.3165188,0.66437685,1.165863,0.01156183,0.06100783,-0.9029634,0.008502876,-2.0399058,-0.6228317,-0.6068742,-0.6889583,2.3959403,1.4941564,-1.8242524,-1.6196967,-1.2039475,-1.118759,-0.08963752,0.45775703,0.22308378,1.1220727,0.9758736,0.695396,0.27588397,0.14961609,-0.33237028,-0.3320433,-2.3456914,-0.5849388,1.1824819,-1.206087,-1.439976,-1.9405739,1.7999872,-0.5485112,-0.56837124,-1.141764,0.67610085,0.130079,-2.4775908,0.44108108,-1.5179894,-0.15229249,-0.4133476,-0.5758743,0.22676918,0.04186884,-0.39555866,2.6979828,-0.9088404,-2.0918317,-0.15003406,0.17613415,-0.76954216,0.27449793,-0.5355053,1.4579822,-2.039737,0.871348,-0.9438088,0.6920103,-2.7264838,-0.012123365,-0.056009375,0.1602963,-0.03345456,1.3589734
NCI-H1581,0.06831992,1.5475625,-1.2758604,-0.8588775,-1.0824049,0.4624823,1.6273698,0.9633781,2.2412074,0.2833249,1.8470913,-0.018998753,-2.9614923,-0.6615331,-0.3272763,2.3659327,-1.5387609,-1.4371738,-0.93203455,-0.6235358,0.50133765,-0.6247391,-0.52874404,1.1919557,0.5682761,0.61591065,-0.71771735,2.2342262,-1.8587742,-0.8373311,0.9530287,-0.43928814,-1.9806751,1.7971603,0.88188934,-0.25045606,0.44880813,-0.9900375,0.4712824,0.8771976,-0.51900893,0.44490758,-1.3162547,-0.1398533,0.5745051,2.187736,0.2670223,0.8951745,0.5757022,-1.5020512,3.0700786,0.6543221,0.023005769,1.2180504,3.5348437,-0.44804746,0.17165995,0.79923,0.13021907,-0.8315341,-1.3387955,0.8125684,1.4901115,-2.2551773,-2.0404441,1.0770154,0.0018219874,1.7334886,0.5153937,0.0627873,0.46173635,-0.39563408,0.6660791,0.047070563,0.41581085,0.7661409,2.8058805,-0.86122406,-0.20704883,1.2043593,-2.0562952,2.778212,-0.79035497,1.995304,0.9507956,0.6930425,-1.7281063
SW1463,-0.81039023,0.07652827,0.07235964,1.7290345,-0.09601307,0.22516772,-0.9252391,-2.775766,-0.48655546,0.28205103,0.014265085,-0.22923021,1.8060894,-1.4948752,-2.0437205,-0.3975565,1.0738322,0.76398784,-1.4885588,-0.15373817,-3.304391,-0.013176295,0.11845366,0.85360587,1.2340835,-0.73891735,0.95101124,-1.4799048,0.9299835,0.14465368,-1.0690897,0.07575978,0.83193576,-1.7414333,-0.88588846,-0.6392734,-1.4563806,-0.9657742,1.330211,2.087532,-0.00339254,1.7276616,0.9793239,-0.37412232,-0.33004397,-0.94397336,0.7032855,-4.060287,-0.44594264,0.70494556,-0.089664266,-0.9214938,-1.1200086,2.1671143,0.03191202,2.8638873,-0.1373429,0.5806999,-0.052886307,0.48696372,-1.4003195,-1.092688,0.65175,-0.58546036,0.070328385,0.28125614,1.1486158,0.35076395,0.9659364,-0.44131136,-2.1931632,0.81426805,0.58728874,-1.5086881,0.43141818,-0.1656545,0.5890244,-1.0316792,-1.005914,-2.56299,1.1691365,-3.4629226,1.0012586,-0.3693406,-1.0875746,-0.93362737,1.081211
MKN45,-0.59860235,0.5927113,0.14901228,0.6740765,-0.49013555,-0.12578396,0.4961886,-0.7919536,0.0038093925,1.2357066,0.8537416,-0.101576656,-2.5857267,0.50538146,-0.6100714,0.26378354,-0.47991714,-0.93639165,-2.1455438,-3.5398533,0.3116967,0.07766767,3.398692,0.30838272,0.11689007,0.11868939,0.39051256,-2.050199,-1.5957414,0.426045,0.82437795,0.26945883,-1.0683088,-2.010711,-1.0437953,-0.08359663,-1.689161,0.23235442,-0.32450238,1.5674897,1.1483845,-0.20325151,-0.29087466,-0.73310757,0.83645946,0.8440188,0.0013520075,-2.2776723,-0.051533304,0.6133552,-0.5177733,-0.11047377,0.13053831,2.175574,0.14551067,0.9015532,-2.2909815,0.767166,1.0360934,-2.6617951,-1.3805397,-0.4872441,0.57176113,-0.707242,-1.0128993,-0.03740474,1.4759067,0.3468129,3.1032763,-1.4803747,-0.51882243,1.0910732,2.1454127,-0.85897034,-0.44813997,-0.027296185,1.7630564,-1.1672437,-0.32607317,-1.0838953,-1.2645649,-1.0065289,-0.31324357,0.95097756,0.7469273,1.1067271,2.3987072
CHP-126,1.4405736,0.42501295,-0.7301987,0.07292997,-1.4230767,-1.062982,1.5173459,0.07401682,1.2497979,-1.7099046,0.3339943,-0.6472652,-0.28606513,-0.2771371,-1.273342,1.379343,0.3582196,0.23901674,0.5047569,-0.6533701,0.008655414,0.42746973,2.2863507,-0.7303945,-0.3910101,-1.8717358,0.5641265,3.4059427,-1.7788626,-0.60637844,-2.9912283,0.12867916,0.6244486,0.27357897,0.5431493,2.9859939,-0.3477368,0.1735689,-0.7697904,-1.0117296,0.42199665,-0.14491066,1.3360462,0.11912754,-2.6058106,0.93661046,-0.2495063,1.5498904,-0.20727928,-1.2829394,2.6802452,-1.0774884,-0.30467027,1.9030458,0.1729898,-0.728,1.1607994,0.34984583,-0.76463336,1.2083243,-0.46352988,0.054598376,-1.0009857,0.18936682,2.4316928,1.4195268,-2.9569633,-0.29988915,-0.9705478,-1.496881,0.21983205,-0.85273933,-2.5387223,0.62196064,-0.34659588,2.5384643,-0.3544508,-2.5786564,2.3253932,2.8638644,0.29625177,1.7192191,0.4184512,1.0034387,-0.17740741,0.362189,-2.222518
T.T,-1.893977,-0.97244906,-0.017050646,0.2670409,-1.1528945,0.809831,1.1497892,0.085411444,-2.6122718,-0.49354315,0.63883454,-1.704192,0.5645709,1.1801722,2.4954777,-0.9235095,-0.4054173,-2.6616566,0.94228745,0.02970537,-1.5660553,0.44618475,-0.9873556,1.5547662,-0.006781075,0.0050681913,-1.8995978,-0.6623185,0.008856531,-0.613476,-0.18395755,0.07624664,-0.3817914,-0.37615865,-1.4179705,0.05524636,-0.8867072,-1.7521274,-1.4025384,2.025778,-0.022064518,0.39347553,-0.16130443,-0.06510019,0.21868719,0.9837614,0.61323535,-1.5112005,-0.492927,-0.4096073,2.2188199,0.67472285,-0.6278237,-0.90230685,-1.1321354,1.3474274,0.17258815,-0.80604583,-1.196161,-1.9509761,0.31362146,-0.9848223,1.5043535,1.4733137,-0.48558056,0.1911947,-1.278426,-0.70905435,0.7495535,-0.56270355,0.31953844,-0.64329034,-0.5138991,0.54947746,-1.3760253,0.938408,0.269966,-1.1874533,0.7101119,-1.8466693,0.23351574,-0.62830555,1.2782106,-0.15696359,1.6429118,-0.19170712,1.59713
KU-19-19,-0.98834634,-0.21673295,1.183563,1.3542328,1.0635449,1.1779705,-0.88456476,-0.45582646,-2.2579265,-1.1229359,0.74253505,-3.0974321,0.07699397,0.20852862,1.2362473,-2.9521756,-1.1474117,0.49383014,1.3183756,0.03383232,-0.8624074,0.37392026,1.42178,-0.056307323,-0.12875289,-0.12232365,-0.8746671,0.1441928,-1.0460064,1.3906028,1.9083208,-2.2915115,-2.2434356,-2.2886298,0.81727564,-0.23857403,-0.21273036,2.0140965,-0.4477112,2.938372,-1.9172283,-0.6265799,1.3703457,-0.14579011,-1.5924519,-0.3675728,-0.043114685,-0.33954877,2.0746963,1.9466348,-0.022087354,0.22010231,0.5971234,1.9958943,0.47977775,2.2793293,-0.060576364,-0.98677546,-1.0690762,2.120309,-2.0170443,-0.60256857,-0.82204455,-1.0643303,0.6426436,-0.79074544,-1.302213,0.9930832,-1.1971781,0.5387452,1.5391581,-0.9683303,-1.032219,-0.52895504,-0.08766218,1.320409,-0.1643533,-1.0870025,-0.00022346154,-0.7263577,-0.8388258,-0.90148515,0.45117354,0.7551489,-0.3592411,-0.19481273,-0.25530404
LS1034,-0.4786932,-0.58167297,-0.12239997,0.8239098,0.7937952,1.4558731,-1.025914,-3.900499,-0.1966329,-0.29893565,0.38873854,0.2739109,1.3480219,-0.9571747,-1.7682648,0.429729,1.5035231,0.39523458,-1.527805,-0.9535763,-1.7533276,0.32170197,0.40564114,1.2414,0.55717695,-0.76019764,-0.8611092,-1.7797828,-0.256311,-1.4665449,-0.48156977,0.75185406,0.43071726,-1.2356446,-0.6056085,-0.7438296,-0.5168704,-1.0097783,1.6134762,1.4243007,0.61105955,1.8646716,1.0966822,0.61061805,0.28662866,-0.6762054,0.14412832,-3.4190295,0.27748862,0.21668573,-0.8261616,-0.0637127,-2.3453996,3.3368127,0.13498598,1.2114203,-0.93151,1.0423343,-0.35539722,1.0662084,0.137796,-1.0547771,-0.89483124,-1.0249606,-0.049110834,1.4441378,0.0005699098,0.045066275,1.2295616,-0.073023774,-1.7940767,1.6745377,-0.3678882,-1.0706027,1.2146423,1.0370989,0.53899217,-0.6709766,-1.5851687,-2.504979,0.14729056,-4.4374394,-0.026934436,0.54715955,-1.6655957,-0.3689822,0.24571076
SIG-M5,0.011933673,1.1042395,-1.7624407,3.0553355,1.3196156,0.0012754202,-1.5922844,2.9953558,-2.61374,0.15843737,-0.5467699,1.337263,-1.5713701,-0.6997253,0.57907414,0.6920619,-2.5733266,-2.5411053,0.95511526,2.1483495,-0.5906517,-0.34969193,-1.9555945,-0.46711996,0.32791477,-0.92132443,2.7929525,1.5053164,1.5187715,1.0683495,-0.5426027,-0.47785106,1.6671696,-0.34103873,-0.93783194,1.2711653,0.35193747,-0.00193654,-0.3404263,-2.603268,0.12564752,2.2330906,-1.2634048,-1.9754463,0.15086642,0.10600777,0.81485057,2.14465,0.70085645,-0.3608017,0.29024512,-0.9308747,0.9546168,0.41115,-1.3954474,-1.1323779,-0.20070404,-0.63458073,1.598187,0.976566,-0.40546337,-0.64987564,0.4067321,0.36402458,-2.7118936,1.6039709,2.1637437,-1.0150876,1.5916128,-1.8735372,-2.7122211,1.3857976,0.2410118,1.3075168,0.38248765,-1.8847178,-0.5703731,-0.9334691,0.35193598,0.14716338,0.027826587,0.83803964,-2.036261,0.18287659,1.0526961,-1.4608825,-0.090894066
LNCaP clone FGC,-0.56915814,-0.8277873,-0.48328617,0.072268486,-2.2250166,-2.1996458,0.26983306,-0.5664011,-0.9265682,-0.58287376,-0.6874603,0.30150357,-0.5857109,-0.31469443,0.11757614,-0.18277305,-0.58678955,0.67432743,0.31717905,-0.33521983,0.467049,-0.88365334,1.8607852,0.5631851,1.2269609,0.5465894,-1.8294133,-0.71780056,0.8439164,0.15062106,-0.26248172,-1.1074564,-0.75701827,-0.76639116,1.3950936,-1.4249783,-1.3129079,0.84258235,0.8323925,-0.5751087,-1.6279504,-0.12582654,-2.94046,-0.76565045,0.17243119,-0.25715333,2.4976125,-2.6445992,0.25901723,-0.9742117,3.3160923,-0.44831422,0.27183938,-0.6293734,2.31033,0.5318236,0.21840456,-2.0466185,1.3893735,-1.154377,-0.67140436,0.5852124,1.8024449,0.61377394,0.7428491,0.36526132,0.73750794,-0.38265574,0.9768475,2.2661843,-3.6651816,-0.5175711,2.1086512,-0.20108691,-0.45525616,1.9516261,0.24666893,0.26950914,0.6200433,-0.49187928,0.36677703,-0.013403961,0.3069875,0.69764197,3.4612963,-0.6210721,-0.16164163
NUGC-4,0.7022107,-0.21076968,-1.1077573,0.7993142,-1.2409854,-0.5672902,1.3731157,-3.183289,-0.9083949,0.8539734,-0.8834551,-0.8216512,-0.7362198,0.45296735,-2.3418994,0.15135461,2.141102,0.47696298,-1.9434742,0.07297596,-0.5869396,-3.2068985,1.0830228,0.5505942,-0.42809057,1.1286366,-0.02041148,-1.7962406,-0.10383921,-1.2761219,0.5579179,1.3060539,-0.34015855,-0.75475323,-0.09119424,-2.1984398,-0.2968217,0.69347435,0.23361742,0.9690988,-0.36533678,0.11830326,0.13675053,1.102257,-1.0685184,-0.9038595,0.8533372,-2.578002,-0.77313364,-0.32807794,1.4206923,-1.9173151,-0.596207,-1.6087351,-0.997419,2.5681572,-1.5941362,-1.2795475,0.4396946,-1.9967241,-1.3402501,-1.2701888,-0.027202446,-1.331185,0.04693496,-0.7573821,1.2464324,-1.0013164,0.46240878,-1.9898903,-4.4537854,2.3037863,0.39899123,-0.12843046,-0.5040255,0.81005013,0.73450637,-1.1610575,-1.0482619,-1.6960553,0.80083936,-2.9515486,2.8297033,0.07669112,0.94239587,-3.273798,1.2356088
PSN1,0.6949838,1.2162035,2.2912316,-0.63710886,1.552288,-0.79442,-1.6653378,-1.8233706,-0.7222436,0.80162185,-1.4837748,-0.5658108,0.4817506,1.076172,-0.18160412,-0.38329488,0.589543,0.82407236,-2.4733932,-1.6269432,-0.06550626,-1.1109291,3.6089423,-1.0538565,-0.10763292,-1.2805339,2.0587585,-0.8421279,-0.077629805,0.5833776,1.7125192,-1.2701857,-1.2828964,-0.63041,0.29077736,-1.4958745,-2.7160525,1.0307138,0.2506629,0.74644905,-0.6840505,1.0746105,-0.24232356,-0.37136495,0.18178007,-0.12334383,-0.05081068,-0.5727771,0.24658693,0.07849087,-1.8389194,0.057046838,2.0457325,1.4689287,-2.308463,-0.14014341,-0.2594553,1.3852184,0.3874221,-0.000957869,-0.3981095,-0.24305323,-0.82212394,0.39919952,-0.56153154,-2.5362358,0.5088909,1.8093697,0.005425865,0.02768442,0.2978986,1.8494861,0.57334423,-1.7518828,-1.031516,-0.011142455,1.4430332,0.02224888,0.675613,-0.3544783,-0.88462037,-0.46643722,-0.86906075,-0.4500683,-0.78262746,1.5275354,0.46269473
Hs 746.T,0.38428006,-1.4423242,0.9698379,-0.27824745,-1.1175891,0.40312144,0.7634192,0.89423996,1.9596828,3.0533793,1.2616217,0.60613513,-2.143489,-0.5073472,0.53519684,-0.21824445,-1.7024194,0.06096004,-0.11607749,-2.3384342,0.09598722,-0.7923512,0.3252132,0.5305145,-1.4048584,0.28556412,1.1622592,-0.5531859,-0.47248808,-0.20517957,0.7807129,-1.1329185,0.35131407,-0.8325963,2.0175295,-3.1117582,-0.7172882,2.3790598,0.356428,0.47147486,0.34082192,-1.7906072,-1.9048871,0.64441824,0.68916905,-0.9807943,-0.08571361,2.1551533,1.3880018,1.7224089,-0.9994193,-1.6633354,-0.13821028,-0.98094237,-0.73610073,-2.0639768,-1.0717199,-0.6729319,0.3118303,-0.9251798,-0.10436931,-0.22742657,0.33258805,-2.9068403,-1.4154917,-2.7181509,-0.62555075,-0.44960082,0.41832688,1.2272509,1.377953,-1.5346761,0.5443147,-0.81790483,0.8927521,-1.4185903,1.4133753,1.2138054,0.32821816,1.08752,-0.04104036,0.2476246,-0.9441937,0.13621345,0.09859875,0.26945502,0.5657826
CMK-11-5,0.79661083,1.275173,-0.19417319,-1.3224597,-0.24199367,-0.9441639,-1.019667,2.4509265,-1.0596716,-0.84356356,1.1401082,0.8673105,-0.6140498,-1.0661159,0.20069471,-2.2862473,-0.69848543,0.85869676,-1.5249104,-0.53536826,-0.746519,0.012815237,-1.206789,-0.6954069,-0.3384617,0.17895949,0.73561656,0.6141846,-2.0128653,0.19542037,-0.30234534,-0.9021153,-0.8380976,-0.44321084,-0.012190171,-0.2114153,-0.7553329,0.050789356,-1.1706144,-2.338427,-0.30787408,1.1897845,1.4284366,-1.09133,0.55509126,0.283955,1.8603581,-1.2673082,1.3238145,0.2949056,-1.6595463,-1.1070477,0.28240034,2.0327408,0.50014615,0.894476,-1.2219537,-0.43917158,0.11246276,-0.8832353,0.5905775,-2.4487226,-0.65095204,-0.9750232,-0.32904416,1.590204,0.36258563,-0.33153892,0.8971936,-0.010336354,-2.0750437,0.8386014,-1.8554139,1.4605777,-1.4537413,-3.4093964,0.43513757,-1.6466752,0.23205733,0.0320484,-0.23017666,2.9252405,0.87934583,0.5138102,-0.10796812,-0.1264983,-2.185858
ALL-SIL,-1.9042746,1.178539,1.7384673,-2.230317,-0.024713576,1.7617983,0.18249631,2.3588357,-0.5175255,-0.79549915,1.7410817,0.17867364,0.2962117,-0.022465065,-1.5076267,-2.165859,-1.4413239,1.1188339,-1.7101997,0.0016305298,1.0230736,0.2812591,-0.96473235,-1.6224177,0.12719752,-1.8302567,1.2076218,-0.10180671,-1.7620399,-0.89535934,1.497259,-0.037575237,2.405694,2.1124773,-1.090446,0.4711918,-0.5544199,2.8080857,-0.20639867,-3.494573,-0.2504628,1.895575,2.0727909,-1.714294,-0.3442921,0.46720308,-0.83586127,0.46804225,-0.79149246,-0.8777642,-1.315447,-0.26442707,-1.0128434,1.2810006,0.62449783,-0.035400297,1.2864177,0.2080841,-0.02183602,-1.8989688,0.6904874,-0.5112157,0.7804566,0.32680804,-1.8849971,0.17431675,-0.99333036,1.1955379,3.735646,0.77134174,-3.4673765,-0.1943202,0.66243535,-1.389709,-1.9620377,-1.7538328,-2.9336286,-0.8617259,0.27839628,2.6662729,0.2767061,-1.2089164,0.30503213,-1.2633382,1.8511466,0.7506029,1.5178869
JJN-3,-0.19815007,2.2867894,0.3775564,0.20435,0.29138696,0.6261321,-0.5438952,0.1949312,-2.6768167,-1.5484508,-1.2670509,1.0457588,1.6909511,-0.8633828,-0.7099493,1.0825425,0.31627765,1.5878638,0.30399427,1.9827147,0.17417848,-1.2688367,0.68516755,0.80467325,0.14033842,0.027722655,-0.30122727,1.1960208,1.2414055,1.0264541,0.18716636,-2.5572586,1.2178609,2.1619365,-1.2381597,-1.8110907,-1.6775943,-0.91885656,-0.5622954,-3.1272738,1.1681943,0.63931435,-1.3288846,-1.4906149,1.1407796,0.24597843,-0.49806568,-0.4164604,-0.011570707,1.8101623,-0.51324856,-1.198142,0.6389634,-1.3476361,-1.9896996,-0.25447273,0.6601393,-0.7592784,-1.8102145,0.9875155,2.850956,-0.79651636,0.5296279,1.606565,1.2964169,-0.7505937,0.1649929,1.673856,0.7479466,1.9465973,-5.2199864,-1.564079,0.2654764,-1.8748126,-3.2184849,-0.32494372,-2.567022,-1.94733,-0.2040576,-1.6143367,2.21396,-0.20477074,1.8566312,-0.44764492,-0.25626537,-1.3966278,0.46138865
NALM-1,-0.836635,0.045648,-0.6890717,-0.63570815,2.342349,1.1591476,0.15588313,4.736036,-0.6263909,-0.55080736,3.0490866,-1.3038507,0.050006866,-1.2493882,0.7760516,-1.2240471,0.020655304,3.4130032,-0.14193262,0.5797368,-0.23903388,1.2647123,-2.831554,-0.7351087,0.26137763,0.012595817,-0.1279523,-0.90923154,-0.99430275,-0.24582854,-1.8982648,-0.37907225,0.4136303,0.013616115,-2.6296644,2.225012,0.35444814,1.452005,-0.5816895,-1.5829701,0.40796775,-0.34691498,-0.33292803,-1.2640377,1.7555133,-2.366127,-2.1574583,-0.9441572,0.33673745,0.37361282,-0.7107973,-0.26539198,0.1265668,1.7071602,-0.32541287,-1.822073,2.50148,-0.16209725,2.2439334,-0.20675829,0.6138268,0.021245427,-1.3453394,1.3533994,0.83090454,0.15803209,1.5636556,0.2972723,1.3048034,1.8626769,-1.992482,-0.64944637,-0.1895673,0.017910272,0.26361,0.37301472,-3.1170173,1.5882674,0.62578285,0.24949141,1.3336349,-1.3174442,-1.5651052,-0.17623666,1.0100155,0.3771085,-0.34105605
COLO 775,0.43888807,1.3851863,2.67029,1.9842112,-1.0568976,0.38933006,-0.3193174,-0.81212157,0.05162315,-1.1587858,-0.3479943,1.7314062,-0.23341653,-1.9852482,0.30026868,2.011883,0.67888117,0.1482962,0.16103227,1.1056887,1.1302602,-0.1831322,-0.57353276,0.1512533,-0.35339314,-1.2261925,-0.9471535,0.31059292,2.6342351,-0.12632215,0.072274595,-1.3335168,1.7490517,1.7397567,-0.9499074,-1.4638754,-0.6797124,-0.9514396,-0.33740607,-3.6914873,-0.23089853,0.32196772,-3.5358024,1.1578975,3.0563946,-0.7037717,0.3738584,-2.5984492,0.14507894,0.9528361,-0.18839616,-1.2801403,0.5472931,0.47077525,-1.5330253,-0.1610073,-0.27471384,-2.7402158,-0.19937527,0.50550956,3.043154,-1.4483094,2.384104,-0.15566763,0.35773486,2.62053,-1.862731,0.665381,1.0091152,2.4622786,-3.6681247,-1.6836725,1.347762,-2.491464,0.117412835,0.3841595,-2.9994829,0.8323563,0.12955981,-1.0873822,1.3165618,-0.21089095,0.012433797,2.1184757,0.054668736,-0.8908807,1.5145724
COV644,0.5254751,0.5339422,-0.027081398,0.33715448,-1.4760125,-0.3773973,0.9502804,-1.9083799,1.0798064,0.83218163,-1.7635221,2.3851042,-0.3609459,0.3392332,-0.841642,0.3709817,1.4814041,-2.5199656,0.0172709,0.40962094,2.113026,2.0066428,-0.33707213,-1.4840571,1.6801631,0.4451057,0.49625435,-1.9373161,-0.24692167,2.0481973,-0.09999037,2.5551646,-0.48410153,-1.0931293,0.16196829,0.85609853,0.17178588,-0.38972333,0.6056487,-1.0933454,1.2176232,0.70227516,1.4212476,-0.5775541,0.7155079,0.016249787,1.1242875,-0.68061274,0.05387552,-2.5772521,-1.2355304,0.9777765,-0.56808865,-1.059939,-0.552871,1.9771149,-3.4867089,0.8031634,0.29749265,-0.35519314,-1.070773,2.3204393,0.37455744,-0.067065716,1.337908,0.8335981,0.39959395,-0.7855954,0.31899223,-0.2578993,0.35595995,1.1445699,-1.2851651,1.4081255,0.13067842,-0.6956776,0.5894808,1.0683919,-1.6597987,-0.73438245,-0.73530763,0.14443979,0.05690012,-0.46474245,2.0639005,0.0007921457,1.4766134
F-36P,1.9427942,0.4513541,0.585601,-1.0666596,0.8657847,-2.6537971,-0.3156435,2.9236488,-1.1016519,-0.5791687,-0.46976197,0.8841364,-0.32543537,-1.327473,0.7667169,0.22245666,-1.3063955,1.4145771,-3.0403864,-0.33229977,-0.87601686,-0.58913404,-1.5353897,0.5500289,-0.9431881,1.721921,0.60355777,0.8935173,0.47698218,-1.5515476,-0.975017,-0.9117565,-1.3846823,-0.13094507,-1.5463144,0.29967532,-1.1821688,-0.5170095,0.25284362,-2.522581,2.151932,2.2653275,-0.24745229,-0.68096286,1.5803909,-1.1217582,3.6341877,-1.9009395,1.2270318,1.164826,-1.3667412,-0.6952487,1.6695167,1.6325467,-0.02525568,1.7837489,-0.5282113,-0.036272984,1.997327,-0.43081927,1.5734493,-1.093562,-1.3440936,0.12641446,-1.1078658,1.5274849,-0.6738804,-0.07748372,-0.67390233,-0.071543545,-0.39256954,0.37790084,-0.90269303,2.003172,-1.1427677,-4.112687,0.81357735,-0.20179668,-0.008165553,-0.31221616,-1.2534914,2.4224617,-0.19576477,0.09186634,0.6929589,-0.23442547,-1.9934746
