,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68
HDQ-P1,2.2537565,-0.5517962,-2.5163417,-0.48651627,-2.0532162,-0.32795826,0.52161735,0.35062796,-0.32073677,-0.26533264,-1.5942365,2.1139138,0.50007147,-0.04684377,-1.2787914,-0.62693626,-0.0061123148,-0.5018203,0.023958271,0.04723928,1.8514171,0.12316521,-2.333315,-0.6798443,2.4860752,0.05803365,0.04225646,1.0212336,1.433869,-0.22079694,0.4961878,0.4223971,1.2880967,-0.23651853,-0.18847467,0.10948662,-0.49881953,2.0389879,2.513126,-0.7279047,-0.712256,-0.5339711,0.065278485,-0.6639987,-0.0039994307,0.40875095,0.6766775,0.23264542,0.3614245,-2.334504,-0.5247962,0.35114712,-0.15009233,3.0926747,-1.1731741,0.43943742,2.2193594,-0.53096837,0.6186712,-1.1552078,0.7766991,-2.60288,1.0046011,-0.7142459,-0.71999276,-2.7146676,-1.0195704,0.7976511,2.5326104
HPB-ALL,-1.1486762,-2.794195,0.48559007,-0.13535553,-0.10144424,0.82542026,1.2406319,-0.3012781,0.60837233,-0.9233518,0.10677567,0.17411456,-1.048921,-0.6194974,-2.2476828,-1.045503,1.2021868,0.998209,0.11945999,-1.080297,-0.5468603,-0.76722324,0.9612409,0.11153301,-0.8616797,-2.1068447,-1.0688474,-1.6131053,0.35664487,0.7138512,0.30959532,-0.6769251,-1.0568665,0.11122927,-0.40011033,0.51582754,0.2038854,-1.7331319,1.1950803,0.8495421,-1.9909749,-1.8820702,-1.1560119,0.70021915,-2.9486911,0.3332074,-2.739102,-0.004124388,1.8990884,-0.6993424,0.7463897,0.66765076,0.03685516,-1.0460536,0.259286,-0.698718,-2.1617322,-2.2631712,0.6800783,-0.05370708,0.5275203,-0.097251534,1.3972943,-1.2503734,0.28904155,-1.3527405,1.4045819,0.9514549,1.0558387
CADO-ES1,-1.4544744,0.17061158,0.050652407,-2.0371456,-0.55627364,1.8502413,-0.8799266,3.3289568,0.49514198,-0.535078,-0.621661,2.240463,-0.07668579,1.5477388,-0.9715067,0.74730265,-0.12714972,-0.8629724,-0.8744372,-1.9402282,-0.32558843,0.51732713,2.175153,-0.86250746,-1.6480576,-1.1222501,-0.025618985,-2.2543314,-1.1389326,-1.6532683,0.55374014,-0.02850305,1.3784562,-1.7187154,-0.48000687,-1.1234754,0.41235393,-1.834832,-0.8712306,-1.3050458,-0.5657874,-0.44784883,0.23333302,0.15902711,-3.6685302,-0.72147113,0.47785312,0.64985317,0.850963,-0.5987159,-0.12581894,0.17600147,-0.40664935,0.74863327,-1.529352,1.6747626,-3.0052688,-1.8928082,-1.4562213,1.5660443,-0.7316737,-0.38365275,-1.102387,-0.4341556,-0.97058827,1.220406,-1.0430201,-0.1629421,-0.36362082
SK-ES-1,-1.5187981,1.8996053,-1.0847019,-1.3564385,-0.56998706,0.22096863,0.35459936,1.1686662,0.93554515,-0.3894879,0.2674339,1.4606785,0.9845456,0.4279539,-0.4174699,0.3450364,-1.1661836,0.4312053,1.0833025,-1.1016997,0.030775858,0.05919911,2.3427339,0.08840122,-2.1990817,-2.33999,0.46364328,0.8469804,-0.10664797,-0.17416619,1.4373403,-0.8560069,-0.26165637,-0.040338613,-0.859777,-0.5602557,0.6016467,-1.0870879,0.62516093,-1.9608152,-0.39162052,-1.7430999,-0.6021225,-0.17872067,-3.8780923,-0.7571769,0.52899885,-0.3418364,-0.22234668,0.8058796,1.1552838,0.80314445,-0.0037190933,0.129824,-1.9400525,0.3420158,-2.7396286,-0.24240033,-1.4464688,-0.19124945,0.4303489,-1.0062639,-0.954359,-1.0752327,-0.90405244,-2.2739813,0.9786319,1.6414286,-0.5530592
ONS-76,-3.3150737,2.3937194,1.7704961,-2.1316035,0.39645302,-0.22337808,1.9399388,0.12104043,-2.0124435,0.36410737,1.7309059,-4.6344705,0.85679513,-2.1819284,-0.7076089,-0.0037338696,3.6225882,-1.4608302,0.5006149,-0.0025157677,-1.6281226,0.42428866,-0.67572564,1.4781098,-0.21732444,1.6141821,2.8971462,-0.0035764873,0.26454467,-1.2063621,-4.1718593,-1.1389203,-2.741769,0.41884488,-0.93675566,1.5150787,-3.7662466,1.021431,-4.6086,0.27748534,1.4237038,1.2428129,2.3489285,0.6290047,4.666065,-0.203242,-0.6990017,0.9493445,4.8150697,0.1647948,-2.7749383,3.4957724,3.922422,-5.4098597,1.4002151,-3.049019,-2.0561652,0.01830057,-0.30070582,-0.43247676,-2.713122,-1.4963217,-0.29962552,2.4462206,-2.7680547,0.25693488,2.7556696,-0.32434168,-1.1453797
OVK18,-1.3653201,2.2968748,0.2325648,-0.92686576,1.4529736,0.062207207,-1.9928721,-0.315086,-0.7761168,0.049564064,-0.10630141,-0.28981817,-1.5256379,0.13813068,-0.9942186,1.3512783,-2.5217607,0.11389399,-1.777049,2.7060468,-2.231823,1.2851841,0.22733301,-0.5600218,-0.49003673,0.6835806,0.38622403,-2.8853807,0.04813899,1.6895363,0.82144123,0.63796055,0.30697036,1.4179102,-1.2063601,-0.34769464,1.2863758,-0.8523687,1.2944663,0.61005676,-0.53695655,-1.8969445,-0.062476687,0.104192235,-1.2784691,-2.244121,-1.0933063,0.49222696,-0.031357072,0.29196477,2.9655488,-2.402286,2.751264,1.0042366,-2.2089643,-0.047969554,-3.4369419,-1.1678069,0.02203048,0.09013681,-0.70933473,0.2534532,-0.49461225,-1.5162789,0.5490339,0.53882384,1.3541226,2.3835413,-2.8530407
PCM6,-0.19255558,-1.8509094,0.43623883,-0.36664283,-1.6001058,-1.2570713,0.90838206,-1.2500793,-0.32165477,1.4153525,-2.723775,1.6314257,-1.3986671,2.9232194,-0.48371485,-0.15208009,0.5501777,1.3490508,0.86697716,-1.4073191,-2.977611,0.1194428,0.7184517,-0.8026471,1.6933978,-1.23864,-0.17012413,1.5150006,-0.5769812,2.1178734,0.41502154,-2.9117904,1.8194976,0.24678764,-1.45504,-1.1217473,0.19091499,1.7162018,-2.174841,1.4215591,-2.4079423,2.0189073,-1.0422846,-1.2555436,-1.0928843,1.7438787,-2.4609866,-1.4770459,-0.7098658,-0.9102243,0.64589804,-2.2192683,-1.2187227,-1.9235108,-0.29579362,-0.20726201,-0.9592527,-1.6331265,0.3881465,1.1031754,-2.3254135,0.083886325,-2.4298618,1.031155,-0.51724285,0.09068386,-0.271442,-1.833415,1.6048695
Toledo,2.8695254,-1.583466,0.20815107,0.85217744,-0.2419887,0.064510114,5.6370378,-0.5392351,0.74513566,1.0282146,2.1778927,-0.14236106,0.109517984,-0.101538,4.1393867,-2.2482562,-0.84582853,0.08081767,3.0244818,-0.35903165,0.96124685,-2.5781355,-0.72677654,3.3247411,-0.3975471,-0.78925395,-0.8636636,4.661463,-2.6485844,3.1127872,0.96306473,-0.42599577,-2.02529,-3.425231,1.855148,0.17187801,1.7961998,-1.5360616,0.16128613,-1.6453648,1.2237201,-1.0964382,-1.8579673,0.26117224,-3.00652,-1.469571,1.5306991,-1.7913339,-1.5786573,0.59048784,1.6228783,-0.5144514,1.0130842,-0.02173621,0.75360006,-0.8747173,1.8226837,0.043992713,1.0244862,1.4250456,1.4173837,1.2055327,4.4141846,1.5476964,4.30449,-1.374055,-4.274859,-0.501528,5.097079
SK-N-FI,-1.0986991,-0.017674847,2.2528508,0.06545021,0.2492149,0.901038,-0.9668446,-0.69138527,2.0023353,1.8961043,-0.61582583,-0.7162808,1.258414,0.21658847,1.5414466,-1.3169016,-0.06391447,-2.148186,1.915693,0.63189965,-1.8997452,1.2817861,3.4502783,0.06301915,-2.487233,1.4519523,1.8619341,-1.8282282,-0.97323126,0.7493511,1.9322637,0.63049585,0.7492081,-3.9799826,1.503896,0.076943,-1.688875,-1.7213509,-0.05246573,-0.83304954,-1.2940068,0.4471842,0.33032876,2.650571,-1.4286197,0.09895703,0.78491724,0.82915336,-0.63828754,2.0060675,-1.076803,-1.6830254,-0.42486998,-0.077974066,2.0433886,-1.3201578,-3.3589594,0.53956115,-1.175255,-0.28908914,0.21184132,0.083781034,-0.8918551,0.91783094,0.36229846,-1.2642777,1.6883519,0.66784936,0.19045576
BHT-101,-2.8305802,-2.4569774,0.21471366,-0.81956315,-0.59618354,-0.7424231,-0.757176,-1.8847759,0.19324616,0.55488515,-0.87865376,-0.015811332,-1.8307911,0.030469945,-1.1064513,0.5800554,1.1909889,1.901467,4.099271,-0.2665545,1.4662715,0.56027555,1.5540053,-2.5813894,1.3186274,-2.146182,-1.5782297,4.1731715,-1.012082,2.9047797,-1.0361717,0.7858369,-0.5907744,2.2018652,0.17847213,-0.17118952,-0.8180799,0.6439465,-0.62534106,-1.1848403,-2.1188328,-1.6233376,0.9549656,-0.87679636,-2.212494,1.6383704,-0.6754221,-0.12193411,-0.36013043,-0.74899757,0.09933865,-1.2993981,-3.4911292,1.3839031,0.49491772,-1.9346383,1.2820157,-0.2242888,0.75330305,-0.8637318,-1.2446957,0.34095812,-2.27154,0.70824087,-2.0373037,-2.3689997,0.5810619,0.42929924,1.4503423
LS123,2.524478,1.0786923,0.26955122,1.2595415,0.20886695,-0.40483117,0.41420925,-0.70715386,-0.726357,0.21318422,-0.8543443,0.33139938,1.0082065,-0.9887811,-0.5504257,-1.1466906,0.65624493,-0.7253363,-2.3333647,0.08791971,2.2024963,-2.610024,-0.7048011,-0.6701801,1.0293266,0.5445946,-2.3556209,-0.71820295,2.6967056,-2.409995,1.1236628,1.2814512,1.3113267,1.1715437,0.028660934,-0.3967983,1.7126968,-0.96156186,3.753322,-0.41690284,0.027316062,1.7931899,0.5211253,0.21948478,2.036261,-0.57904613,-0.8310059,1.3539708,-1.7005103,-0.9190901,0.05673017,1.7764583,-1.9971181,1.5722134,-1.6110044,0.0110889245,3.1333828,3.1767492,0.75266016,0.054182276,0.35088742,-1.5013556,1.4736586,-0.89027405,1.1065772,0.34191748,-1.8051445,1.4387183,0.7662448
BL-70,4.841574,-0.52510035,-1.9209776,1.8989553,1.6792977,-0.9782865,3.9033785,-1.4929873,-1.1843615,0.22341989,1.881578,-1.49196,1.6096499,0.25997308,1.7443956,-2.181702,-1.4342586,-1.1474922,0.36204547,0.21252637,-0.97813785,-0.63070416,1.6509192,-0.31615335,0.59293115,0.53924274,-0.47449788,1.0158397,2.6394618,1.2392337,-1.2106124,0.3849554,-1.6964924,-0.1863701,-0.0066148415,1.2180938,2.4871583,-0.7003907,-0.31380713,1.1925876,-0.08876393,-1.3162831,-0.4381849,4.175075,-0.85298246,-0.8137156,-0.63559496,-0.9129872,-1.3963895,0.5183218,-0.8355694,2.6115127,-0.5320638,-0.34230784,-0.5814393,1.6517934,0.14742513,2.759984,-1.3665221,1.0688937,2.6896443,1.3565319,2.7939107,2.2507424,3.5845983,-0.5012947,-0.7811608,1.5848762,3.1629002
HuP-T4,3.3314347,-1.95657,-0.58687955,-2.793394,0.45248184,1.3340997,0.29875857,0.6508161,0.33535382,-0.04328923,-0.18219227,0.387227,1.365866,0.16843294,-1.5665674,-0.39507583,2.0829415,0.28700832,2.2850764,1.3075509,-0.3413835,-0.5636823,-2.1473694,1.357908,3.1092594,0.0933056,1.1269814,2.534143,3.1841645,-0.5965237,-2.285308,1.3184528,2.3624792,0.023795728,0.96647096,0.2035621,-2.3185387,0.17752206,0.43467978,0.3198185,0.31103536,1.5553983,-2.3994985,-0.46880442,2.2429345,2.8022716,-0.46328205,0.3956983,1.4342766,-2.413776,-0.52153665,2.719043,0.5636017,1.2530577,1.2932236,0.073977895,2.038779,-0.7308056,-0.10920878,1.8187923,2.1640952,-0.8680679,-2.0646677,-2.220856,-2.1323493,-0.4902996,-0.07475175,-1.9773334,1.9638692
G-292 clone A141B1,-0.11275442,0.14524011,-0.67157525,-0.48116416,-2.2008855,1.1440947,-0.21404105,1.7249529,0.53833264,0.51882625,2.0037224,0.3901215,-1.3183001,-0.939652,-0.69648993,0.6127384,-1.5637864,0.116395324,1.617522,-1.4439889,-0.2194608,-1.0887117,3.1901414,0.76732564,-1.4238966,-1.4610412,0.27809915,0.14549053,-1.1028447,-0.17553765,0.36383086,-0.60489553,-0.8829934,-1.4180971,-0.20798758,-0.2543789,-1.4277657,0.40072483,-0.73367834,-2.1641626,-1.9392178,-3.1234317,-0.20246895,0.025604943,-0.7923414,0.8804911,-0.056866426,0.15683138,1.3950241,2.910739,1.2029955,-0.69563764,-0.6744945,0.88189054,-0.29935178,-0.9804129,-0.40781808,0.2623045,-0.6893123,0.5266569,1.0718064,0.4296391,-0.4505799,-2.3652253,-0.51430565,-1.4425222,0.094484195,1.0383708,1.2146578
Loucy,1.1640321,-3.5048904,0.8486407,-1.0809932,0.4899364,2.5678122,4.8203483,-1.5853035,2.2346165,-0.14371642,0.8515356,-0.96080875,0.5822429,-0.5903198,1.2655978,-0.91709185,2.3478036,0.07466785,1.2495854,-0.9546297,0.1728333,-1.5266689,0.17719492,2.6215465,-0.24863867,-0.43207973,-0.1084926,1.5992341,0.8804579,-1.2613966,-3.344364,-0.3321672,0.1811184,-0.78914773,-1.2271488,0.55725485,-0.08449157,-3.8534112,0.65385884,2.9748418,-1.5112308,-2.3849897,-1.7346826,1.4677615,1.0376259,1.2325683,0.753045,0.9970863,2.6491935,-3.6521242,1.0021051,1.9044389,0.6571902,-2.3657928,0.862993,-1.1626921,0.14962101,-1.0742052,1.2299759,0.11367001,-0.8103158,-0.1769113,2.4986162,-0.21598838,-1.5474002,0.86036414,0.75352764,-0.095319375,2.6479447
DU4475,-4.083285,4.7921634,2.6040013,0.07417267,2.8966928,-1.8981948,-1.7452352,-3.3733876,-1.2211916,-0.9052288,-2.500808,-3.8482065,0.51487046,-2.1259754,0.18548599,-1.6758473,0.8312352,-0.24970353,-3.801154,0.516949,2.148808,-2.314016,3.3734775,0.63027227,-2.5743825,4.1379128,-2.0601416,1.2505497,-0.09478176,0.88336056,-4.910824,0.776415,-0.74843925,0.72724843,-3.5974846,-0.9967047,2.7198925,-0.94601625,3.0802631,-1.2518605,0.4339955,1.9829743,1.4312912,-2.5386925,0.63747835,-1.8393302,1.1756374,0.5780874,-1.76408,1.5261782,0.2309317,0.74188805,2.4008029,-3.6542778,-1.3534421,-1.879125,-0.47250623,1.6739542,-1.7811955,-1.5653427,-3.3695118,-1.2642841,2.6701674,1.2460432,1.2409599,-0.71986866,1.2399789,2.0916734,-3.775196
NCI-H1048,0.5967517,0.20546463,-2.198307,-0.8097222,-0.51826805,0.9017548,0.44723696,0.47242928,-0.43744445,0.3444121,0.061868876,0.9531355,-0.07302646,-1.295255,1.0611886,-0.39179587,-0.5351277,-0.9407548,-0.44002637,2.0712585,0.4079436,0.7612987,2.0449557,0.049889863,-0.36394814,0.45550713,1.6844487,-2.3662965,2.342523,-0.34857377,3.2175696,-0.1778848,0.22929029,-0.44946986,-1.378889,0.06264564,-1.8969128,-1.5078423,2.5446565,0.47758567,-0.8128502,-1.8395516,0.9483033,0.48946434,0.62176126,-0.16739506,-1.8316132,2.6518722,-0.3574564,-0.16460131,1.4414072,1.8897376,-0.20970589,0.67036045,-0.3200909,1.9307319,-4.0522738,-0.55865926,-0.60642004,-0.78165895,0.13973013,-1.5210499,0.1316967,-2.376724,-0.60099626,0.6194773,0.73669124,0.41291624,-0.86622226
SHP-77,-1.7252369,-0.5161007,0.3825893,0.032876533,0.65450615,0.36007,-0.20031431,-0.06703798,-0.05040296,0.28137046,-1.3408077,0.52394146,0.7245833,0.15842272,0.39950407,0.50691605,1.3193381,-1.104746,0.9694403,1.1497551,0.37636283,1.676116,1.9732325,-0.30721334,0.3706842,0.2417461,0.41061896,-0.8597548,-1.5956105,2.0988188,0.51520354,0.3081541,0.28066826,0.36300522,0.83247066,0.50466394,0.40407395,-1.1160302,-0.112404026,0.365801,-0.8729026,0.10060942,1.671555,1.0439253,-2.4801779,-0.9507646,0.45308584,1.0956523,-1.1656042,0.26644996,-0.4754876,-1.3534709,-0.19703116,0.23380017,-0.80820656,2.0570219,-2.325928,0.57780564,-1.815323,-0.38499844,-0.18364552,1.6811606,-0.4426381,2.3269794,1.2084538,-0.16064231,-1.057337,-0.8010748,-0.42550814
5637,1.5115241,1.3745226,-1.0283695,2.3290396,-0.093962505,-2.643007,-1.5341265,-0.15661359,-0.6921812,-1.8432175,0.74262196,-1.0888848,0.5163171,-0.90465903,0.18548082,-2.0319402,1.8197862,-1.7800759,-1.7126368,-0.39658973,1.5233073,-0.67559016,1.4610313,0.8794869,-0.33188403,2.7113304,-2.1845617,0.3178437,1.875638,-0.12689215,-0.18457893,1.2507936,-1.224717,1.1468333,-0.3333885,0.57408255,0.35525337,4.37377,2.6295388,-0.726469,0.83728105,-0.39059222,1.8685318,-1.0118471,0.19349074,0.35903978,-0.36612514,-0.7739186,-0.9786185,0.5630203,-0.7868486,-1.0814546,-1.3702433,-0.49226862,-1.5451214,-0.06417906,1.6146773,1.2745692,-1.1830204,-1.5547932,-0.6542976,-1.2884707,0.1635157,-1.0852991,-1.1853484,-0.75380623,1.1496991,1.3351196,-0.026532546
BC-3C,0.027394868,-0.7726693,0.9556227,-0.43104088,-0.577375,0.54363155,-1.0972466,1.3990145,-0.146056,1.0114123,-0.15888807,0.14412819,-1.3139563,-2.1140893,-0.03754687,-0.73332244,0.9979136,-1.629541,-1.2130777,0.0666986,-0.4621996,0.67716336,0.4070546,-0.40916327,0.79719436,-0.43036315,-0.9140356,-0.6977123,-0.63215446,-0.89888436,-0.5833516,-0.19977471,-0.6441943,-2.2750225,1.2568284,-0.9654552,-0.52236986,1.9551833,-0.022581063,-1.0565593,0.62144786,0.07184762,1.6864885,0.72221947,-2.1058338,0.70443577,-2.7496805,1.499825,1.7008682,2.358456,-0.7294188,-0.10730378,-0.08108324,3.0533352,-1.2452196,-0.5256058,-0.7877124,-1.1360953,0.107387304,1.2851331,0.122090206,-1.1680281,-0.877389,0.52130115,-0.6515091,-1.0103278,0.99307287,1.9195285,1.1127837
SIG-M5,-1.4009031,-3.6528697,-0.8946121,1.3458813,0.5490743,-1.0193824,1.4429904,-0.054202378,2.46332,1.9858415,-0.48744425,2.267604,2.1906862,-0.21820422,0.8052653,-0.5101252,-2.310049,-0.16192085,-0.4165404,-0.50013685,0.116237134,-1.0739379,1.5263311,-0.31804675,0.28985322,-2.8962963,0.67993975,-0.15960413,-0.9655001,0.36671656,1.6897196,-1.0427392,-0.5594509,-2.2095418,0.744153,1.885251,2.345734,1.9231335,0.31873462,-0.9563161,0.32087195,0.2150071,0.7622094,-0.028103441,-1.724693,2.0723848,-1.024697,-0.1367029,-1.4010483,0.11046231,-0.3415646,-1.0033379,-1.9512675,-2.004159,-1.2348777,-0.043995578,-0.69782877,-0.34353778,0.7880471,-1.2279143,-0.6115664,-1.6373246,-2.1044166,-0.683814,-1.1409885,-0.42037773,-0.101633936,-0.3887343,0.6392241
SNU-1105,-0.24344574,0.6694544,0.028633816,0.8040976,-3.1152682,-0.35432696,-0.7078767,0.9554337,-0.5725306,0.676681,-0.7153801,-0.16363883,-1.4425929,-1.6609155,-0.51323754,-0.24553168,-0.11672079,-0.114393525,0.32502234,0.7394189,0.7324441,0.96901035,1.0298401,0.71269083,0.7914686,-1.1694219,0.6906646,-1.3651707,-0.97584677,0.29772502,0.86493975,-0.9126489,-0.8689607,0.22353163,-0.21688104,0.09611898,-0.59080714,0.6697307,-1.7917578,0.574839,-3.1398435,-1.871418,-0.34601668,-0.1099342,-0.21131676,1.350649,0.75699985,0.2627832,0.97977114,0.91455036,-0.1444129,-1.86474,-0.17173755,0.4453687,-0.9416644,-0.49987924,0.25091964,1.6056368,0.2922799,0.16804096,0.94318616,1.430145,-0.69344854,0.000693962,0.9571491,-1.2595866,0.33614615,1.0441947,0.6171332
NCI-H1573,-1.7339715,1.2705733,2.4242232,3.5029752,2.2682467,-0.10310683,-0.04036188,-0.36381498,0.4717139,-0.11868554,1.1498715,-1.9042058,0.77011454,-0.78832066,1.134058,1.8964379,1.5253371,0.124125905,-0.14411967,-0.31852722,-1.858712,3.157247,-1.3772055,2.713953,1.9133967,2.7683594,-0.056280684,-0.6336333,-2.5194902,1.461795,-0.45340517,-0.5538644,-0.7934699,-0.117068045,2.9800005,0.06165418,0.68727034,-1.8479395,0.059938576,1.2042377,3.928027,4.0925026,-0.65303534,-1.4677976,2.242047,-0.90051657,-0.27526116,-3.3426714,0.88914406,2.6712708,2.5630827,-0.990482,1.859312,0.147173,1.8087872,0.44385415,-0.25788245,-3.1315262,-1.4056735,1.5482407,0.46563458,2.3579788,0.11014439,1.4071084,2.4386148,2.4815059,0.7717102,0.082514614,-2.6587188
NCI-H1793,1.0728519,1.7836068,2.9552324,0.621338,-0.054859184,-1.9040359,-0.4394082,0.23063792,0.5006082,-1.2357999,-0.80785143,-0.3241795,-1.5147619,-2.0169523,-0.41068897,0.9873078,1.9772846,0.34378278,0.41307098,0.45227236,0.26618063,0.82981044,-3.1775405,-0.14206684,-1.307278,0.70525706,-1.556295,0.33625513,-0.032901406,-0.80618244,-1.8131442,-0.17559308,1.5844547,-0.08988337,2.3966608,1.0474551,-0.47869104,-1.4987981,-0.13832432,2.1939054,0.33686516,-0.12936191,-0.953318,1.6249108,1.5325449,-1.1503545,2.0328014,-0.18947892,-0.23751208,0.024064586,-1.8922724,0.33112937,2.1256104,1.8623356,-1.4278029,-1.1190062,1.7091675,3.0420487,0.83744466,1.1632587,1.5840324,0.6200323,2.3494434,2.9913363,1.0885549,0.89368486,-0.36326194,-1.1838673,-0.35573122
KLM-1,-0.3101334,1.3452451,-0.9774927,1.3945736,1.5286738,-0.8050035,-2.435225,2.4920487,-0.6611228,-1.6828284,2.0648208,0.1575439,1.6379325,-1.4512918,-0.8929176,0.6294975,2.1848164,0.22287357,-0.05989565,-0.53050137,-0.7612164,-0.18985364,-1.2110397,0.9673519,1.7514132,-1.8877211,-1.2009159,0.07545435,0.64592576,-0.89280796,0.29265863,0.67447984,-1.5876081,1.4721749,2.7769713,1.6644526,0.2267182,-0.060367588,-0.0029892414,-1.1229345,2.1835067,3.2132878,0.6104691,0.119039305,-1.5638158,-0.21080717,-1.5837399,-1.6174467,-0.51017934,0.2429916,0.83637756,0.3802326,-0.13172637,-0.62388045,-0.8000511,1.8989295,0.17388934,-0.36456037,-0.48316082,2.6097717,1.8050042,-0.88811105,-1.016521,0.3665778,-1.2229007,1.5791084,1.3376927,1.2090272,0.021858932
A-549,0.32906997,-0.6111503,1.4934242,-0.61072725,0.9161875,-0.12096056,0.07662035,1.0926,1.4639311,1.4883741,-0.35250238,-0.0003957972,0.99585885,0.04822172,-0.47174957,0.5796939,-1.503526,0.262912,0.9809271,-0.3406628,0.66841596,0.80573195,-1.5975478,-0.70804256,0.28447986,1.1484587,0.9730089,0.06773578,-2.2645702,-0.8703049,-0.9310984,-0.8546186,0.5287402,-2.2575285,0.35657373,-0.114206016,0.61163586,2.3422463,-0.3304635,-0.4486526,1.5607773,-0.76759243,-0.9559692,-1.0658317,0.7884396,-0.5592407,3.5365012,-0.1768769,-0.33112746,1.77405,-1.9337178,-0.14962265,1.7259989,2.1927373,-0.66285986,-0.22025265,3.0016847,0.5726668,0.19614425,-0.24069779,1.6444092,0.8298304,1.2841927,1.6531655,2.6156592,-1.5365046,-1.3397235,-0.7224404,0.6141996
NMC-G1,0.14290182,0.87925905,-0.20112754,0.2584142,-1.757422,0.2350902,0.124571905,1.2590389,-1.2612629,-0.7553539,-0.9094227,-1.2527919,-0.6254705,-2.4130716,0.88585126,-1.0464026,3.3615987,-0.56893945,3.194025,1.2040911,1.9739377,-1.391069,2.2410936,-0.4152969,-1.4074993,-1.20721,0.17613712,2.3486652,0.48793352,2.2899864,1.7313045,0.26592723,0.15100665,1.1175286,1.0353628,0.66161853,-3.3321307,-0.059210233,-1.4958194,-2.1610582,-3.0821984,-0.4579512,1.2276586,0.27334395,0.08285838,1.7470499,-1.4570816,-0.6229195,-0.62620026,0.21508001,-2.1086214,-0.9918137,-1.5379503,0.90813565,0.54136515,-1.9106784,1.1667842,2.6484115,0.80694383,0.95323586,1.0150111,-1.0388573,-1.1392,0.0069014747,-1.5415493,-1.1816033,-0.039514363,0.3281198,2.5426433
F5,-0.6149285,-0.1167807,1.1232446,0.30644673,0.13240363,1.0520978,-1.6737554,0.65619576,0.14218314,1.3543018,1.7914737,0.6322815,-0.898227,-0.4525417,-0.1946316,0.9990638,-1.705006,-0.36150673,-0.79019594,0.25569603,-1.3654479,0.49115565,1.334737,-0.5809797,-0.41596755,-0.4049305,-0.36303455,-2.4597938,-0.40151268,-0.42657423,1.0258151,0.91415906,-0.42034963,-0.21149823,0.0090351105,-0.7187443,0.91853756,-0.4443285,0.2356776,-0.9939332,-1.2020969,-1.9036603,-0.30219203,0.72587174,-0.9195181,-0.38749608,0.3820046,0.89315283,-0.3909109,0.60346097,0.8187196,-1.4210888,-0.48024386,0.7597396,-0.9202617,0.050614968,-1.6016619,-0.3911131,0.4664377,1.1420681,-0.48308015,1.0317588,-1.2778094,-1.0681405,0.040401343,-0.08671521,0.7148248,1.6677971,-0.22618803
VM-CUB-1,0.18898408,0.040551655,-0.66918314,1.3116164,-0.28520703,-0.7337248,-1.4758224,-1.0188698,0.39181662,-0.13203529,0.8172935,-0.5386848,-0.4611831,-0.4338356,0.19426893,-1.1528399,2.1658237,-0.8683385,-1.52568,-1.2972845,-0.10996728,0.43558317,-1.5463907,1.4795879,0.5796064,1.3850756,-2.2539084,0.41285664,0.06618736,-1.087496,-1.4683297,1.8811389,-0.19819936,-1.0325922,1.9416096,-0.5327651,0.3002375,2.1324525,1.2538929,-1.4390191,1.9713645,1.6415461,1.3315734,0.927998,-1.9762008,0.34666556,-0.7870304,0.30089864,1.584586,0.729247,-0.40506077,0.15680638,-0.93704677,0.85564655,0.86787444,-0.89299506,0.50335497,-1.6685034,-0.41983008,1.0130639,-1.1772507,-1.2485088,-1.2015771,0.078669414,-1.9716922,-1.8389336,0.7864799,-0.71905786,0.26836795
ES-2,-0.2105634,-0.76258636,3.612477,-0.2603368,0.8175685,2.8757536,0.20952937,-3.0429971,1.971345,-2.2719069,0.1489307,-3.2579796,-1.5703104,-0.015123937,0.44543928,-0.642737,1.4696178,1.8066308,-0.7067491,-0.28495267,1.1478065,-1.9632783,3.1275399,0.6200098,-3.494834,0.49885687,1.3620158,2.3887436,-0.8548214,-1.8373369,-1.6218705,-1.6470892,-1.251562,1.4598984,-1.1717134,-1.1222552,-1.1883032,0.059465043,-1.8257346,0.26008847,0.8654622,1.677112,-0.9018592,-0.97673583,1.7151376,1.8266728,0.20042236,-1.3465738,0.27799925,1.6751794,0.13037613,1.708715,-1.9077944,-3.2512887,2.8172808,-2.1389444,2.2127936,1.6993189,-0.8943829,-2.383899,0.3951907,3.3353422,-2.000657,-0.10134661,-2.2104402,0.56641144,1.4431583,0.01559642,-2.5219984
