,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68
NCI-H1299,0.46397662,-0.9887465,1.6543783,1.9275666,0.73834914,0.80670184,0.4023444,-0.8265434,2.6160557,0.8232368,1.5602597,-1.447104,-0.1301394,2.142478,2.2496865,0.09789917,1.1853756,-0.6601269,1.3374466,-0.12629858,-1.0326529,-0.30342203,-0.47801122,2.0020204,-3.5304434,1.4031147,-0.81964177,0.82871366,-0.7653294,-0.20459545,1.513271,1.0000374,0.20501259,0.049562797,3.1504862,1.2769399,0.9123988,-0.072882205,0.37914133,0.13720405,1.7542155,-1.1781436,-0.55784976,2.4950058,0.245856,-1.1916833,0.8916288,-0.8422477,-1.3058665,0.853816,-0.6463852,-1.9850886,-0.8624377,0.3365842,2.0515225,-0.66482776,2.143169,1.6245426,-0.70367503,0.2559415,1.0953542,2.01294,0.3747612,-1.7882254,-0.3757224,-1.1325936,-0.62146986,-2.0991588,-0.20791093
MeWo,-0.24367817,-0.39919877,-0.89212525,-2.2574527,0.05887594,0.091036014,-0.30947185,0.9474595,-0.25716037,0.34319517,-0.99863964,1.048284,-0.6948386,0.5197876,0.29829532,0.026547229,-1.7277467,-1.6156576,0.3891024,1.5832928,-1.3012921,-1.0098419,1.7305324,-1.1643298,-1.6186131,-1.8567653,-0.56479853,1.5819572,0.78655666,-0.20269279,3.4989321,0.36067712,-0.06568295,0.24732876,-0.1710876,-0.7148905,-0.7022623,1.1812105,-1.9217446,-0.04923819,0.841879,-1.1337482,1.0561558,1.0004557,-1.3453308,0.6776043,-1.2022442,-0.4027187,-2.2326083,-1.2699623,0.17877108,0.16605869,-2.2310588,-0.27965292,-0.87643546,2.06687,-1.9864622,1.6197048,0.48350647,-1.0179557,-0.8577971,-1.764307,-2.5453825,-1.1361963,-1.8469266,1.3554523,-0.8332522,-0.8868189,0.7627929
RL,-0.4630291,-0.9479337,-0.65639204,1.2113005,1.3971993,-2.3159199,0.3483194,-4.524687,-2.3616135,-1.0366067,3.2852585,0.55952275,0.32964876,-3.048807,1.1136198,0.16619873,-0.7272288,1.936239,2.6775217,0.47294497,-3.489193,-1.6569883,3.4289029,0.14692435,1.5585324,-1.8167925,1.2676958,1.9217281,-0.573071,4.305363,1.6273882,-1.3966507,-1.9968399,1.4118567,0.0018797116,1.670158,-0.8725953,0.025381774,1.3181765,-1.0017196,-1.1463463,-0.8056563,-0.39920843,0.28466842,-2.019114,-0.0029726233,-3.4709108,-0.16679507,-1.5608193,2.3185968,2.93633,-1.0510477,-3.0991282,-1.7381411,2.0234008,-0.08610281,-4.1490145,0.17113599,-0.77882826,0.6478656,0.9439631,0.6293878,-3.1580591,-0.46167192,-1.2710978,-0.65702015,2.9328282,0.8631614,2.616453
HCC1419,2.548362,1.2041004,-3.1873536,-1.2043966,2.1862035,0.2284531,0.14970833,-0.051875457,-2.653365,-4.8968472,2.0623624,0.9102577,-1.5198791,2.3436847,1.1148285,3.0388618,-1.3414907,1.1427101,3.17982,-1.4384886,-2.423094,0.9619234,-0.22482593,-1.0478379,3.1492593,0.7295163,3.8294158,1.7069352,-0.502674,4.217314,-3.0426855,1.8702922,0.5415488,-0.862507,-1.1694965,2.521045,-4.191031,-2.1019177,-2.048056,-0.82651776,0.95841426,0.3909846,0.7456916,-2.266437,1.3361641,0.5488993,0.20965806,-1.8312292,4.3954277,-1.6551553,1.5556706,-2.6882021,2.0177398,0.91110206,2.771583,1.5900898,-1.0634784,-4.2614336,-1.9103315,1.0829301,-0.1456953,0.60619205,-1.1060363,-1.1146756,-1.0836239,7.7612495,-0.8511205,-1.6228042,0.92140186
COLO 775,0.0074638277,-0.47132653,0.40986902,-1.5371783,-0.45511702,-1.5009655,-1.5741756,-0.5294068,-1.3209201,0.96433246,-2.4994838,0.6432808,-2.4469419,2.8154447,-2.0136466,-0.11367797,-1.2588136,-0.487444,-0.9419461,1.6678274,-2.7570512,-0.42891794,-0.40903297,-1.1480654,1.8238072,-1.6516299,-1.2516867,0.120189294,-0.054008417,1.4327271,1.0078453,-2.4566445,0.26289526,-1.0715706,-1.2735566,-1.7302979,2.3848605,0.8947872,-1.7488115,-0.86524284,-2.1872225,1.4596497,-1.3890808,0.84709495,-2.8050365,0.5755769,-3.8848999,-0.33588576,-1.4235625,0.21068117,1.8844572,-1.3087584,0.022076502,-2.1156101,-1.3043978,1.9866569,-1.9792558,-1.7781713,0.32044765,0.34547526,-1.7995023,-0.34463954,-1.8252664,0.963791,-0.24107736,-0.39668113,-1.8059212,-0.87576,-0.2858224
SNU-423,0.5389937,-0.037010968,0.28434268,-0.22922337,-0.6339624,1.2661854,1.2150856,2.0532858,-1.2175071,0.9243287,1.4404277,-1.7296656,1.0514168,-1.374892,-0.20551407,0.48313335,0.94252264,0.92836577,1.172478,1.6702164,-0.26262552,0.12017639,0.33203205,0.23379761,-0.14607015,-0.9252895,2.2980554,-2.0916712,1.4965178,0.0036918204,1.3610171,-0.5290388,-1.5667948,1.1164677,-1.2728063,0.37042055,-2.7997627,0.3747846,-1.7656666,0.45367464,-2.0881054,0.26797584,0.1903647,-0.20726164,3.5530677,1.5608671,-1.8024784,-0.2870258,1.5127693,-0.04856898,0.37179828,1.2283088,-1.1117526,-1.7756041,1.6191314,-2.0107012,-0.57521474,1.0839498,1.4024447,0.29350805,0.82414603,1.2195408,-1.9277575,-1.231182,-1.4716318,-0.36276332,1.4164139,0.4760023,-1.2459322
IPC-298,-1.8382474,1.6746619,3.7520237,-0.81234735,-0.2461179,1.3837656,0.4164333,-0.019951433,-0.36427373,1.4377128,-0.90898556,0.32549492,0.5507076,-0.5069829,3.4646928,1.6375227,-1.1748194,-2.353011,0.091059715,1.5951355,0.92419547,-0.89024436,2.187865,2.1659305,-2.0991194,-0.8064536,-0.8284592,2.5048223,-1.5669062,-0.010384858,1.8347826,-0.41420826,-0.9606101,0.48976743,-1.5208645,-3.0872025,3.0456572,-1.6555159,-2.7831054,0.8699909,1.9777005,0.5655173,-2.3920472,-1.6240668,1.5468506,1.5188286,0.24709386,-1.3530467,-2.5929554,-1.4776275,2.1566875,-1.1583989,-1.7587519,-1.7999696,0.24444076,0.34173805,-1.1595047,1.7403134,-0.9916337,0.2084867,-2.3960268,0.2379195,-3.1778595,0.30238616,0.23611633,2.9740577,-0.555153,0.7583074,-1.4217947
HCC44,-1.4665704,-0.34509006,3.425236,0.35164174,0.3136014,-0.35907352,1.2996553,-1.4491478,1.4983392,0.013427356,-0.65256804,-2.1456316,-0.63076335,-1.9499476,-1.5639217,-0.61250377,2.2418509,0.94683695,-2.0099602,-0.0854601,0.8363609,-1.4802262,-1.2211413,1.2119654,0.1265772,1.9002115,-1.5585473,-0.37148625,-1.0414027,-1.9176478,-2.4616785,-0.13276714,-0.7592274,0.8501902,0.744249,-0.6701561,-0.3368677,1.1309199,-0.18105766,1.0497594,1.069711,2.1932936,0.9798522,-0.5377691,1.0468112,0.005022142,2.3911703,0.49320924,-0.19044526,0.20967004,-0.53434813,0.19505003,2.3457415,-2.6332142,-0.9836699,-1.805502,3.0467007,2.1852694,1.8152621,-0.8788258,-1.0172614,2.0236657,1.9596027,2.3030834,0.39530542,-1.3987117,0.8932716,-0.5934638,-0.022899052
Hs 294T,-0.61796516,1.2051579,-0.08093477,-0.6146122,-2.8153002,0.23330727,-1.5565301,2.1036234,-1.5072634,0.6360296,-1.5776058,1.6748434,-0.31966862,-0.63685,1.7691035,0.15225436,0.081048615,-1.8735414,0.40329775,0.90428305,0.39707786,-0.92741376,1.6705718,1.4808284,0.27991092,-1.5602027,-0.42881247,1.8011603,-1.1860441,0.24557859,1.5818354,0.8497352,-0.8067485,-0.020543389,0.1855472,-1.4900054,1.0825009,0.92258924,-3.0587351,-1.0497847,-1.079512,0.19969669,-0.5951632,-1.4853045,-1.4282726,1.0937881,0.42533326,-0.5982369,-2.2194548,-1.0110852,-0.51160324,-3.3464372,0.7612119,-0.101689056,-0.56162035,0.21336703,-0.36115688,1.7990108,0.31663245,1.4100597,-0.59315485,-0.037393834,-1.7880242,-0.2134621,-0.3414559,0.3569012,-0.039568916,1.4456835,2.5915446
DK-MG,-1.3612533,0.80473316,-1.2546988,0.56441164,-4.1288905,0.097326405,0.40099806,1.1724974,-0.40796274,0.56022644,-0.042127714,1.8146996,-1.6368436,-0.8133538,-0.39284512,0.033899732,-1.0426261,1.0817164,2.1856205,-1.4139215,1.0842698,0.31623438,1.7709992,-0.036537692,-0.54428315,-2.7785714,0.3325256,1.3629832,-0.9868693,0.4773212,1.6368579,-1.7614536,-0.3308325,0.47393516,0.6584914,-0.2925463,-0.9527926,-0.04641631,-2.1014714,-0.96860504,-2.3158927,-2.141424,-0.15292187,-0.51241076,-2.1022594,0.85297436,0.5287242,-0.13950485,1.33337,0.96083516,0.5055638,-0.7646881,-0.66754735,1.2760406,-0.96789336,-1.7926036,-0.7776319,1.0407758,0.09658697,0.8149887,0.46999863,0.22286597,-0.58043575,-0.12545687,-0.49924114,-1.8929166,0.5037621,0.56986535,1.5821058
