,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123
SNU-119,0.86547095,-0.13885574,0.34641057,-0.4462747,0.6259136,-0.06678957,0.4252607,0.3965706,-0.36404598,0.017553836,-0.2539183,-0.08677,-0.07365614,0.30506992,-0.21897851,-0.729184,-0.14042014,0.15385392,0.92995894,-0.56289697,0.7754503,-0.090616226,-0.06388196,-0.36140883,-0.7129775,-0.27101558,-0.31879696,-0.3026661,-0.6819626,-0.7857047,-0.2003743,0.25685033,0.94722736,0.3240921,0.3413124,0.5105972,0.28093076,0.07296716,-0.40311718,0.090102255,0.4315194,-0.62903863,0.658231,-0.7744889,0.10248168,-0.1505941,-0.03436196,0.3886077,-0.9240445,-0.009811726,-0.15925923,-0.3393797,-0.18922682,0.54189664,0.5371003,-0.42416817,-0.023118883,-0.04435134,0.1340488,-0.56688607,-0.32445574,-0.15593594,-0.1760031,0.38696545,-0.5954987,0.35250676,-0.013259083,-0.24354571,1.0213025,-0.24294141,0.12103828,-0.003966145,0.52438265,-0.30184928,0.6763187,-0.0014344156,-0.84184325,-0.00018796325,-0.01625812,-0.07701272,0.33025658,0.6007749,-0.045772552,-0.13456342,-0.40527296,-0.39172563,-0.05908218,-0.20030826,-0.32501826,0.21555185,-0.78578794,-1.0752385,-0.10296657,-0.43033075,0.28569287,0.3464191,-0.77951217,-0.9666585,0.82596457,0.39739183,0.80417025,-0.50939256,0.1310501,-0.6025804,-0.21996105,-0.5814006,-0.5222315,0.57725656,-0.55422544,0.26997417,0.81708443,0.6384643,0.37875718,-0.6716316,-0.23485497,0.17946643,-0.53970855,-0.8150382,-0.07615644,0.36084008,0.465819,-0.5308286,-0.05980289,-0.2752512
HCC70,0.2580393,-0.09803316,-0.14379665,-0.4341545,0.25840345,-0.46603614,0.32286668,0.17890356,-0.23229557,0.27992472,0.047402732,0.2539513,0.43448868,-0.009486442,0.03020283,-0.44574335,-0.07684995,0.35980254,0.24219552,-0.06600756,0.40968746,0.41628322,0.43395793,-0.117251545,-0.2231074,-0.19869487,0.073777966,-0.41723734,-0.23250064,-0.442267,-0.23433648,0.47376126,0.3362466,0.37756956,-0.17018487,0.15248296,0.2765469,-0.051116765,-0.3330477,-0.23657632,0.07017642,-0.07064808,0.3724693,-0.48495,-0.16860855,-0.15311588,0.46399128,-0.0062625483,-0.29515624,0.024365574,-0.057068475,-0.0778527,-0.20229514,0.12675223,0.36626354,-0.3850079,-0.3196966,-0.29818738,0.17854662,-0.46042648,-0.50994074,-0.15651217,0.0729026,0.1531574,-0.34013274,0.18417425,0.30343068,-0.39761856,0.42092264,-0.26870894,-0.032661147,-0.046712004,0.17544174,-0.23268156,0.32780713,-0.17792012,-0.4489101,-0.28301454,0.37764436,0.33891737,0.023542332,0.53107244,0.29352832,0.0011481529,-0.33598638,-0.2675342,0.01241998,0.034105606,0.3148174,-0.08204881,-0.35426635,-0.4390867,0.062486716,-0.18224756,0.3650385,0.07124279,-0.39934945,-0.28469756,0.3340315,0.28984177,0.4094848,-0.05687306,0.0003434457,-0.41026995,-0.42783335,-0.46792528,-0.17895406,-0.013375238,-0.13373575,0.27603793,-0.05123744,0.24490672,0.28853738,-0.4695966,-0.010580968,-0.15867999,-0.3057403,-0.39438024,-0.021937596,0.20199819,-0.15249473,-0.07225895,-0.25289872,-0.08716555
MEG-01,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
EFM-192A,0.97658306,0.1323448,0.67994815,-0.19856781,0.8667041,-0.26504692,0.9969505,0.12995377,-0.35615468,0.104979545,-0.05486501,0.031660527,0.16001618,0.26755744,-0.80973667,-0.47730565,-0.25988656,-0.023422569,0.589136,-0.16585448,0.16903305,0.18895018,-0.029089719,-0.17781977,-0.824214,-0.21393412,-0.12875903,0.106598824,-0.8531692,-0.28547186,-0.26608557,0.45331296,0.45426407,0.8768815,0.3723141,0.10343394,-0.48260045,-0.17354359,-0.47208762,-0.18507737,-0.2074921,-0.39679033,-0.22575203,-0.49388453,-0.6548168,-0.21719275,-0.12644136,0.4458647,-1.2946185,-0.06159867,0.020034961,0.02732762,-0.3121255,-0.051912352,0.24521533,0.14361739,0.5069029,0.31748945,-0.23148356,-0.96087325,-0.14185148,0.8256207,0.03262634,-0.2984748,0.16066477,-0.042917892,0.39813742,-1.2944849,0.7450751,-0.50901914,0.07355174,-0.044528775,0.93337667,0.0012198389,0.9831049,-0.4213572,-0.40597424,-0.20055291,0.5678186,0.49174148,0.32818902,0.8908133,-0.35946703,0.18207017,-0.74778855,-0.39429554,0.74900424,-0.20539707,-0.085125655,-0.33487207,-0.17609653,-0.5734864,0.42724675,-0.44030625,-0.3430218,0.2994995,-0.80505776,-0.37755406,0.63146603,0.88505316,0.60795665,0.057481453,-0.4134593,-0.7962761,-0.44629693,0.35219866,0.3355978,0.84197855,-0.31472892,0.46598983,0.6919161,0.4736076,0.24950057,-0.6529522,-0.85739326,0.43674606,-0.629143,-0.41359207,-0.07592994,0.48594198,0.5172645,-0.5077776,0.06585422,0.13027191
Hs 934.T,0.4735636,-0.13668762,0.003527373,-0.5951774,0.4603886,-0.3533096,0.3049107,0.389193,-0.3673872,0.02683872,-0.017581858,0.25493684,0.19620731,-0.09551015,0.000843402,-0.5947528,-0.19510648,0.22961983,0.3679492,-0.1627821,0.5792239,0.36605322,0.1664213,-0.29110092,-0.34643647,-0.3867349,-0.13310012,-0.46873358,-0.3825034,-0.5962758,-0.033729374,0.22157118,0.43959627,0.3482023,-0.024834126,0.21249102,0.3691404,0.09027062,-0.4341672,-0.19827288,0.12792462,-0.2959997,0.5010793,-0.6977215,-0.045689568,-0.37817872,0.20871651,0.2086887,-0.44458768,0.041761015,-0.0878283,-0.12878421,-0.3446337,0.18585397,0.41261816,-0.35604876,-0.30172312,-0.3168764,0.1677011,-0.5338092,-0.5868749,-0.31753367,-0.12372451,0.23229583,-0.44890168,0.19835165,0.19642565,-0.23295715,0.66067195,-0.06786282,-0.14919516,-0.012486935,0.17337671,-0.12283191,0.48486134,-0.088356465,-0.52992666,-0.3467005,0.20548955,0.18231297,0.07014282,0.42458963,0.17184594,-0.08813396,-0.28835997,-0.5136162,-0.17465375,-0.18992507,0.21338004,-0.027032137,-0.39567152,-0.52584684,0.04603035,-0.31837314,0.37971744,0.15761665,-0.3955274,-0.41581818,0.46903634,0.20903167,0.50501114,-0.25281,0.11391525,-0.44427553,-0.56459504,-0.609386,-0.28798229,0.13419098,-0.33481967,0.22844793,0.20384261,0.32930994,0.18186453,-0.3790074,0.043047998,-0.01609379,-0.33280846,-0.38070515,-0.23110683,0.25061953,-0.008983374,-0.27732107,-0.1258395,-0.23534027
DMS 153,0.86623544,0.29197794,0.2915972,-0.74205434,0.95102704,-0.61134684,0.97114444,0.41122213,-0.27743268,-0.17437235,-0.15817213,0.21044478,0.044238687,-0.6021604,-0.5004806,-0.36696565,-0.41691205,0.08830285,0.15861988,0.24382338,0.050585568,0.5513696,-0.17531922,-0.48714674,-0.5848657,-0.67482644,-0.4866636,-0.38184258,-0.87528455,-0.40787682,0.37076277,0.09609583,0.21613827,0.4870389,0.32202458,-0.08619326,0.13129403,-0.17999293,-0.5425737,-0.718214,-0.40045905,-0.08318227,-0.039156973,-0.85239434,-0.36417776,-0.78617203,-0.36421263,0.115609966,-0.6210027,0.10959598,0.17353171,0.069157206,-0.29196888,-0.6042915,0.12287837,0.47391582,-0.25058168,-0.23102903,-0.16103734,-1.1451404,-0.9018639,-0.08051867,-0.36877418,0.03867133,-0.008687884,0.11187227,0.7291569,-0.7441677,0.4931588,-0.023679823,-0.12183968,0.2732723,0.3216658,0.03571722,1.050365,-0.15383938,-0.05882749,-0.8782722,0.46315402,0.1990394,0.26100957,0.7191892,0.1111027,0.09623859,-0.49304697,-0.551229,0.17809689,-0.14722544,0.68510723,-0.53982466,0.14967719,0.091260135,0.80125165,-0.17731123,-0.4078725,0.058506854,-0.1529389,0.20927519,0.3949796,0.14134601,0.4876822,0.17637669,0.11020695,-0.58475834,-1.1292322,0.13139921,0.61543983,0.19291458,-0.1924267,0.05704999,0.2357662,0.53765005,-0.18630916,-0.085336655,-0.15223661,0.39787096,-0.460521,0.31796673,-0.5223589,0.64000237,-0.27073562,-0.66944945,0.2590589,0.23990917
LN-319,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
AML-193,0.7023185,0.08349188,0.3392654,0.08923823,0.3690168,-0.22110373,0.7823733,-0.17365274,-0.0010874271,0.6307695,-0.25629747,-0.33137086,0.34240633,0.7221566,-0.50327367,-0.36575073,0.13868934,0.37070906,0.9319426,-0.47175315,0.28899044,-0.2207278,0.38635185,0.023113027,-0.7364476,0.2491458,0.03573545,0.038939685,-0.6449394,-0.41450262,-0.77049106,0.9339007,0.9363991,0.5024429,0.3145529,0.45473143,-0.19634603,-0.39104286,-0.15546489,0.064435065,0.30290747,-0.22614247,0.19593325,-0.2715709,-0.28929967,0.5032364,0.31071842,-0.02955357,-0.9992739,-0.08892885,-0.055257075,-0.26687232,0.27576107,0.40877348,0.4082406,-0.29708147,0.24064821,0.2849124,0.012436643,-0.5862944,0.04018724,0.5874017,0.27508736,0.14649041,-0.21628943,0.34660393,0.27135172,-0.9460177,0.6030978,-0.9209931,0.6146379,-0.03904482,0.88963735,-0.6318716,0.57792753,-0.24902204,-0.7063476,0.28700736,0.40420914,0.22913891,0.44053644,1.1066936,0.034846425,0.1462895,-0.71042335,0.31579056,0.7070302,0.36703688,-0.34051964,0.06671572,-0.7650806,-1.0638261,0.058770485,-0.14438765,-0.07570571,0.24167633,-1.035223,-0.82713616,0.7020258,0.8152461,0.74741817,-0.026092127,-0.23979713,-0.6938298,0.24055696,0.09686929,-0.1049463,0.59005475,-0.13987042,0.42431653,0.61113465,0.66424364,0.70587355,-1.0622308,-0.72225857,0.08438462,-0.6642375,-0.97512126,0.5163252,0.4129164,0.41655862,-0.26760855,-0.24028629,0.22867912
SF295,0.2580393,-0.09803316,-0.14379665,-0.4341545,0.25840345,-0.46603614,0.32286668,0.17890356,-0.23229557,0.27992472,0.047402732,0.2539513,0.43448868,-0.009486442,0.03020283,-0.44574335,-0.07684995,0.35980254,0.24219552,-0.06600756,0.40968746,0.41628322,0.43395793,-0.117251545,-0.2231074,-0.19869487,0.073777966,-0.41723734,-0.23250064,-0.442267,-0.23433648,0.47376126,0.3362466,0.37756956,-0.17018487,0.15248296,0.2765469,-0.051116765,-0.3330477,-0.23657632,0.07017642,-0.07064808,0.3724693,-0.48495,-0.16860855,-0.15311588,0.46399128,-0.0062625483,-0.29515624,0.024365574,-0.057068475,-0.0778527,-0.20229514,0.12675223,0.36626354,-0.3850079,-0.3196966,-0.29818738,0.17854662,-0.46042648,-0.50994074,-0.15651217,0.0729026,0.1531574,-0.34013274,0.18417425,0.30343068,-0.39761856,0.42092264,-0.26870894,-0.032661147,-0.046712004,0.17544174,-0.23268156,0.32780713,-0.17792012,-0.4489101,-0.28301454,0.37764436,0.33891737,0.023542332,0.53107244,0.29352832,0.0011481529,-0.33598638,-0.2675342,0.01241998,0.034105606,0.3148174,-0.08204881,-0.35426635,-0.4390867,0.062486716,-0.18224756,0.3650385,0.07124279,-0.39934945,-0.28469756,0.3340315,0.28984177,0.4094848,-0.05687306,0.0003434457,-0.41026995,-0.42783335,-0.46792528,-0.17895406,-0.013375238,-0.13373575,0.27603793,-0.05123744,0.24490672,0.28853738,-0.4695966,-0.010580968,-0.15867999,-0.3057403,-0.39438024,-0.021937596,0.20199819,-0.15249473,-0.07225895,-0.25289872,-0.08716555
NCI-H810,0.2387784,-0.12854569,-0.13535257,-0.41653627,0.24465027,-0.44716173,0.29286948,0.17703143,-0.26072526,0.28008536,0.08278953,0.28102824,0.45257932,0.026673371,0.03434972,-0.46449965,-0.078887165,0.343988,0.23472843,-0.077796005,0.43066615,0.4276744,0.4503093,-0.095714554,-0.21128675,-0.18566102,0.11418935,-0.39794424,-0.20078565,-0.43013498,-0.2595238,0.4745148,0.31361452,0.41321403,-0.20056856,0.14783952,0.24330737,-0.023395674,-0.3410194,-0.203165,0.0699258,-0.09424644,0.3623611,-0.4637029,-0.19375293,-0.14585815,0.49800384,0.034750067,-0.317638,0.014493558,-0.07328027,-0.06608573,-0.24455316,0.16211756,0.37518004,-0.42413092,-0.2775889,-0.28213662,0.18154742,-0.4338005,-0.47008765,-0.11223573,0.09948564,0.11386259,-0.32827988,0.15239485,0.2708997,-0.4187798,0.43563136,-0.26947525,-0.06388227,-0.08175524,0.18861517,-0.20191136,0.30478853,-0.20284978,-0.46505746,-0.2558088,0.38819814,0.3807674,-0.0011940734,0.5050262,0.25900042,-0.00014624075,-0.3358525,-0.299378,0.02262482,-0.0013026665,0.28226498,-0.07392144,-0.35450658,-0.460774,0.02495266,-0.21574478,0.40306646,0.08502818,-0.42074686,-0.30439866,0.33160913,0.3316274,0.39621475,-0.0714422,-0.039702903,-0.41272855,-0.4088838,-0.48437327,-0.2115709,0.013658732,-0.14781101,0.3095566,-0.050768737,0.20520394,0.3011847,-0.48375776,-0.034737613,-0.17006046,-0.29693654,-0.42607376,-0.01818258,0.17006847,-0.10894835,-0.04189673,-0.27252465,-0.12338978
